"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-150.639183333333,0.0,330.491,307.728,22.763,22.763,0.839737819450658
2.0,-146.604783333333,242.064,328.109,304.418,23.691,23.6914000543648,0.873986935877764
3.0,-142.57295,483.974,332.757,307.298,25.459,25.4598541897804,0.93922604405649
4.0,-138.58215,723.422,332.214,307.711,24.503,24.504225125496,0.903972436595003
5.0,-134.449233333333,971.397,329.947,306.66,23.287,23.2885423404112,0.859125324567115
6.0,-130.202633333333,1226.193,330.377,305.368,25.009,25.011057070998,0.922669706407586
7.0,-125.90295,1484.174,330.08,306.148,23.932,23.9343469241004,0.882949360629954
8.0,-121.906583333333,1723.956,332.199,310.789,21.41,21.4124337667607,0.78991479332387
9.0,-117.375933333333,1995.795,328.609,304.092,24.517,24.5201646566874,0.904560453427836
10.0,-112.7207,2275.109,329.492,304.975,24.517,24.5205374780569,0.904574206984215
11.0,-108.149483333333,2549.382,330.669,305.719,24.95,24.9539744650235,0.920563902116867
12.0,-104.075516666667,2793.82,332.2,307.053,25.147,25.1513784539289,0.927846228488358
13.0,-100.1007,3032.309,329.767,304.646,25.121,25.1257413656093,0.92690046419356
14.0,-96.1506,3269.315,330.203,305.537,24.666,24.6710116447402,0.9101252700521
15.0,-92.11495,3511.454,332.13,306.116,26.014,26.019656344464,0.959877409900086
16.0,-88.0940333333333,3752.709,332.384,307.966,24.418,24.4236529358442,0.901000090469862
17.0,-84.1111,3991.685,332.015,307.946,24.069,24.0749065285986,0.888134670816844
18.0,-80.09655,4232.558,331.914,306.95,24.964,24.9704685730312,0.921172377550341
19.0,-76.1225,4471.001,332.974,306.724,26.25,26.2571572772391,0.968638931466053
20.0,-72.0934833333333,4712.742,332.351,306.098,26.253,26.2605091144408,0.968762582323273
21.0,-68.1564,4948.967,329.539,305.012,24.527,24.5343392262829,0.90508335999392
22.0,-64.1455833333334,5189.616,328.983,303.96,25.023,25.0308138252134,0.92339854240039
23.0,-60.1001166666667,5432.344,330.889,305.668,25.221,25.2292002797535,0.930717112393102
24.0,-56.0681166666667,5674.264,330.569,303.587,26.982,26.9911157794286,0.995715007211599
25.0,-52.0908166666667,5912.902,328.224,301.69,26.534,26.5432974408526,0.979194777226718
26.0,-48.1190833333333,6151.206,329.584,304.31,25.274,25.2831691807977,0.932708050638544
27.0,-44.13165,6390.452,326.838,302.265,24.573,24.5822156212803,0.906849542814208
28.0,-40.153,6629.171,328.652,301.67,26.982,26.9924452053191,0.995764050360499
29.0,-36.1402166666667,6869.938,328.325,301.095,27.23,27.2408662620675,1.00492842045669
30.0,-32.1591333333333,7108.803,327.556,301.062,26.494,26.5048849109088,0.97777772085741
31.0,-28.1936666666667,7346.731,325.832,299.615,26.217,26.2280763802532,0.967566123443268
32.0,-24.22765,7584.692,325.347,297.662,27.685,27.6970149921019,1.02175596251636
33.0,-20.0145,7837.481,324.889,297.865,27.024,27.0360351062295,0.997372102389695
34.0,-16.0422666666667,8075.815,325.094,297.408,27.686,27.6986405770114,1.02181593111133
35.0,-12.0897833333333,8312.964,324.85,297.917,26.9330000000001,26.9455952903949,0.994035734874846
36.0,-8.13645,8550.164,327.563,302.401,25.162,25.1740425618246,0.928682318131383
37.0,-4.05968333333334,8794.77,326.279,298.433,27.846,27.8596282937995,1.02775484400743
38.0,0.0,9038.351,328.845,300.571,28.274,28.2881398550968,1.04356283786119
39.0,3.96258333333332,9276.106,327.337,297.016,30.321,30.3364836100675,1.11912720627856
40.0,7.92485,9513.842,328.37,299.445,28.925,28.9400723687846,1.06761293615549
41.0,11.9105166666667,9752.982,327.355,299.05,28.305,28.3200409200677,1.04473968321272
42.0,15.8622833333333,9990.088,327.229,298.442,28.787,28.8025900858344,1.06254114981372
43.0,19.8282333333333,10228.045,324.863,297.335,27.528,27.5431851274056,1.0160811061641
44.0,23.8149166666666,10467.246,322.005,298.115,23.89,23.903415738628,0.881808294591137
45.0,27.8073333333333,10706.791,317.579,302.199,15.38,15.3887878719194,0.567699651695926
46.0,31.7690333333333,10944.493,309.742,298.189,11.553,11.559713298106,0.426443282450745
47.0,35.7270333333333,11181.973,308.422,301.737,6.685,6.68894867170683,0.24675847524476
48.0,39.7318,11422.259,305.841,300.398,5.44299999999998,5.44626663266938,0.200915347988607
49.0,43.83685,11668.562,301.008,296.777,4.23099999999999,4.23357887246549,0.156178723842927
50.0,47.87465,11910.83,302.738,300.041,2.697,2.69866883452702,0.0995551677074714
51.0,52.02775,12160.016,302.4,301.838,0.561999999999955,0.562352892440265,0.0207454637639836
52.0,56.3308833333333,12418.204,300.137,299.041,1.096,1.09669811291413,0.0404577112829663
53.0,60.5488166666667,12671.28,302.424,299.84,2.584,2.58566900949088,0.0953865507995877
54.0,64.6336,12916.367,299.852,297.745,2.10699999999997,2.10837952780603,0.0777791164281617
55.0,68.52205,13149.674,301.963,299.566,2.39700000000005,2.39859033280984,0.0884851300720102
56.0,72.4904166666667,13387.776,300.309,297.185,3.12400000000002,3.12609964158505,0.115323292026979
57.0,76.4619833333333,13626.07,299.415,297.442,1.97300000000001,1.9743428911954,0.0728344416070084
58.0,80.4058833333333,13862.704,299.846,295.342,4.50400000000002,4.50710357492504,0.166269179284181
59.0,84.2930333333333,14095.933,299.352,298.88,0.47199999999998,0.472329178357284,0.0174244464392509
