"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-432.414833333333,0.0,NA,308.352,-308.352,-308.352,-12.2119892098145
2.0,-428.112683333333,258.129,NA,308.123,-308.123,-308.252098965754,-12.2080327238755
3.0,-423.745283333333,520.173,NA,306.314,-306.314,-306.568885372902,-12.1413706421192
4.0,-419.621933333333,767.574,NA,308.522,-308.522,-308.904393518272,-12.2338662324533
5.0,-415.53925,1012.535,NA,308.889,-308.889,-309.395904667764,-12.2533320664809
6.0,-411.457033333333,1257.468,NA,307.347,-307.347,-307.973079191559,-12.1969824097157
7.0,-407.272,1508.57,NA,307.576,-307.576,-308.322631229464,-12.210826087445
8.0,-403.0444,1762.226,NA,304.886,-304.886,-305.7434640488,-12.1086806115584
9.0,-398.954483333333,2007.621,NA,307.103,-307.103,-308.083253024209,-12.2013457401158
10.0,-394.83,2255.09,NA,306.19,-306.19,-307.281911003533,-12.1696093475843
11.0,-390.674966666667,2504.392,NA,307.085,-307.085,-308.293391854981,-12.2096680896837
12.0,-386.578033333333,2750.208,NA,304.584,-304.584,-305.89333360482,-12.114616053524
13.0,-382.41745,2999.843,NA,304.524,-304.524,-305.942275514001,-12.1165543515303
14.0,-378.214183333333,3252.039,NA,304.294,-304.294,-305.818782247427,-12.111663517552
15.0,-373.954466666667,3507.622,NA,304.577,-304.577,-306.209358218604,-12.1271319093433
16.0,-369.80845,3756.383,NA,306.714,-306.714,-308.463203967961,-12.2163933377489
17.0,-365.64835,4005.989,NA,304.844,-304.844,-306.685808798883,-12.1460012837769
18.0,-361.13995,4276.493,NA,304.476,-304.476,-306.417271537603,-12.135366119623
19.0,-356.865266666667,4532.974,NA,304.406,-304.406,-306.447049363962,-12.1365454422614
20.0,-352.5582,4791.398,NA,304.61,-304.61,-306.751288466569,-12.1485945440614
21.0,-348.296416666667,5047.105,NA,307.156,-307.156,-309.413471106782,-12.2540277686776
22.0,-344.147083333333,5296.065,NA,306.944,-306.944,-309.296738219824,-12.2494046731375
23.0,-339.94145,5548.403,NA,306.872,-306.872,-309.319615969627,-12.2503107247725
24.0,-335.741466666667,5800.402,NA,307.547,-307.547,-310.094282218262,-12.2809906485918
25.0,-331.494366666667,6055.228,NA,306.746,-306.746,-309.379349702434,-12.2526764227427
26.0,-327.2643,6309.032,NA,304.882,-304.882,-307.590177402855,-12.1818179466603
27.0,-323.0698,6560.702,NA,307.5,-307.5,-310.321740128948,-12.2899989039331
28.0,-318.87835,6812.189,NA,305.467,-305.467,-308.358519738982,-12.2122474179082
29.0,-314.749766666667,7059.904,NA,307.246,-307.246,-310.242044504251,-12.2868426341217
30.0,-310.568466666667,7310.782,NA,306.0,-306.0,-309.069980896974,-12.2404241639147
31.0,-306.448616666667,7557.973,NA,305.418,-305.418,-308.566841304011,-12.2204977963857
32.0,-302.179516666667,7814.119,NA,306.058,-306.058,-309.297107520972,-12.2494192989601
33.0,-298.040166666667,8062.48,NA,306.992,-306.992,-310.323719563001,-12.2900772975459
34.0,-293.8177,8315.828,NA,306.882,-306.882,-310.294044348427,-12.2889020387502
35.0,-289.667466666667,8564.842,NA,305.243,-305.243,-308.716748008701,-12.2264347095893
36.0,-285.578033333333,8810.208,NA,305.332,-305.332,-308.88557015495,-12.2331207509588
37.0,-281.476383333333,9056.307,NA,307.516,-307.516,-311.173228417667,-12.323721291964
38.0,-277.336583333333,9304.695,NA,305.223,-305.223,-308.929505945031,-12.2348607863547
39.0,-272.94465,9568.211,NA,305.072,-305.072,-308.85208918127,-12.2317947686745
40.0,-268.764933333333,9818.994,NA,306.883,-306.883,-310.760309428748,-12.3073680260951
41.0,-264.622666666667,10067.53,NA,307.088,-307.088,-311.041660209806,-12.3185106575762
42.0,-260.445683333333,10318.149,NA,309.791,-309.791,-313.852806333897,-12.4298434400281
