"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-188.6985,0.0,326.513,306.008,20.505,20.505,0.629382020214443
2.0,-184.39635,258.129,325.432,305.802,19.63,19.6382246787736,0.602777152974965
3.0,-180.02895,520.173,322.877,303.672,19.205,19.2209805741382,0.589970230882891
4.0,-175.9056,767.574,326.382,305.528,20.854,20.8798472148827,0.640887608967168
5.0,-171.822916666667,1012.535,324.877,303.897,20.98,21.0144293902654,0.645018484433017
6.0,-167.7407,1257.468,324.054,303.885,20.169,20.2100851292336,0.620329880875051
7.0,-163.555666666667,1508.57,325.278,304.726,20.552,20.6018893445131,0.632355949079935
8.0,-159.328066666667,1762.226,327.81,307.096,20.714,20.7722562344839,0.637585203280738
9.0,-155.23815,2007.621,327.182,305.413,21.769,21.8384852478941,0.670312117227159
10.0,-151.113666666667,2255.09,327.478,305.848,21.63,21.7071352265143,0.666280449740633
11.0,-146.958633333333,2504.392,327.945,306.134,21.811,21.8968271642997,0.672102868420067
12.0,-142.8617,2750.208,329.569,308.202,21.367,21.4588516111621,0.65865961368033
13.0,-138.701116666667,2999.843,330.358,308.097,22.261,22.3646773167868,0.686463096370809
14.0,-134.49785,3252.039,329.608,308.407,21.201,21.3072357733892,0.654005905693302
15.0,-130.238133333333,3507.622,328.148,306.111,22.037,22.1551056943347,0.680030489147277
16.0,-126.092116666667,3756.383,328.535,307.307,21.228,21.3490642547516,0.655289792262547
17.0,-121.932016666667,4005.989,332.668,309.74,22.928,23.0665265648685,0.708005710252479
18.0,-117.423616666667,4276.493,329.812,306.931,22.881,23.0268841880867,0.706788924142504
19.0,-113.148933333333,4532.974,329.913,306.642,23.271,23.4270326003717,0.719071109761111
20.0,-108.841866666667,4791.398,329.434,306.106,23.328,23.4919866627758,0.721064814663183
21.0,-104.580083333333,5047.105,329.185,305.841,23.344,23.5155688624566,0.721788648483043
22.0,-100.43075,5296.065,330.709,307.459,23.25,23.4282121937907,0.719107316290693
23.0,-96.2251166666667,5548.403,330.418,307.837,22.581,22.7611064163891,0.698631121124745
24.0,-92.0251333333333,5800.402,330.484,307.735,22.749,22.9374203818709,0.704042915310892
