"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-997.234266666667,0.0,NA,284.867,-284.867,-284.867,-9.36085147989024
2.0,-992.932116666667,258.129,NA,284.114,-284.114,-284.233039550946,-9.34001926833987
3.0,-988.564716666667,520.173,NA,284.198,-284.198,-284.43448254147,-9.34663877118141
4.0,-984.441366666667,767.574,NA,283.992,-283.992,-284.343990133738,-9.34366515195265
5.0,-980.358683333333,1012.535,NA,284.333,-284.333,-284.799606855211,-9.35863691232315
6.0,-976.276466666667,1257.468,NA,284.612,-284.612,-285.191767008847,-9.3715234627292
7.0,-972.091433333333,1508.57,NA,285.189,-285.189,-285.881287479191,-9.39418140034652
8.0,-967.863833333333,1762.226,NA,285.89,-285.89,-286.694039532519,-9.42088878049648
9.0,-963.773916666667,2007.621,NA,286.241,-286.241,-287.15466286198,-9.43602506014718
10.0,-959.649433333333,2255.09,NA,288.81,-288.81,-289.839931797023,-9.52426414605219
11.0,-955.4944,2504.392,NA,286.978,-286.978,-288.107269999377,-9.46732813818661
12.0,-951.397466666667,2750.208,NA,287.636,-287.636,-288.872478215389,-9.49247320750415
13.0,-947.236883333333,2999.843,NA,289.767,-289.767,-291.116546967942,-9.56621426667672
14.0,-943.033616666667,3252.039,NA,289.821,-289.821,-291.273259708477,-9.57136391436899
15.0,-938.7739,3507.622,NA,288.043,-288.043,-289.586745451434,-9.51594433442854
16.0,-934.627883333333,3756.383,NA,290.273,-290.273,-291.928440193118,-9.59289342536621
17.0,-930.467783333333,4005.989,NA,290.27,-290.27,-292.023755494783,-9.59602552695274
18.0,-925.959383333333,4276.493,NA,290.615,-290.615,-292.467896871676,-9.61062020259143
19.0,-921.6847,4532.974,NA,288.576,-288.576,-290.510908842975,-9.54631273881152
20.0,-917.377633333333,4791.398,NA,288.711,-288.711,-290.740524751228,-9.55385801578139
21.0,-913.11585,5047.105,NA,291.013,-291.013,-293.151826652248,-9.63309442775127
22.0,-908.966516666667,5296.065,NA,288.931,-288.931,-291.145667843619,-9.56717119110874
23.0,-904.760883333333,5548.403,NA,288.809,-288.809,-291.112545193344,-9.56608276665155
24.0,-900.5609,5800.402,NA,289.653,-289.653,-292.052073755772,-9.59695607712277
25.0,-896.3138,6055.228,NA,289.707,-289.707,-292.194073481783,-9.60162224886387
26.0,-892.083733333333,6309.032,NA,291.998,-291.998,-294.59173260894,-9.68041035344854
27.0,-887.889233333333,6560.702,NA,292.18,-292.18,-294.861157823987,-9.68926378126922
28.0,-883.697783333333,6812.189,NA,292.45,-292.45,-295.218302133014,-9.70099969604239
29.0,-879.5692,7059.904,NA,292.479,-292.479,-295.331047221311,-9.70470454787372
30.0,-875.3879,7310.782,NA,292.63,-292.63,-295.565844803534,-9.71242009686685
31.0,-871.26805,7557.973,NA,292.666,-292.666,-295.683368947081,-9.71628199049807
32.0,-866.99895,7814.119,NA,290.901,-290.901,-293.979696250247,-9.66029857688608
33.0,-862.8596,8062.48,NA,291.267,-291.267,-294.428059447662,-9.67503198335314
34.0,-858.637133333333,8315.828,NA,291.074,-291.074,-294.310284293878,-9.67116184141815
35.0,-854.4869,8564.842,NA,299.864,-299.864,-303.276533531911,-9.96579662694581
36.0,-850.397466666667,8810.208,NA,299.549,-299.549,-303.035265397486,-9.95786845283935
