"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-260.901833333333,0.0,NA,315.815,-315.815,-315.815,-8.83755484641591
2.0,-257.15835,224.609,NA,316.293,-316.293,-316.418967229373,-8.8544558597149
3.0,-253.541616666667,441.613,NA,316.638,-316.638,-316.889053789876,-8.86761044629568
4.0,-250.005933333333,653.754,NA,319.16,-319.16,-319.537842845139,-8.94173238018885
5.0,-246.441016666667,867.649,NA,319.456,-319.456,-319.9579520938,-8.95348843524174
6.0,-242.8934,1080.506,NA,319.917,-319.917,-320.542475500435,-8.96984534566446
7.0,-239.326733333333,1294.506,NA,319.591,-319.591,-320.337384393901,-8.96410621388634
8.0,-235.7281,1510.424,NA,318.14,-318.14,-319.002877007999,-8.9267622555061
9.0,-232.124816666667,1726.621,NA,319.827,-319.827,-320.813860052572,-8.97743958869909
10.0,-228.5501,1941.104,NA,317.769,-317.769,-318.867055883249,-8.92296152837382
11.0,-224.988283333333,2154.813,NA,316.764,-316.764,-317.974676905678,-8.89798979442175
12.0,-221.406066666667,2369.746,NA,318.628,-318.628,-319.961500534157,-8.95358773241342
13.0,-217.8718,2581.802,NA,316.332,-316.332,-317.769696410254,-8.89225375791065
14.0,-214.32275,2794.745,NA,318.484,-318.484,-320.044997315247,-8.95592425025577
15.0,-210.730866666667,3010.258,NA,316.566,-316.566,-318.229389660529,-8.90511750507856
16.0,-207.213583333333,3221.295,NA,316.349,-316.349,-318.12193200132,-8.90211048211598
17.0,-203.627866666667,3436.438,NA,315.81,-315.81,-317.68938190225,-8.890006290661
18.0,-200.047,3651.29,NA,317.346,-317.346,-319.343506192534,-8.93629419382638
19.0,-196.53425,3862.055,NA,316.214,-316.214,-318.311968574126,-8.90742833793346
20.0,-192.982533333333,4075.158,NA,315.804,-315.804,-318.005699306603,-8.89885790445339
21.0,-189.360983333333,4292.451,NA,319.058,-319.058,-321.388934269501,-8.99353207934351
22.0,-185.799833333333,4506.12,NA,318.479,-318.479,-320.911071459119,-8.98015988740895
23.0,-182.262766666667,4718.344,NA,318.721,-318.721,-321.259386088299,-8.98990689005033
24.0,-178.711383333333,4931.427,NA,318.772,-318.772,-321.414303241604,-8.99424198762006
25.0,-175.1429,5145.536,NA,317.861,-317.861,-320.598005947593,-8.97139927240133
26.0,-171.555083333333,5360.805,NA,315.965,-315.965,-318.78637696443,-8.92070386369668
27.0,-168.0009,5574.056,NA,318.653,-318.653,-321.598985822475,-8.99941002092318
28.0,-164.413316666667,5789.311,NA,318.338,-318.338,-321.380643028048,-8.99330006281141
29.0,-160.8893,6000.752,NA,316.246,-316.246,-319.366639488313,-8.93694154043824
30.0,-157.30365,6215.891,NA,318.436,-318.436,-321.675998272712,-9.00156508560607
31.0,-153.752433333333,6428.964,NA,318.555,-318.555,-321.893079898614,-9.00763975202488
32.0,-150.168983333333,6643.971,NA,315.813,-315.813,-319.217485687219,-8.93276772064589
33.0,-146.647316666667,6855.271,NA,316.378,-316.378,-319.882993308636,-8.95139083894293
34.0,-143.078116666667,7069.423,NA,318.58,-318.58,-322.203571820924,-9.01632834944041
35.0,-139.4918,7284.602,NA,317.387,-317.387,-321.089954190246,-8.98516562161224
36.0,-135.847466666667,7503.262,NA,315.69,-315.69,-319.464743142253,-8.93968680719988
37.0,-132.31355,7715.297,NA,317.299,-317.299,-321.184173180252,-8.98780218254745
38.0,-128.747,7929.29,NA,315.718,-315.718,-319.673699505083,-8.94553410171413
39.0,-125.175183333333,8143.599,NA,316.228,-316.228,-320.279273909055,-8.96248008910766
40.0,-121.602716666667,8357.947,NA,315.607,-315.607,-319.738491003695,-8.94734718349481
41.0,-117.960283333333,8576.493,NA,317.938,-317.938,-322.187994122226,-9.01589243358263
42.0,-114.36195,8792.393,NA,318.061,-318.061,-322.399833091802,-9.02182039302799
43.0,-110.7868,9006.902,NA,315.215,-315.215,-319.600610456763,-8.94348882687538
44.0,-107.25865,9218.591,NA,317.154,-317.154,-321.651904386122,-9.00089085846612
45.0,-103.721,9430.85,NA,315.033,-315.033,-319.584771484097,-8.94304559970236
46.0,-100.181,9643.25,NA,314.969,-314.969,-319.602985668345,-8.94355529320101
47.0,-96.5969,9858.296,NA,317.366,-317.366,-322.118232892764,-9.01394028219171
48.0,-93.0184,10073.006,NA,315.756,-315.756,-320.565905892999,-8.97050100603321
49.0,-89.4745666666667,10285.636,NA,315.257,-315.257,-320.140185427848,-8.95858793046678
50.0,-85.845,10503.41,NA,315.225,-315.225,-320.187798237367,-8.95992029534975
51.0,-82.28185,10717.199,NA,317.599,-317.599,-322.679122514325,-9.02963584064628
52.0,-78.6108833333333,10937.457,NA,315.116,-315.116,-320.234979471169,-8.96124058330772
53.0,-74.9186,11158.994,NA,317.201,-317.201,-322.432194763307,-9.02272598030803
54.0,-71.34515,11373.401,NA,314.376,-314.376,-319.637517763877,-8.94452161616928
55.0,-67.7746166666667,11587.633,NA,316.395,-316.395,-321.766981449047,-9.0041110977048
56.0,-64.24245,11799.563,NA,317.207,-317.207,-322.66890941973,-9.02935004426664
57.0,-60.6094666666667,12017.542,NA,313.83,-313.83,-319.308378132244,-8.93531119378059
58.0,-57.0362666666667,12231.934,NA,316.771,-316.771,-322.375319045372,-9.02113440841727
59.0,-53.4693166666667,12445.951,NA,315.031,-315.031,-320.67802238844,-8.97363839873985
60.0,-49.8886333333334,12660.792,NA,316.94,-316.94,-322.694472608444,-9.03006538737039
61.0,-46.2834,12877.106,351.947,316.965,34.982,35.6251513503224,0.996910308156173
62.0,-42.74695,13089.293,350.312,314.72,35.592,36.2544345464341,1.0145197464652
63.0,-39.1827333333333,13303.146,351.952,315.863,36.089,36.7687877635075,1.02891306143224
64.0,-35.6133833333333,13517.307,351.449,316.98,34.469,35.1259385072312,0.982940671245787
65.0,-32.0005666666667,13734.076,348.075,313.94,34.135,34.7930920970842,0.973626520856772
66.0,-28.46575,13946.165,348.76,314.22,34.54,35.213436152073,0.985389146572233
67.0,-24.87655,14161.517,351.428,316.651,34.777,35.4625724727456,0.992360810040334
68.0,-21.3508833333333,14373.057,348.787,313.984,34.803,35.4965344444458,0.993311179046217
69.0,-17.7917666666667,14586.604,350.635,316.918,33.717,34.3960414314823,0.962515721705172
70.0,-14.2258333333334,14800.56,348.807,315.349,33.458,34.1388509464198,0.955318675910272
71.0,-10.6986666666667,15012.19,350.674,317.522,33.152,33.8335189877676,0.946774471452116
72.0,-7.14331666666667,15225.511,351.628,315.237,36.391,37.1466007926336,1.03948552748545
73.0,-3.57936666666668,15439.348,351.989,314.448,37.541,38.3281381404916,1.07254887506167
74.0,0.0,15654.11,354.542,316.626,37.916,38.7186629877878,1.08347706009679
75.0,3.57116666666664,15868.38,352.215,313.997,38.218,39.0347054736785,1.09232098075558
76.0,7.13951666666665,16082.481,352.065,314.19,37.875,38.6918838630636,1.08272769105641
77.0,10.6992333333333,16296.064,352.865,314.087,38.778,39.6219733464361,1.10875469047499
78.0,14.2592666666667,16509.666,355.948,315.941,40.007,40.8855014228474,1.14411241153089
79.0,17.8128166666667,16722.879,354.316,317.008,37.308,38.1344204648721,1.06712800973542
80.0,21.4094166666666,16938.675,352.319,313.854,38.465,39.3243869798274,1.10042723346234
81.0,25.0250833333333,17155.615,351.078,314.05,37.028,37.8622771564299,1.05951253417396
82.0,28.5651,17368.016,351.186,314.059,37.127,37.9704549280682,1.06253970827911
83.0,32.1621,17583.836,353.111,315.864,37.247,38.100083960428,1.06616716005678
84.0,35.69135,17795.591,351.632,316.079,35.553,36.3738112989762,1.01786030533029
85.0,39.25165,18009.209,347.196,313.657,33.539,34.3194111587136,0.960371351619871
86.0,42.8516,18225.206,348.932,316.202,32.73,33.4974796038117,0.937370971028558
87.0,46.3932333333334,18437.704,347.347,315.942,31.405,32.1470099763519,0.899580336001423
88.0,49.9672166666667,18652.143,345.939,313.79,32.149,32.9142662348932,0.921050719821426
89.0,53.5310333333334,18865.972,344.767,314.106,30.661,31.3962091583227,0.878570430176598
90.0,57.0872833333334,19079.347,346.156,315.62,30.536,31.2735015282875,0.875136662272889
91.0,60.70575,19296.455,346.829,315.517,31.312,32.0736153741839,0.89752651074901
92.0,64.4024333333334,19518.256,343.628,314.084,29.544,30.2676314810579,0.846989070452493
93.0,68.0309666666667,19735.968,344.325,315.855,28.47,29.1721165524507,0.816332916480599
94.0,71.7469166666667,19958.925,343.967,316.03,27.937,28.6306279105852,0.801180262011376
95.0,75.3344833333333,20174.179,341.982,314.009,27.973,28.6721388692719,0.802341876798897
96.0,78.8604166666667,20385.735,342.614,316.138,26.476,27.1420518109334,0.759524948224074
97.0,82.44085,20600.561,343.12,315.726,27.394,28.0875806882396,0.785983993272801
98.0,86.00765,20814.569,339.504,313.697,25.807,26.4645376491846,0.740565846966444
99.0,89.6100166666666,21030.711,342.103,315.916,26.187,26.8583779056005,0.751586808183619
100.0,93.1754333333333,21244.636,339.667,313.277,26.39,27.0707324494616,0.757529195113493
101.0,96.7421166666666,21458.637,341.264,314.11,27.154,27.8586689369504,0.779578280570721
102.0,100.271633333333,21670.408,340.611,313.515,27.096,27.8033430935878,0.778030079329041
103.0,103.8674,21886.154,341.348,314.879,26.469,27.1640184216738,0.760139647105407
104.0,107.405283333333,22098.427,340.461,314.016,26.445,27.143388794914,0.759562361485817
105.0,110.935516666667,22310.241,340.432,315.885,24.547,25.1989419011592,0.705150265576817
106.0,114.468116666667,22522.197,338.134,314.617,23.517,24.1450754652765,0.675659575052585
107.0,118.059533333333,22737.682,338.435,314.074,24.361,25.0151959930744,0.700008443495839
