"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.33333333333333,0.0,164.709,127.916,36.793,36.7955017615216,0.991665042409135
2.0,-3.33333333333333,60.0,166.603,128.891,37.712,37.7171281658508,1.01650353199566
3.0,-2.33333333333333,120.0,165.635,128.723,36.912,36.9195285809547,0.99500765374109
4.0,-1.33333333333333,180.0,165.302,128.639,36.663,36.6729697455045,0.988362717096448
5.0,-0.333333333333333,240.0,163.886,126.48,37.406,37.4187139103088,1.00846105475767
6.0,0.666666666666667,300.0,169.253,132.454,36.799,36.8140081417255,0.992163802568153
7.0,1.66666666666667,360.0,170.787,133.936,36.851,36.8685331018481,0.993633289171238
8.0,2.66666666666667,420.0,168.388,131.373,37.015,37.0351256983957,0.998123078586019
9.0,3.66666666666667,480.0,167.908,130.812,37.096,37.1186894825148,1.00037518222791
10.0,4.66666666666667,540.0,169.157,132.779,36.378,36.402720974946,0.981079319787346
11.0,5.66666666666667,600.0,168.916,132.537,36.379,36.4061920526878,0.981172867810644
12.0,6.66666666666667,660.0,166.166,130.2,35.966,35.9953253841766,0.970099717758381
13.0,7.66666666666667,720.0,166.312,129.961,36.351,36.3831071539492,0.980550713308309
14.0,8.66666666666667,780.0,166.228,129.757,36.471,36.5056888235936,0.983854376821702
15.0,9.66666666666667,840.0,167.601,131.895,35.706,35.7423846407848,0.963282784138388
16.0,10.6666666666667,900.0,165.673,129.683,35.99,36.0291164313331,0.971010410604171
17.0,11.6666666666667,960.0,166.688,131.441,35.247,35.2877005464527,0.951028723177054
18.0,12.6666666666667,1020.0,167.905,131.395,36.51,36.5546359990338,0.985173538145368
19.0,13.6666666666667,1080.0,167.317,131.35,35.967,36.013412022755,0.970587165580919
20.0,14.6666666666667,1140.0,166.405,131.21,35.195,35.2428030275473,0.949818702988229
21.0,15.6666666666667,1200.0,164.446,129.085,35.361,35.4114266393612,0.954363229714468
22.0,16.6666666666667,1260.0,164.554,128.845,35.709,35.7623443361998,0.963820712179931
23.0,17.6666666666667,1320.0,163.584,128.673,34.911,34.9655192436697,0.942345707047569
24.0,18.6666666666667,1380.0,163.562,128.719,34.843,34.8997751419995,0.940573856569936
25.0,19.6666666666667,1440.0,165.481,130.63,34.851,34.9101505035834,0.94085347997205
26.0,20.6666666666667,1500.0,164.399,130.421,33.978,34.0379716639532,0.917347637556969
27.0,21.6666666666667,1560.0,162.214,128.421,33.793,33.8549351501025,0.91241467283083
28.0,22.6666666666667,1620.0,161.557,128.112,33.445,33.5085634783424,0.90307970898684
29.0,23.6666666666667,1680.0,163.847,130.392,33.455,33.5208490015811,0.9034108126093
30.0,24.6666666666667,1740.0,163.178,130.179,32.999,33.0661867963916,0.891157341575985
31.0,25.6666666666667,1800.0,162.626,129.971,32.655,32.7236981460059,0.881927027930296
32.0,26.6666666666667,1860.0,162.703,129.912,32.791,32.862204920759,0.885659884396005
33.0,27.6666666666667,1920.0,160.437,127.82,32.617,32.6900356758877,0.881019800327484
34.0,28.6666666666667,1980.0,161.999,130.026,31.973,32.0467583398582,0.863683016857347
35.0,29.6666666666667,2040.0,161.562,129.742,31.82,31.8955594477887,0.859608098768496
36.0,30.6666666666667,2100.0,159.039,127.673,31.366,31.4426044360627,0.847400637817866
37.0,31.6666666666667,2160.0,160.808,129.741,31.067,31.1449767348144,0.839379358779643
38.0,32.6666666666667,2220.0,158.516,127.435,31.081,31.1611150864031,0.839814298876843
39.0,33.6666666666667,2280.0,160.264,129.714,30.55,30.6308133790587,0.825522289258068
40.0,34.6666666666667,2340.0,159.288,129.611,29.677,29.7575117284084,0.80198618628437
41.0,35.6666666666667,2400.0,156.344,127.555,28.789,28.8690499958639,0.778041508280167
42.0,36.6666666666667,2460.0,158.183,129.617,28.566,28.6473619432982,0.772066856990616
43.0,37.6666666666667,2520.0,157.624,129.577,28.047,28.1287803890335,0.758090713864876
44.0,38.6666666666667,2580.0,157.36,129.486,27.874,27.9571606707725,0.753465439930833
45.0,39.6666666666667,2640.0,156.387,129.44,26.947,27.0292168162153,0.728456690550356
