"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,136.742,126.175,10.566999999999993,10.567105670528345,0.9971112650356465
2.0,-3.3333333333333335,60.0,134.216,123.745,10.471000000000004,10.471209422094217,0.988062502529655
3.0,-2.3333333333333335,120.0,133.856,123.421,10.434999999999988,10.435313054695785,0.9846753241079741
4.0,-1.3333333333333333,180.0,135.596,125.046,10.549999999999997,10.55042200844011,0.99553699598517
5.0,-0.3333333333333333,240.0,133.804,122.84,10.963999999999999,10.964548213705228,1.0346139123415545
6.0,1.7,362.0,142.445,131.807,10.638000000000005,10.638638299148788,1.0038610782805335
7.0,2.6999999999999997,422.0,141.631,130.84,10.790999999999997,10.791755396438564,1.0183091956115644
8.0,3.6999999999999997,482.0,141.04,130.626,10.413999999999987,10.414833153325675,0.9827428422156137
9.0,4.7,542.0,138.752,128.004,10.748000000000019,10.748967363530724,1.0142717201711404
10.0,5.7,602.0,140.69,129.81,10.879999999999995,10.88108805440181,1.026738618233802
11.0,6.7,662.0,140.264,129.472,10.792000000000002,10.793187185293995,1.0184442990960394
12.0,7.7,722.0,139.843,129.683,10.159999999999997,10.161219273154922,0.9588118563078126
13.0,8.7,782.0,139.787,129.131,10.656000000000006,10.657385370047109,1.0056300504250322
14.0,9.7,842.0,137.743,127.292,10.450999999999993,10.452463242424573,0.9862936144814247
15.0,10.7,902.0,137.431,127.008,10.423000000000016,10.424563567264629,0.9836610033142625
16.0,11.7,962.0,139.373,128.803,10.569999999999993,10.571691335303209,0.9975439680053391
17.0,12.7,1022.0,139.117,128.716,10.400999999999982,10.402768320302949,0.9816044055147026
18.0,13.7,1082.0,137.025,126.691,10.334000000000003,10.335860287420848,0.9752909687621787
19.0,14.7,1142.0,137.266,126.716,10.549999999999997,10.552004690439558,0.9956863377349189
20.0,15.700000000000001,1202.0,137.115,126.371,10.744000000000014,10.746149014894339,1.0140057810141228
21.0,16.700000000000003,1262.0,138.585,128.012,10.573000000000008,10.575220563150978,0.9978769856691733
22.0,17.700000000000003,1322.0,138.673,127.859,10.814000000000007,10.816379341718,1.020632709163267
23.0,18.700000000000003,1382.0,138.317,128.032,10.284999999999997,10.287365822059105,0.9707150348014788
24.0,19.700000000000003,1442.0,136.248,125.865,10.382999999999996,10.38549221905432,0.9799742339513627
25.0,20.700000000000003,1502.0,138.046,127.569,10.47699999999999,10.479619577433525,0.9888560841300464
26.0,21.700000000000003,1562.0,135.823,125.705,10.11800000000001,10.120631022018049,0.9549819521033392
27.0,22.700000000000003,1622.0,137.812,127.421,10.391000000000005,10.393805948786046,0.9807587168389603
28.0,23.700000000000003,1682.0,135.836,125.344,10.492000000000019,10.494938171324808,0.9903015454521665
29.0,24.700000000000003,1742.0,137.496,127.126,10.370000000000005,10.373007736100659,0.9787961991157729
30.0,25.700000000000003,1802.0,135.457,125.136,10.320999999999998,10.324096764491445,0.9741809636581201
31.0,26.700000000000003,1862.0,135.035,125.253,9.781999999999996,9.78503289007367,0.9233149386069246
32.0,27.700000000000003,1922.0,137.176,126.963,10.212999999999994,10.216268682961376,0.9640063143139125
33.0,28.700000000000003,1982.0,135.536,125.197,10.338999999999999,10.34241243302048,0.9759092287087757
34.0,29.700000000000003,2042.0,135.048,125.215,9.832999999999998,9.836343788411817,0.9281566309631162
35.0,30.700000000000003,2102.0,135.724,125.429,10.294999999999987,10.29860388064231,0.9717754571309059
36.0,31.7,2162.0,138.009,127.629,10.379999999999981,10.383737472704704,0.9798086562229822
37.0,32.699999999999996,2222.0,137.683,127.681,10.001999999999995,10.005701424721341,0.9441372042865201
38.0,33.699999999999996,2282.0,138.364,127.659,10.704999999999998,10.709068672998908,1.010506882851457
39.0,34.699999999999996,2342.0,138.235,127.782,10.453000000000017,10.457077465054022,0.9867290121680437
40.0,35.699999999999996,2402.0,137.927,127.835,10.091999999999999,10.096037607467657,0.9526613194288426
41.0,36.699999999999996,2462.0,137.308,127.374,9.933999999999997,9.938073775066819,0.9377558645516033
42.0,37.699999999999996,2522.0,137.768,127.578,10.189999999999998,10.194280698883837,0.9619315298551665
43.0,38.699999999999996,2582.0,135.285,125.305,9.97999999999999,9.98429232278325,0.9421170431012011
44.0,39.699999999999996,2642.0,136.977,127.411,9.566000000000003,9.57020996612463,0.9030442642958979
45.0,40.699999999999996,2702.0,135.413,125.252,10.161000000000016,10.165573478955602,0.9592227188267947
46.0,41.699999999999996,2762.0,137.326,126.675,10.650999999999996,10.655900587048604,1.0054899464173594
47.0,42.699999999999996,2822.0,136.943,126.696,10.247000000000014,10.251817221958497,0.9673606716748355
48.0,43.699999999999996,2882.0,135.149,124.954,10.195000000000007,10.199894774651943,0.9624612736057901
49.0,44.699999999999996,2942.0,134.758,124.964,9.794000000000011,9.798800235961778,0.924614024288727
50.0,45.699999999999996,3002.0,135.04,124.844,10.195999999999998,10.20109927471244,0.9625749301373424
51.0,46.699999999999996,3062.0,137.599,126.913,10.685999999999993,10.691451249950575,1.008844504189778
52.0,47.699999999999996,3122.0,137.226,126.884,10.341999999999999,10.34737923848079,0.9763778960837534
53.0,48.699999999999996,3182.0,135.519,125.261,10.25800000000001,10.263438180990674,0.9684572244606962
54.0,49.699999999999996,3242.0,137.165,127.016,10.148999999999987,10.154481939990573,0.958176122077085
55.0,50.699999999999996,3302.0,135.252,125.014,10.238000000000014,10.243632448781444,0.9665883571176562
56.0,51.699999999999996,3362.0,137.219,127.104,10.114999999999995,10.120665986328095,0.954985251332902
57.0,52.699999999999996,3422.0,134.848,124.975,9.873000000000019,9.878629214173648,0.9321466804325318
58.0,53.699999999999996,3482.0,137.026,126.765,10.26100000000001,10.266953106233933,0.9687888925318868
59.0,54.699999999999996,3542.0,135.053,124.786,10.266999999999996,10.273059317322835,0.9693650741329103
60.0,55.699999999999996,3602.0,136.636,126.908,9.727999999999994,9.733838551390255,0.9184842448106421
61.0,56.699999999999996,3662.0,134.792,124.785,10.007000000000005,10.01310613218098,0.9448359119035824
62.0,57.699999999999996,3722.0,134.808,124.486,10.321999999999989,10.328401624298456,0.9745871698929969
63.0,58.699999999999996,3782.0,134.324,124.753,9.571000000000012,9.57703162976389,0.903687955943646
64.0,59.699999999999996,3842.0,134.733,124.931,9.802000000000007,9.808275287877931,0.925508089446866
65.0,60.699999999999996,3902.0,136.299,126.469,9.830000000000013,9.836391577037514,0.9281611402941012
66.0,61.699999999999996,3962.0,134.812,124.498,10.314000000000007,10.320809486883494,0.9738707764000019
67.0,62.699999999999996,4022.0,134.738,124.51,10.227999999999994,10.23485505618738,0.965760123038613
68.0,63.699999999999996,4082.0,135.739,126.048,9.691000000000003,9.69759212106715,0.9150640344787536
69.0,64.7,4142.0,135.994,126.349,9.644999999999996,9.651657346520414,0.9107296327432658
70.0,65.7,4202.0,136.111,126.224,9.886999999999986,9.893923322880292,0.9335898313345434
71.0,66.7,4262.0,135.901,126.218,9.683000000000007,9.689877371177868,0.9143360712822666
72.0,67.7,4322.0,135.988,126.036,9.951999999999998,9.959168020177604,0.9397463158713103
73.0,68.7,4382.0,135.813,126.33,9.48299999999999,9.489925117360293,0.8954685922423979
74.0,69.7,4442.0,134.669,124.319,10.350000000000009,10.35766183452915,0.9773481610430813
75.0,70.7,4502.0,136.157,126.124,10.033000000000015,10.040527572486843,0.9474233968672973
76.0,71.7,4562.0,135.784,126.088,9.695999999999998,9.703371760914319,0.9156094008429355
77.0,72.7,4622.0,135.742,126.171,9.570999999999984,9.57837250805132,0.9038144811140308
78.0,73.7,4682.0,135.591,126.113,9.478000000000009,9.485395723957389,0.8950411990349646
