"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-107.33333333333333,0.0,174.676,142.282,32.39399999999998,32.39432394161968,0.975061534837003
2.0,-106.33333333333333,60.0,176.319,143.835,32.48399999999998,32.48464968649682,0.9777803185225006
3.0,-105.33333333333333,120.0,174.092,141.527,32.565000000000026,32.565976964654425,0.9802282504752519
4.0,-104.33333333333333,180.0,176.114,143.785,32.32900000000001,32.33029318586355,0.9731342241421769
5.0,-103.33333333333333,240.0,174.577,141.549,33.02799999999999,33.02965144128568,0.9941847432134118
6.0,-102.33333333333333,300.0,179.642,146.25,33.391999999999996,33.3940035801068,1.0051516569338623
7.0,-101.33333333333333,360.0,179.418,145.629,33.789000000000016,33.791365312785,1.017112151668957
8.0,-100.33333333333333,420.0,178.18,142.781,35.399,35.401832033279824,1.0655868213400872
9.0,-99.33333333333333,480.0,175.673,144.714,30.959000000000003,30.961786435387715,0.9319424926845747
10.0,-98.33333333333333,540.0,174.739,141.967,32.77199999999999,32.775277363865456,0.986528143285625
11.0,-97.33333333333333,600.0,174.3,141.545,32.755000000000024,32.75860324817504,0.9860262563233767
12.0,-96.33333333333333,660.0,176.547,143.76,32.787000000000006,32.79093467607585,0.986999424702172
13.0,-95.33333333333333,720.0,174.271,141.424,32.84699999999998,32.85127038756916,0.9888155154333806
14.0,-94.33333333333333,780.0,173.692,141.006,32.68600000000001,32.69057636033776,0.9839786629923862
15.0,-93.33333333333333,840.0,176.552,143.443,33.10899999999998,33.11396672249486,0.9967226133555452
16.0,-92.33333333333333,900.0,175.884,143.34,32.54399999999998,32.5492074565854,0.9797234922248339
17.0,-91.33333333333333,960.0,175.832,143.15,32.68199999999999,32.68755641228165,0.9838877632658779
18.0,-90.33333333333333,1020.0,174.523,140.992,33.531000000000006,33.5370361232348,1.009456902855505
19.0,-89.33333333333333,1080.0,173.704,140.945,32.759000000000015,32.76522480133741,0.9862255635168573
20.0,-88.33333333333333,1140.0,175.166,142.666,32.5,32.506500650043336,0.9784380273881564
21.0,-87.33333333333333,1200.0,172.748,139.943,32.80499999999998,32.811889773400864,0.987630168205176
22.0,-86.33333333333333,1260.0,172.188,139.53,32.65799999999999,32.665185550381544,0.9832144055820053
23.0,-85.33333333333333,1320.0,174.067,141.848,32.218999999999994,32.22641122225788,0.9700074014599757
24.0,-84.33333333333333,1380.0,174.875,141.776,33.09899999999999,33.10694471332746,0.9965112525304592
25.0,-83.33333333333333,1440.0,174.693,141.904,32.789000000000016,32.79719827474166,0.9871879575494601
26.0,-82.33333333333333,1500.0,172.989,139.931,33.05799999999999,33.06659619745724,0.9952967716885773
27.0,-81.33333333333333,1560.0,174.873,142.213,32.66,32.668819390564146,0.983323783317197
28.0,-80.33333333333333,1620.0,172.91,139.661,33.248999999999995,33.25831102348245,1.0010673428803714
29.0,-79.33333333333333,1680.0,174.885,141.922,32.962999999999994,32.97256065622814,0.9924663240050475
30.0,-78.33333333333333,1740.0,172.718,139.321,33.39699999999999,33.40702060301529,1.005543466263146
31.0,-77.33333333333333,1800.0,174.615,141.69,32.92500000000001,32.935208332209754,0.9913420278335104
32.0,-76.33333333333333,1860.0,172.714,139.162,33.55199999999999,33.56273835804565,1.0102305340807953
