"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,228.423,142.282,86.14099999999999,86.14186141430706,0.971101666649353
2.0,-3.3333333333333335,60.0,230.96,143.835,87.125,87.12674251742511,0.9822045110154553
3.0,-2.3333333333333335,120.0,229.451,141.527,87.924,87.9266377595662,0.9912219572377061
4.0,-1.3333333333333333,180.0,231.764,143.785,87.97900000000001,87.98251923038414,0.9918519249276904
5.0,-0.3333333333333333,240.0,230.585,141.549,89.036,89.04045191129686,1.003778300475764
6.0,0.6666666666666667,300.0,235.228,146.25,88.97800000000001,88.98333884016361,1.0031344486056704
7.0,1.6666666666666667,360.0,234.024,145.629,88.39500000000001,88.40118786657281,0.9965716953587146
8.0,2.6666666666666665,420.0,231.405,142.781,88.624,88.63109020360436,0.9991634496926979
9.0,3.6666666666666665,480.0,233.102,144.714,88.388,88.39595527798214,0.9965127069015596
10.0,4.666666666666667,540.0,231.073,141.967,89.106,89.11491104554484,1.004617699441358
11.0,5.666666666666667,600.0,231.198,141.545,89.65300000000002,89.66286237242056,1.0107949103587361
12.0,6.666666666666667,660.0,232.811,143.76,89.05100000000002,89.06168676119286,1.0040176869690032
13.0,7.666666666666667,720.0,230.574,141.424,89.15,89.16159025335016,1.0051439274071037
14.0,8.666666666666666,780.0,231.025,141.006,90.019,90.03160354222737,1.014951834282627
15.0,9.666666666666666,840.0,232.731,143.443,89.28799999999998,89.30139420454022,1.0067199770509798
16.0,10.666666666666666,900.0,233.93,143.34,90.59,90.60449555961385,1.0214102086868946
17.0,11.666666666666666,960.0,232.915,143.15,89.76499999999999,89.78026134717774,1.0121183823406255
18.0,12.666666666666666,1020.0,230.661,140.992,89.66900000000001,89.68514187272497,1.0110460734926934
19.0,13.666666666666666,1080.0,230.663,140.945,89.71800000000002,89.73504803951248,1.0116086798834507
20.0,14.666666666666666,1140.0,232.505,142.666,89.839,89.85696959689979,1.0129831362236714
