"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-123.33333333333333,0.0,183.031,148.844,34.18700000000001,34.187341871709364,0.9542493381454437
2.0,-122.33333333333333,60.0,184.932,150.448,34.48399999999998,34.48468968689683,0.9625490169244023
3.0,-121.33333333333333,120.0,183.462,148.177,35.285,35.286058565878406,0.9849171122635528
4.0,-120.33333333333333,180.0,185.075,149.959,35.115999999999985,35.11740466809316,0.9802095842275577
5.0,-119.33333333333333,240.0,182.948,147.51,35.43800000000002,35.43977194429826,0.9892076151687413
6.0,-118.33333333333333,300.0,185.586,149.831,35.755000000000024,35.75714536436031,0.9980662558075969
7.0,-117.33333333333333,360.0,184.919,149.422,35.497000000000014,35.499484876969696,0.9908743439449729
8.0,-116.33333333333333,420.0,183.446,147.302,36.144000000000005,36.14689163566389,1.008944993406786
9.0,-115.33333333333333,480.0,184.655,148.752,35.90299999999999,35.906231415411504,1.0022275990929619
10.0,-114.33333333333333,540.0,182.872,147.0,35.872000000000014,35.875587379365996,1.0013722517768628
11.0,-113.33333333333333,600.0,182.24,146.54,35.70000000000002,35.703927215992934,0.996580811778416
12.0,-112.33333333333333,660.0,184.082,147.971,36.11099999999999,36.11533358000959,1.008064133647806
13.0,-111.33333333333333,720.0,181.983,146.19,35.793000000000006,35.797653392463964,0.9991969304050119
14.0,-110.33333333333333,780.0,181.961,145.881,36.08000000000001,36.085051553600515,1.0072188908744135
15.0,-109.33333333333333,840.0,183.945,147.682,36.263000000000005,36.26843985797915,1.0123376909476578
16.0,-108.33333333333333,900.0,183.661,147.816,35.845,35.85073565884047,1.0006785816473671
17.0,-107.33333333333333,960.0,183.489,147.514,35.974999999999994,35.9811162698682,1.0043178119872718
18.0,-106.33333333333333,1020.0,181.677,145.408,36.269000000000005,36.27552900759306,1.0125355658322412
19.0,-105.33333333333333,1080.0,181.473,144.887,36.58600000000001,36.59295200041914,1.0213955901638518
20.0,-104.33333333333333,1140.0,182.072,146.558,35.51400000000001,35.521103510327364,0.9914777709867879
21.0,-103.33333333333333,1200.0,179.996,143.801,36.19500000000002,36.202601748155644,1.0104999940316592
22.0,-102.33333333333333,1260.0,179.821,143.816,36.004999999999995,36.0129219713849,1.0052055841263123
23.0,-101.33333333333333,1320.0,181.936,145.765,36.17100000000002,36.179320286796326,1.0098501535387494
24.0,-100.33333333333333,1380.0,182.357,146.022,36.33500000000001,36.34372144653173,1.0144389776262306
25.0,-99.33333333333333,1440.0,182.558,146.075,36.483000000000004,36.49212189018877,1.0185811839923067
26.0,-98.33333333333333,1500.0,180.95,144.517,36.43299999999999,36.44247381154212,1.0171953890285876
27.0,-97.33333333333333,1560.0,183.531,146.517,37.01400000000001,37.023995129281744,1.0334270204509097
28.0,-96.33333333333333,1620.0,180.627,144.477,36.150000000000006,36.160123417212276,1.0093143236352784
29.0,-95.33333333333333,1680.0,182.993,146.602,36.39099999999999,36.40155492038947,1.0160532462745067
30.0,-94.33333333333333,1740.0,180.941,144.322,36.619,36.629987348019796,1.0224293340585522
31.0,-93.33333333333333,1800.0,182.636,145.993,36.643,36.654361090878105,1.023109662704106
32.0,-92.33333333333333,1860.0,180.677,144.213,36.464,36.475670347155955,1.018121982627385
33.0,-91.33333333333333,1920.0,182.448,145.677,36.771000000000015,36.78313643240122,1.0267040861863124
34.0,-90.33333333333333,1980.0,179.846,143.773,36.07300000000001,36.08526690525573,1.00722490184699
35.0,-89.33333333333333,2040.0,180.038,143.791,36.247000000000014,36.2596886703878,1.0120934246634181
36.0,-88.33333333333333,2100.0,179.59,143.398,36.19200000000001,36.205031465523064,1.0105678131735638
37.0,-87.33333333333333,2160.0,181.693,145.005,36.68800000000002,36.70157707160337,1.0244275720790452
38.0,-86.33333333333333,2220.0,179.722,143.219,36.503000000000014,36.51687377585048,1.0192720674953053
39.0,-85.33333333333333,2280.0,182.072,145.306,36.76599999999999,36.780341536417815,1.0266260740480082
40.0,-84.33333333333333,2340.0,180.188,143.549,36.63899999999998,36.653658531510835,1.0230900526152686
41.0,-83.33333333333333,2400.0,180.214,143.3,36.91399999999999,36.92913784304576,1.0307793298831949
42.0,-82.33333333333333,2460.0,179.918,143.042,36.876000000000005,36.8914911729186,1.0297285225350534
43.0,-81.33333333333333,2520.0,181.652,144.738,36.91399999999999,36.9298764331885,1.0307999456759498
44.0,-80.33333333333333,2580.0,181.647,144.79,36.857,36.87322064828093,1.029218549103703
45.0,-79.33333333333333,2640.0,181.868,144.869,36.998999999999995,37.01565329671073,1.0331941802306994
46.0,-78.33333333333333,2700.0,179.482,142.702,36.78,36.79692269192074,1.0270888932026454
47.0,-77.33333333333333,2760.0,181.13,144.637,36.492999999999995,36.510155741283384,1.019084551306906
48.0,-76.33333333333333,2820.0,180.979,144.342,36.637,36.65458998125777,1.0231160515744115
49.0,-75.33333333333333,2880.0,178.872,142.244,36.628000000000014,36.645952117909715,1.0228749484370632
50.0,-74.33333333333333,2940.0,181.416,144.048,37.367999999999995,37.38668867177859,1.043550652588676
51.0,-73.33333333333333,3000.0,180.862,144.229,36.63299999999998,36.65168759493164,1.0230350391271394
52.0,-72.33333333333333,3060.0,179.036,142.095,36.941,36.960214315289015,1.0316467475134192
53.0,-71.33333333333333,3120.0,180.32,143.841,36.478999999999985,36.4983389943808,1.0187547180325573
54.0,-70.33333333333333,3180.0,178.478,142.031,36.447,36.46668669492925,1.0178712277069344
55.0,-69.33333333333333,3240.0,181.172,143.906,37.26599999999999,37.286501937515986,1.0407542045577116
56.0,-68.33333333333333,3300.0,180.828,143.728,37.099999999999994,37.12078181836604,1.0361285652023724
57.0,-67.33333333333333,3360.0,178.777,141.787,36.98999999999998,37.01109031016736,1.0330668165150494
58.0,-66.33333333333333,3420.0,178.733,141.89,36.84300000000002,36.86437513819088,1.0289716500560768
59.0,-65.33333333333333,3480.0,180.374,143.828,36.54599999999999,36.56756850208244,1.020687076861516
60.0,-64.33333333333333,3540.0,178.446,141.593,36.85300000000001,36.87511843486691,1.0292715208030065
61.0,-63.333333333333336,3600.0,178.446,141.706,36.74000000000001,36.762418236867106,1.0261257924877212
62.0,-62.333333333333336,3660.0,178.558,141.941,36.61699999999999,36.639709579242094,1.0227007044606147
63.0,-61.333333333333336,3720.0,180.28,143.581,36.69900000000001,36.72212765444622,1.02500118731213
64.0,-60.333333333333336,3780.0,180.465,143.778,36.68700000000001,36.71048719510075,1.0246762746392521
65.0,-59.333333333333336,3840.0,180.845,143.755,37.09,37.11411633696042,1.0359425158966498
66.0,-58.333333333333336,3900.0,178.817,141.548,37.269000000000005,37.29360565897428,1.040952486176838
67.0,-57.333333333333336,3960.0,178.706,141.478,37.22799999999998,37.252951117691026,1.0398177220510476
68.0,-56.333333333333336,4020.0,180.238,143.49,36.74799999999999,36.77299713806371,1.0264210745691138
69.0,-55.333333333333336,4080.0,180.693,143.207,37.48600000000002,37.51187426559508,1.047044877746426
70.0,-54.333333333333336,4140.0,178.435,141.565,36.870000000000005,36.89581803525811,1.0298492954673046
