"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,213.355,148.844,64.511,64.51164511322555,0.953070573422157
2.0,-3.3333333333333335,60.0,216.107,150.448,65.65899999999999,65.66031319313188,0.9700405599054751
3.0,-2.3333333333333335,120.0,215.04,148.177,66.863,66.86500592008865,0.9878382332722453
4.0,-1.3333333333333333,180.0,216.44,149.959,66.481,66.4836592931855,0.9822043628642392
5.0,-0.3333333333333333,240.0,214.316,147.51,66.80600000000001,66.80934038350891,0.9870158517506643
6.0,0.6666666666666667,300.0,217.625,149.831,67.79400000000001,67.79806776203165,1.0016229349827375
7.0,1.6666666666666667,360.0,216.839,149.422,67.417,67.42171935517551,0.9960629063817097
8.0,2.6666666666666665,420.0,215.33,147.302,68.02800000000002,68.03344245769543,1.0051002714507755
9.0,3.6666666666666665,480.0,216.425,148.752,67.673,67.67909084408387,0.9998652151290046
10.0,4.666666666666667,540.0,214.502,147.0,67.50200000000001,67.50875053752127,0.997348672055772
11.0,5.666666666666667,600.0,213.977,146.54,67.43700000000001,67.44441847800883,0.9963982546118929
12.0,6.666666666666667,660.0,216.126,147.971,68.155,68.16317909073562,1.0070169512537548
13.0,7.666666666666667,720.0,214.114,146.19,67.924,67.93283069398268,1.0036138714191778
14.0,8.666666666666666,780.0,213.587,145.881,67.70599999999999,67.71547950354976,1.0004028073804865
15.0,9.666666666666666,840.0,216.495,147.682,68.81300000000002,68.82332272418498,1.0167696628792031
16.0,10.666666666666666,900.0,215.632,147.816,67.816,67.8268514280911,1.0020481739464677
17.0,11.666666666666666,960.0,215.432,147.514,67.91799999999998,67.9295470414707,1.0035653599825678
18.0,12.666666666666666,1020.0,213.618,145.408,68.21000000000001,68.22227890506831,1.0078900694921182
19.0,13.666666666666666,1080.0,213.322,144.887,68.435,68.44800388532998,1.0112248447252736
20.0,14.666666666666666,1140.0,213.973,146.558,67.41500000000002,67.42848434838992,0.9961628498252652
21.0,15.666666666666666,1200.0,211.713,143.801,67.912,67.92626301756444,1.0035168430591197
22.0,16.666666666666668,1260.0,211.501,143.816,67.685,67.69989233809713,1.000172528510836
23.0,17.666666666666668,1320.0,213.988,145.765,68.22300000000001,68.23869309463672,1.0081325665023366
24.0,18.666666666666668,1380.0,214.287,146.022,68.26500000000001,68.28138556618931,1.0087632888823352
25.0,19.666666666666668,1440.0,214.716,146.075,68.64100000000002,68.65816239521003,1.0143296468299072
26.0,20.666666666666668,1500.0,213.344,144.517,68.827,68.84489734655423,1.017088398166092
27.0,21.666666666666668,1560.0,215.875,146.517,69.358,69.37672918832665,1.024945480054371
28.0,22.666666666666668,1620.0,212.748,144.477,68.27099999999999,68.29011855647299,1.0088923067680633
29.0,23.666666666666668,1680.0,215.361,146.602,68.75899999999999,68.77894300159545,1.0161140136924172
30.0,24.666666666666668,1740.0,213.187,144.322,68.86500000000001,68.88566259923492,1.0176906485455373
31.0,25.666666666666668,1800.0,215.004,145.993,69.011,69.03239672632122,1.019858442877821
32.0,26.666666666666668,1860.0,213.063,144.213,68.85,68.87203552549605,1.0174893273273358
33.0,27.666666666666668,1920.0,215.047,145.677,69.37,69.39289587761203,1.0251843205892932
34.0,28.666666666666668,1980.0,212.565,143.773,68.792,68.81539325662827,1.0166525159334394
35.0,29.666666666666668,2040.0,212.309,143.791,68.518,68.54198549721715,1.0126132934088445
36.0,30.666666666666668,2100.0,211.842,143.398,68.44400000000002,68.46864427570348,1.0115297780230434
37.0,31.666666666666668,2160.0,213.806,145.005,68.80100000000002,68.82646108000935,1.0168160277576663
38.0,32.666666666666664,2220.0,212.227,143.219,69.00800000000001,69.03422802300877,1.019885497760409
39.0,33.666666666666664,2280.0,214.641,145.306,69.33499999999998,69.36204592361229,1.024728555071347
40.0,34.666666666666664,2340.0,212.963,143.549,69.41399999999999,69.44177115386047,1.0259063853805181
41.0,35.666666666666664,2400.0,212.888,143.3,69.588,69.61653692967081,1.0284883086576846
42.0,36.666666666666664,2460.0,212.399,143.042,69.357,69.3861360581439,1.0250844535807024
43.0,37.666666666666664,2520.0,214.133,144.738,69.39500000000001,69.42484626648742,1.0256563435146593
44.0,38.666666666666664,2580.0,214.599,144.79,69.809,69.8397227185024,1.0317855708398542
45.0,39.666666666666664,2640.0,214.291,144.869,69.422,69.45324693003197,1.02607592414452
46.0,40.666666666666664,2700.0,212.482,142.702,69.78,69.81210618385614,1.0313775746328897
47.0,41.666666666666664,2760.0,213.388,144.637,68.751,68.78332056473775,1.0161786861497215
48.0,42.666666666666664,2820.0,213.145,144.342,68.803,68.83603336737393,1.0169574451000936
49.0,43.666666666666664,2880.0,211.548,142.244,69.304,69.3379672813043,1.0243728263437442
50.0,44.666666666666664,2940.0,214.212,144.048,70.16399999999999,70.19909077196192,1.0370947381410311
51.0,45.666666666666664,3000.0,213.352,144.229,69.12299999999999,69.15826172097454,1.0217179245639176
52.0,46.666666666666664,3060.0,211.957,142.095,69.862,69.8983376869798,1.0326515261494706
53.0,47.666666666666664,3120.0,212.818,143.841,68.977,69.01356749953139,1.0195802670237997
54.0,48.666666666666664,3180.0,210.78,142.031,68.749,68.7861344854087,1.0162202579462973
55.0,49.666666666666664,3240.0,213.849,143.906,69.94299999999998,69.98147923081846,1.0338798277797026
56.0,50.666666666666664,3300.0,213.367,143.728,69.63899999999998,69.67800876143376,1.029396470181775
57.0,51.666666666666664,3360.0,211.208,141.787,69.42099999999999,69.46058124958446,1.0261842785994297
58.0,52.666666666666664,3420.0,211.506,141.89,69.61600000000001,69.65638899167536,1.029077067904485
59.0,53.666666666666664,3480.0,212.866,143.828,69.03800000000001,69.07874443842742,1.0205431663952003
60.0,54.666666666666664,3540.0,211.321,141.593,69.72800000000001,69.7698493535506,1.0307532882514212
61.0,55.666666666666664,3600.0,211.012,141.706,69.30600000000001,69.34828955700357,1.0245253237293317
62.0,56.666666666666664,3660.0,211.06,141.941,69.119,69.16186706741772,1.0217711885846374
63.0,57.666666666666664,3720.0,212.56,143.581,68.97900000000001,69.02247046175768,1.0197117960105317
64.0,58.666666666666664,3780.0,213.348,143.778,69.57000000000002,69.61453905097606,1.0284587927557123
65.0,59.666666666666664,3840.0,213.435,143.755,69.68,69.72530672308983,1.0300952323255421
66.0,60.666666666666664,3900.0,211.863,141.548,70.315,70.36142321797676,1.0394929761201874
67.0,61.666666666666664,3960.0,211.323,141.478,69.845,69.89181183021196,1.032555115617064
68.0,62.666666666666664,4020.0,213.065,143.49,69.57499999999999,69.6223270893867,1.0285738502809207
69.0,63.666666666666664,4080.0,213.791,143.207,70.584,70.63271976638644,1.0435010084143022
70.0,64.66666666666667,4140.0,211.016,141.565,69.451,69.49963271946598,1.0267612102018966
71.0,65.66666666666667,4200.0,213.034,143.269,69.76499999999999,69.81455073843058,1.0314136895548691
72.0,66.66666666666667,4260.0,211.135,141.293,69.84199999999998,69.8923043473919,1.0325623918790516
73.0,67.66666666666667,4320.0,212.063,142.931,69.13199999999998,69.18248478470444,1.022075786918824
74.0,68.66666666666667,4380.0,213.832,143.0,70.832,70.88443507858628,1.047219754952487
