"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-15.3666666666667,0.0,235.729,226.699,9.03,9.05998975305954,0.853170458706095
2.0,-14.3666666666667,60.0,236.904,228.004,8.90000000000001,8.95878136144101,0.843639762507136
3.0,-13.3666666666667,120.0,236.703,227.293,9.41,9.5026960269233,0.894859679669823
4.0,-12.3666666666667,180.0,235.533,226.391,9.142,9.26139288163888,0.872136396226813
5.0,-11.3666666666667,240.0,234.294,225.86,8.434,8.57090032035917,0.807113380605717
6.0,-9.33333333333333,362.0,267.139,257.264,9.875,10.0662536703409,0.947929357036682
7.0,-8.33333333333333,422.0,260.719,251.238,9.48099999999999,9.6940057663277,0.912875132509322
8.0,-7.33333333333333,482.0,260.526,250.176,10.35,10.6142315755525,0.999531905548645
9.0,-6.33333333333333,542.0,256.291,246.807,9.48400000000001,9.75483285646351,0.918603160664697
10.0,-5.33333333333333,602.0,255.137,244.905,10.232,10.5548038580667,0.993935654960162
11.0,-4.33333333333333,662.0,253.399,243.596,9.803,10.141250921813,0.954991775558569
12.0,-3.33333333333333,722.0,251.413,241.607,9.80600000000001,10.1730016604846,0.957981711862588
13.0,-2.33333333333333,782.0,249.856,239.93,9.92599999999999,10.3261463281079,0.972403196862666
14.0,-1.33333333333333,842.0,250.673,240.712,9.96100000000001,10.3909693291544,0.978507516077695
15.0,-0.333333333333333,902.0,247.193,236.959,10.234,10.7045953955006,1.00804137893845
16.0,0.666666666666667,962.0,248.404,237.992,10.412,10.9197724035027,1.02830438934176
17.0,1.66666666666667,1022.0,246.545,237.275,9.26999999999998,9.74758122187448,0.917920281260048
18.0,2.66666666666667,1082.0,244.143,233.942,10.201,10.7542703420748,1.01271922053763
19.0,3.66666666666667,1142.0,245.432,235.053,10.379,10.9697924633347,1.03301472992211
20.0,4.66666666666667,1202.0,242.782,232.922,9.86000000000001,10.4474038776702,0.983821902843727
21.0,5.66666666666667,1262.0,241.519,231.985,9.53399999999999,10.1269649140381,0.95364647604515
22.0,6.66666666666667,1322.0,241.258,231.297,9.96100000000001,10.6063059065843,0.998785552979448
23.0,7.66666666666667,1382.0,240.051,230.806,9.24499999999998,9.86756006618066,0.929218572805815
24.0,8.66666666666667,1442.0,239.412,230.132,9.28,9.9283558742018,0.934943655154753
25.0,9.66666666666667,1502.0,240.436,231.131,9.30500000000001,9.97831731867423,0.939648475983471
26.0,10.6666666666667,1562.0,238.21,229.948,8.262,8.88020534069092,0.836240334749062
27.0,11.6666666666667,1622.0,237.707,230.043,7.66399999999999,8.25611510215654,0.777470361537496
28.0,12.6666666666667,1682.0,238.661,232.511,6.15000000000001,6.63993079205901,0.625275850640411
29.0,13.6666666666667,1742.0,237.783,232.743,5.03999999999999,5.45347292346257,0.513548262466921
30.0,14.6666666666667,1802.0,235.873,231.814,4.059,4.40151392351242,0.414486302465874
31.0,15.6666666666667,1862.0,237.223,233.819,3.40400000000002,3.69912851600276,0.348343349035809
32.0,16.6666666666667,1922.0,236.874,234.426,2.44800000000001,2.6658442639965,0.25103997195856
33.0,17.6666666666667,1982.0,235.122,232.387,2.73500000000001,2.9845650710186,0.281053601613538
34.0,18.6666666666667,2042.0,235.921,233.736,2.185,2.38925554069104,0.224993879814166
35.0,19.6666666666667,2102.0,235.862,232.864,2.99799999999999,3.28486492783203,0.309332548231591
36.0,20.6666666666667,2162.0,233.757,231.667,2.09,2.2945334625663,0.216073993473678
37.0,21.6666666666667,2222.0,231.718,228.944,2.774,3.05143755115723,0.287350918289356
38.0,22.6666666666667,2282.0,229.473,227.212,2.26100000000002,2.49193328783577,0.234662943799674
39.0,23.6666666666667,2342.0,230.499,227.626,2.87299999999999,3.17246904127166,0.298748336471197
40.0,24.6666666666667,2402.0,229.713,227.23,2.483,2.74696229080401,0.25867877796464
41.0,25.6666666666667,2462.0,228.493,225.441,3.05199999999999,3.38269783852011,0.318545378661131
42.0,26.6666666666667,2522.0,228.82,226.305,2.51499999999999,2.7925955550649,0.26297601825551
43.0,27.6666666666667,2582.0,231.156,228.919,2.23699999999999,2.48837757874475,0.234328106118959
44.0,28.6666666666667,2642.0,229.839,227.244,2.595,2.89172474646727,0.272310918184217
45.0,29.6666666666667,2702.0,230.859,228.516,2.34300000000002,2.6154739961037,0.24629665262437
46.0,30.6666666666667,2762.0,230.826,227.549,3.27699999999999,3.66439686424005,0.345072703033587
47.0,31.6666666666667,2822.0,227.358,225.13,2.22800000000001,2.4956218795073,0.235010294904272
48.0,32.6666666666667,2882.0,229.126,226.347,2.779,3.11802397187673,0.293621297026779
49.0,33.6666666666667,2942.0,228.583,226.399,2.184,2.45448726709104,0.231136688299803
50.0,34.6666666666667,3002.0,226.927,224.554,2.37299999999999,2.67124207098755,0.251548278214095
51.0,35.6666666666667,3062.0,229.617,226.781,2.83599999999998,3.19756493503178,0.301111592476396
52.0,36.6666666666667,3122.0,229.911,227.411,2.5,2.82319735789447,0.265857760384249
53.0,37.6666666666667,3182.0,229.112,226.99,2.12199999999999,2.40007770500122,0.226012992543911
54.0,38.6666666666667,3242.0,226.23,223.5,2.72999999999999,3.09251655146944,0.291219287955858
55.0,39.6666666666667,3302.0,224.803,222.258,2.54499999999999,2.88733757729961,0.271897782713515
56.0,40.6666666666667,3362.0,224.1,221.209,2.89099999999999,3.28480310827235,0.30932672674354
57.0,41.6666666666667,3422.0,225.579,222.716,2.863,3.25780670156743,0.306784501275341
58.0,42.6666666666667,3482.0,224.724,221.897,2.827,3.22154257593583,0.303369543693382
59.0,43.6666666666667,3542.0,224.244,221.507,2.73699999999999,3.12347838977791,0.294134934276882
60.0,44.6666666666667,3602.0,223.245,220.43,2.815,3.21706202586355,0.302947614633348
61.0,45.6666666666667,3662.0,221.012,218.118,2.89400000000001,3.31198773045636,0.311886676281083
62.0,46.6666666666667,3722.0,220.638,217.731,2.90700000000001,3.33147343378603,0.313721626087993
63.0,47.6666666666667,3782.0,219.986,217.332,2.654,3.04568850724376,0.286809536393078
64.0,48.6666666666667,3842.0,220.173,217.51,2.66300000000001,3.06013951619129,0.288170373907089
65.0,49.6666666666667,3902.0,219.963,217.61,2.35299999999998,2.70750875505198,0.254963476721196
66.0,50.6666666666667,3962.0,222.337,219.055,3.28199999999998,3.78143746001244,0.356094302561185
67.0,51.6666666666667,4022.0,219.739,216.369,3.37,3.88786612578146,0.366116586920058
68.0,52.6666666666667,4082.0,219.724,216.256,3.46799999999999,4.00604965723036,0.37724581559316
69.0,53.6666666666667,4142.0,219.358,215.881,3.477,4.02152412743121,0.378703031461979
70.0,54.6666666666667,4202.0,218.899,215.663,3.23599999999999,3.74745377956377,0.352894092293054
71.0,55.6666666666667,4262.0,220.327,216.836,3.49099999999999,4.04773958851651,0.381171716037675
72.0,56.6666666666667,4322.0,219.89,216.7,3.19,3.70323798954584,0.348730334178547
73.0,57.6666666666667,4382.0,217.944,214.765,3.179,3.69490343527854,0.347945477276811
74.0,58.6666666666667,4442.0,217.559,214.647,2.91200000000001,3.38859042001951,0.319100277352833
75.0,59.6666666666667,4502.0,217.615,214.215,3.40000000000001,3.96109631373069,0.37301260278174
76.0,60.6666666666667,4562.0,218.769,215.879,2.89000000000001,3.37083002248983,0.317427797921818
77.0,61.6666666666667,4622.0,217.306,214.073,3.233,3.77520987625974,0.355507857031805
78.0,62.6666666666667,4682.0,217.125,214.247,2.87799999999999,3.36446907697981,0.316828793844937
79.0,63.6666666666667,4742.0,218.99,216.308,2.68200000000002,3.13883841529438,0.295581373000634
80.0,64.6666666666667,4802.0,217.171,213.838,3.333,3.9050276995908,0.367732675701404
81.0,65.6666666666667,4862.0,217.661,214.563,3.09800000000001,3.63365029510284,0.342177328401891
82.0,66.6666666666667,4922.0,218.662,215.421,3.24100000000001,3.80546777500885,0.358357214046423
83.0,67.6666666666667,4982.0,221.13,217.446,3.684,4.3302247365182,0.407773068783892
84.0,68.6666666666667,5042.0,219.554,215.893,3.661,4.30771473444468,0.405653323693888
85.0,69.6666666666667,5102.0,216.768,212.646,4.12200000000001,4.85519054072281,0.45720859003567
86.0,70.6666666666667,5162.0,216.887,213.798,3.089,3.64218559147201,0.342981088992903
87.0,71.6666666666667,5222.0,214.812,211.537,3.27500000000001,3.86541585913529,0.364002467057382
88.0,72.6666666666667,5282.0,214.492,211.561,2.93099999999998,3.46287225673881,0.326095325960469
89.0,73.6666666666667,5342.0,214.765,211.327,3.43799999999999,4.06590592312019,0.38288242216972
90.0,74.6666666666667,5402.0,214.88,211.488,3.392,4.01544106279874,0.378130195158155
91.0,75.6666666666667,5462.0,214.401,210.547,3.85400000000001,4.56678249916991,0.430049484141194
92.0,76.6666666666667,5522.0,215.968,211.747,4.22099999999998,5.0064572131709,0.471453226049293
93.0,77.6666666666667,5582.0,213.632,209.46,4.172,4.95303520008554,0.466422526826521
94.0,78.6666666666667,5642.0,NA,NA,0.0,0.0,0.0
95.0,79.6666666666667,5702.0,NA,NA,0.0,0.0,0.0
96.0,80.6666666666667,5762.0,NA,NA,0.0,0.0,0.0
97.0,81.6666666666667,5822.0,NA,NA,0.0,0.0,0.0
98.0,82.6666666666667,5882.0,NA,NA,0.0,0.0,0.0
99.0,83.6666666666667,5942.0,NA,NA,0.0,0.0,0.0
100.0,84.6666666666667,6002.0,NA,NA,0.0,0.0,0.0
101.0,85.6666666666667,6062.0,NA,NA,0.0,0.0,0.0
102.0,86.6666666666667,6122.0,NA,NA,0.0,0.0,0.0
103.0,87.6666666666667,6182.0,NA,NA,0.0,0.0,0.0
104.0,88.6666666666667,6242.0,NA,NA,0.0,0.0,0.0
105.0,89.6666666666667,6302.0,NA,NA,0.0,0.0,0.0
106.0,90.6666666666667,6362.0,NA,NA,0.0,0.0,0.0
107.0,91.6666666666667,6422.0,NA,NA,0.0,0.0,0.0
108.0,92.6666666666667,6482.0,NA,NA,0.0,0.0,0.0
109.0,93.6666666666667,6542.0,NA,NA,0.0,0.0,0.0
110.0,94.6666666666667,6602.0,NA,NA,0.0,0.0,0.0
111.0,95.6666666666667,6662.0,NA,NA,0.0,0.0,0.0
112.0,96.6666666666667,6722.0,NA,NA,0.0,0.0,0.0
113.0,97.6666666666667,6782.0,NA,NA,0.0,0.0,0.0
114.0,98.6666666666667,6842.0,NA,NA,0.0,0.0,0.0
115.0,99.6666666666667,6902.0,NA,NA,0.0,0.0,0.0
116.0,100.666666666667,6962.0,NA,NA,0.0,0.0,0.0
117.0,101.666666666667,7022.0,NA,NA,0.0,0.0,0.0
118.0,102.666666666667,7082.0,NA,NA,0.0,0.0,0.0
119.0,103.666666666667,7142.0,NA,NA,0.0,0.0,0.0
120.0,104.666666666667,7202.0,NA,NA,0.0,0.0,0.0
121.0,105.666666666667,7262.0,NA,NA,0.0,0.0,0.0
122.0,106.666666666667,7322.0,NA,NA,0.0,0.0,0.0
123.0,107.666666666667,7382.0,NA,NA,0.0,0.0,0.0
124.0,108.666666666667,7442.0,NA,NA,0.0,0.0,0.0
125.0,109.666666666667,7502.0,NA,NA,0.0,0.0,0.0
