"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-5.36666666666667,0.0,258.928,246.095,12.833,12.875619989038,1.04978266854345
2.0,-4.36666666666667,60.0,250.895,239.176,11.719,11.7963998623289,0.96179105450645
3.0,-3.36666666666667,120.0,251.364,239.444,11.92,12.0374215346361,0.981442176125982
4.0,-2.36666666666667,180.0,250.144,238.146,11.998,12.1546917298079,0.991003519077453
5.0,-0.333333333333333,302.0,249.441,237.179,12.262,12.4610362494954,1.01598058174667
6.0,0.666666666666667,362.0,275.45,263.566,11.884,12.1141628980589,0.987699098382945
7.0,1.66666666666667,422.0,269.909,258.066,11.843,12.1090718585191,0.987284012734383
8.0,2.66666666666667,482.0,266.371,254.413,11.958,12.2632832058411,0.99985726356419
9.0,3.66666666666667,542.0,262.425,250.577,11.848,12.1863411728574,0.99358398019783
10.0,4.66666666666667,602.0,260.877,249.086,11.791,12.162987909545,0.991679928113331
11.0,5.66666666666667,662.0,258.737,247.546,11.191,11.5771436362347,0.943914526128021
12.0,6.66666666666667,722.0,258.075,246.347,11.728,12.1669348841692,0.992001735184151
13.0,7.66666666666667,782.0,257.007,245.454,11.553,12.01873549553,0.979918654927468
14.0,8.66666666666667,842.0,253.505,242.65,10.855,11.3235590872374,0.923239120611664
15.0,9.66666666666667,902.0,254.887,243.078,11.809,12.3520194474757,1.00709215932991
16.0,10.6666666666667,962.0,253.649,242.536,11.113,11.6549587706613,0.950258995717903
17.0,11.6666666666667,1022.0,252.568,241.721,10.847,11.4058267005041,0.929946612341256
18.0,12.6666666666667,1082.0,251.147,241.15,9.99699999999999,10.5392060199708,0.859288782163003
19.0,13.6666666666667,1142.0,248.616,240.49,8.12600000000001,8.58854740890814,0.700246529915575
20.0,14.6666666666667,1202.0,247.235,240.18,7.05500000000001,7.47529760212608,0.60948038786462
21.0,15.6666666666667,1262.0,245.323,239.424,5.899,6.26588693391134,0.510874001552792
22.0,16.6666666666667,1322.0,243.912,238.416,5.49600000000001,5.85204871625213,0.477132699087402
23.0,17.6666666666667,1382.0,240.143,235.631,4.512,4.81583894198023,0.392647830558191
24.0,18.6666666666667,1442.0,239.859,236.557,3.30200000000002,3.53269731644553,0.288029968201286
25.0,19.6666666666667,1502.0,238.069,234.8,3.26899999999998,3.50554748143426,0.285816371786285
26.0,20.6666666666667,1562.0,237.852,235.46,2.392,2.57098174472678,0.209618805079181
27.0,21.6666666666667,1622.0,238.096,235.337,2.75900000000001,2.97215834640528,0.242327773177478
28.0,22.6666666666667,1682.0,238.064,236.063,2.001,2.16040675039189,0.176143561668996
29.0,23.6666666666667,1742.0,237.514,235.419,2.095,2.26687019338375,0.184823802106464
30.0,24.6666666666667,1802.0,237.766,234.856,2.91,3.15555691486109,0.257280733793317
31.0,25.6666666666667,1862.0,240.597,238.088,2.50900000000001,2.72653156482107,0.22230118506314
32.0,26.6666666666667,1922.0,240.923,238.307,2.61600000000001,2.84879436054529,0.2322695876774
33.0,27.6666666666667,1982.0,239.7,237.256,2.44399999999999,2.66701171245682,0.217448377237229
34.0,28.6666666666667,2042.0,236.897,235.16,1.73699999999999,1.89937614378962,0.154861059777534
35.0,29.6666666666667,2102.0,236.487,234.099,2.38800000000001,2.61649681376348,0.213329766623011
36.0,30.6666666666667,2162.0,233.191,231.444,1.74700000000001,1.91796648760926,0.156376778691322
37.0,31.6666666666667,2222.0,234.934,233.255,1.679,1.84692272833201,0.150584396867306
38.0,32.6666666666667,2282.0,233.421,231.657,1.76399999999998,1.94417086233622,0.158513289278913
39.0,33.6666666666667,2342.0,234.336,232.009,2.32700000000003,2.56955637279473,0.209502590811304
40.0,34.6666666666667,2402.0,235.983,233.8,2.18299999999999,2.41506994797629,0.196906912200277
41.0,35.6666666666667,2462.0,235.841,233.711,2.13,2.3607950183643,0.192481736520069
42.0,36.6666666666667,2522.0,233.637,231.659,1.97800000000001,2.19632366120017,0.179071960496101
43.0,37.6666666666667,2582.0,234.921,232.747,2.17399999999998,2.41829810290167,0.197170112038026
44.0,38.6666666666667,2642.0,233.117,230.798,2.31899999999999,2.58416558268114,0.210693717557272
45.0,39.6666666666667,2702.0,234.059,232.18,1.87899999999999,2.0975141436956,0.171015764440941
46.0,40.6666666666667,2762.0,233.656,231.752,1.904,2.12908502578977,0.173589820283013
47.0,41.6666666666667,2822.0,231.158,229.294,1.86399999999998,2.08789909488399,0.170231824591192
48.0,42.6666666666667,2882.0,231.468,229.497,1.97099999999998,2.21145205058257,0.180305417291979
49.0,43.6666666666667,2942.0,230.982,228.981,2.001,2.24882281201886,0.183352352328854
50.0,44.6666666666667,3002.0,230.813,228.97,1.84299999999999,2.07463090469029,0.169150034656404
51.0,45.6666666666667,3062.0,232.636,230.795,1.84100000000001,2.07571122898222,0.169238116295894
52.0,46.6666666666667,3122.0,230.718,228.825,1.893,2.13772503939769,0.174294262985524
