"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-11.3,0.0,252.025,245.12,6.905,6.92793236377366,0.945706550673661
2.0,-8.8,150.0,247.573,240.402,7.17100000000002,7.21836192616782,0.98535202139183
3.0,-6.3,300.0,247.568,239.587,7.98100000000002,8.05961923388683,1.10018896045782
4.0,-3.8,450.0,243.597,236.569,7.02800000000002,7.11978442049423,0.971895568879092
5.0,-0.333333333333333,658.0,243.339,236.153,7.18600000000001,7.30264283875991,0.996856898597599
6.0,1.9,792.0,260.225,253.357,6.86800000000002,7.00101571725586,0.955682890294804
7.0,4.4,942.0,259.388,251.993,7.39499999999998,7.56114045374889,1.03214345669203
8.0,6.9,1092.0,255.788,248.099,7.68900000000002,7.88529725453361,1.07639290859929
9.0,9.4,1242.0,253.191,245.963,7.22800000000001,7.43440867635157,1.01484376816016
10.0,11.9,1392.0,250.955,243.855,7.10000000000002,7.3239940766491,0.999771477504631
11.0,14.4,1542.0,249.459,242.325,7.13400000000001,7.38015751057981,1.0074381411768
12.0,16.9,1692.0,250.307,243.105,7.202,7.47154374452476,1.01991293965132
13.0,19.4,1842.0,243.913,237.006,6.90700000000001,7.18544153619198,0.980858180110458
14.0,21.9,1992.0,244.275,237.965,6.31,6.58237290101039,0.898535500146187
15.0,24.4,2142.0,242.946,236.813,6.13300000000001,6.41501695921489,0.875690356438122
16.0,26.9,2292.0,240.418,233.799,6.619,6.94179538405533,0.947598940553368
17.0,29.4,2442.0,239.424,232.989,6.435,6.76652482877696,0.923673402086264
18.0,31.9,2592.0,238.977,233.194,5.78300000000002,6.0966518369002,0.832231505244166
19.0,34.4,2742.0,240.111,234.044,6.06699999999998,6.41234520426353,0.875325645002353
20.0,36.9,2892.0,237.433,231.549,5.88399999999999,6.234535944849,0.851053557376608
21.0,39.4,3042.0,238.002,232.055,5.947,6.31687228275483,0.862292987848416
22.0,41.9,3192.0,237.091,231.446,5.64500000000001,6.01070141980409,0.820498730122694
23.0,44.4,3342.0,234.264,228.639,5.625,6.00378857460966,0.819555083065984
24.0,46.9,3492.0,233.273,228.151,5.12199999999999,5.47985331763593,0.748034609332743
25.0,49.4,3642.0,234.578,229.564,5.01400000000001,5.37681709143822,0.733969513290323
26.0,51.9,3792.0,232.854,228.894,3.96000000000001,4.25630757070154,0.581012882334463
27.0,54.4,3942.0,230.479,227.104,3.375,3.63575006129676,0.496302860512863
28.0,56.9,4092.0,230.345,227.264,3.08099999999999,3.32644337729004,0.454080543395297
29.0,59.4,4242.0,230.05,227.547,2.50300000000001,2.70834181099741,0.369705773329529
30.0,61.9,4392.0,233.674,231.748,1.92600000000002,2.08852323643385,0.285096620783664
31.0,64.4,4542.0,232.877,230.88,1.99700000000001,2.1701409067149,0.296237948582866
32.0,66.9,4692.0,232.565,230.98,1.58500000000001,1.72604704184414,0.235616329451831
33.0,69.4,4842.0,228.375,227.308,1.06700000000001,1.16436231472646,0.158942814475539
34.0,71.9,4992.0,228.166,227.131,1.035,1.13175262453786,0.154491385678679
35.0,74.4,5142.0,225.584,224.769,0.814999999999998,0.892983627812909,0.121897908657843
36.0,76.9,5292.0,225.239,224.538,0.700999999999993,0.76960189342534,0.105055522168342
37.0,79.4,5442.0,224.716,223.83,0.885999999999996,0.97461199362844,0.133040696465097
38.0,81.9,5592.0,226.052,225.804,0.24799999999999,0.273330143911208,0.0373112920306577
39.0,84.4,5742.0,223.683,223.231,0.451999999999998,0.499114516761152,0.0681322858325702
40.0,86.9,5892.0,222.716,221.802,0.914000000000016,1.01116533781511,0.138030458955724
41.0,89.4,6042.0,223.597,222.921,0.676000000000016,0.749247620851788,0.102277035327498
42.0,91.9,6192.0,220.78,220.63,0.150000000000006,0.166556394934296,0.0227360005085493
43.0,94.4,6342.0,221.921,221.859,0.0619999999999834,0.0689671032106096,0.0094144454452689
44.0,96.9,6492.0,222.868,222.445,0.423000000000002,0.471367848846112,0.0643446903092895
45.0,99.4,6642.0,222.605,222.029,0.575999999999993,0.642984644368632,0.0877714674787572
46.0,101.9,6792.0,224.408,223.379,1.029,1.15064521614373,0.157070343829932
47.0,104.4,6942.0,222.36,221.431,0.929000000000002,1.04058919482149,0.142047001389441
48.0,106.9,7092.0,224.427,224.154,0.272999999999996,0.306304621922395,0.0418125166706798
49.0,109.4,7242.0,222.562,221.761,0.801000000000016,0.90020343449632,0.12288345789773
50.0,111.9,7392.0,222.024,221.626,0.397999999999996,0.448021215445866,0.0611577273045348
51.0,114.4,7542.0,222.038,221.458,0.580000000000013,0.653944873878167,0.0892676080730642
52.0,116.9,7692.0,221.326,220.641,0.685000000000002,0.773556076063087,0.105595293087965
53.0,119.4,7842.0,220.706,219.908,0.798000000000002,0.902573990853435,0.123207053821874
54.0,121.9,7992.0,220.414,219.512,0.901999999999987,1.02177653092506,0.139478953875654
55.0,124.4,8142.0,221.116,220.098,1.018,1.15493503091985,0.157655930657564
56.0,126.9,8292.0,220.215,219.473,0.74199999999999,0.843072952728487,0.11508478608426
57.0,129.4,8442.0,220.055,219.674,0.381,0.433539767131397,0.0591809180900212
58.0,131.9,8592.0,217.948,217.192,0.756,0.86150908645472,0.117601434850227
59.0,134.4,8742.0,218.067,217.585,0.481999999999999,0.550060863672983,0.0750867841558141
60.0,136.9,8892.0,218.094,217.238,0.855999999999995,0.978261134685323,0.133538827281135
61.0,139.4,9042.0,219.804,218.998,0.806000000000012,0.922412616015154,0.125915151532224
62.0,141.9,9192.0,219.388,218.736,0.652000000000015,0.747203535888729,0.10199800481187
63.0,144.4,9342.0,218.155,217.724,0.431000000000012,0.494608796767935,0.0675172265783303
64.0,146.9,9492.0,219.919,219.577,0.342000000000013,0.393003272451166,0.0536474303843819
65.0,149.4,9642.0,219.617,218.879,0.738,0.849188891299778,0.115919650350637
66.0,151.9,9792.0,219.19,218.272,0.918000000000006,1.05769640106382,0.144382243155325
