"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-11.3,0.0,259.824,253.79,6.03400000000002,6.05403966444756,0.912121295283737
2.0,-8.8,150.0,255.528,248.861,6.667,6.71103318390193,1.01110607456705
3.0,-6.3,300.0,255.299,248.248,7.05100000000002,7.12045798999324,1.07279134674099
4.0,-3.8,450.0,253.708,246.855,6.85300000000001,6.94249895185641,1.04597945957645
5.0,-0.333333333333333,658.0,247.617,241.36,6.25699999999998,6.35856335125529,0.958001823831776
6.0,1.9,792.0,270.958,263.713,7.245,7.3853172497843,1.11269590378035
7.0,4.4,942.0,267.213,260.566,6.64700000000005,6.79633544233527,1.02395799010862
8.0,6.9,1092.0,263.999,257.673,6.32600000000002,6.48750038134733,0.977427895911917
9.0,9.4,1242.0,259.974,252.783,7.191,7.39635207410682,1.11435844628291
10.0,11.9,1392.0,260.919,253.924,6.99499999999998,7.21568148819156,1.08713802851583
11.0,14.4,1542.0,257.827,251.151,6.67599999999999,6.9063542950141,1.04053378808371
12.0,16.9,1692.0,258.85,252.343,6.50700000000003,6.75053251119451,1.01705717161461
13.0,19.4,1842.0,256.954,250.572,6.38200000000001,6.63927723816088,1.00029509052973
14.0,21.9,1992.0,253.329,246.488,6.84100000000001,7.13629366336167,1.07517720076658
15.0,24.4,2142.0,254.155,247.045,7.11000000000001,7.43694286320201,1.12047398651359
16.0,26.9,2292.0,250.366,243.821,6.54500000000002,6.86418655214417,1.03418065887123
17.0,29.4,2442.0,248.344,242.11,6.23399999999998,6.55516950778484,0.987623146468229
18.0,31.9,2592.0,247.187,240.765,6.42200000000003,6.77030919878491,1.02003679165366
19.0,34.4,2742.0,248.131,243.557,4.57400000000001,4.83436079846738,0.728360512611435
20.0,36.9,2892.0,245.514,242.348,3.166,3.35461264469612,0.505416845651711
21.0,39.4,3042.0,243.449,241.207,2.24200000000002,2.38144066889801,0.358795592356733
22.0,41.9,3192.0,243.989,243.401,0.587999999999994,0.626092548245307,0.0943291385133527
23.0,44.4,3342.0,244.959,243.9,1.059,1.13031326231318,0.170296670329391
24.0,46.9,3492.0,242.57,241.577,0.992999999999995,1.06237687317698,0.160061153106121
25.0,49.4,3642.0,242.067,241.53,0.537000000000006,0.575857753909524,0.0867606011040346
26.0,51.9,3792.0,244.166,242.853,1.31299999999999,1.41124541422501,0.212622821542682
27.0,54.4,3942.0,241.813,240.501,1.31199999999998,1.41336417197668,0.212942040472844
28.0,56.9,4092.0,243.041,242.824,0.216999999999985,0.234286988923041,0.035298439331271
29.0,59.4,4242.0,241.079,240.962,0.117000000000019,0.126598478580402,0.0190737383076335
30.0,61.9,4392.0,241.952,240.699,1.25299999999999,1.35873292588347,0.204711119350518
31.0,64.4,4542.0,240.923,239.67,1.25300000000001,1.36163573165437,0.205148465503907
32.0,66.9,4692.0,239.472,238.682,0.79000000000002,0.860301049247256,0.129615752599297
33.0,69.4,4842.0,236.665,235.279,1.386,1.51247063562404,0.227873742444319
34.0,71.9,4992.0,236.453,235.28,1.173,1.28265297447624,0.193248666563794
35.0,74.4,5142.0,234.917,234.251,0.665999999999997,0.729726498310916,0.109942966305781
36.0,76.9,5292.0,234.667,233.807,0.860000000000014,0.944162094644521,0.142250530300011
37.0,79.4,5442.0,234.013,232.762,1.251,1.37611693457019,0.207330250608225
38.0,81.9,5592.0,233.786,232.164,1.62200000000001,1.78766731219355,0.269335768298632
39.0,84.4,5742.0,233.087,232.288,0.798999999999978,0.882284289584405,0.132927819047855
40.0,86.9,5892.0,234.742,233.516,1.226,1.35633337435591,0.204349595117323
41.0,89.4,6042.0,234.321,232.81,1.511,1.67472360222932,0.252319301817301
42.0,91.9,6192.0,231.299,230.086,1.21299999999999,1.34688604703528,0.202926230073439
43.0,94.4,6342.0,233.344,231.698,1.64599999999999,1.83096535297892,0.275859191869231
44.0,96.9,6492.0,230.931,229.938,0.993000000000023,1.10654438275224,0.166715573670926
45.0,99.4,6642.0,232.859,232.003,0.856000000000023,0.955546624270087,0.143965760540283
46.0,101.9,6792.0,230.559,229.808,0.751000000000005,0.839780910907631,0.126524121853688
47.0,104.4,6942.0,232.374,230.881,1.493,1.67233548747952,0.25195950068622
48.0,106.9,7092.0,231.794,231.04,0.754000000000019,0.845984193880935,0.127458728631019
49.0,109.4,7242.0,229.765,228.941,0.823999999999984,0.926051972565466,0.139522000438289
50.0,111.9,7392.0,228.856,227.556,1.29999999999998,1.46338587959704,0.220478473544951
51.0,114.4,7542.0,228.476,227.184,1.292,1.45671858112168,0.219473956683738
52.0,116.9,7692.0,229.856,228.73,1.126,1.27156808999567,0.191578581835102
53.0,119.4,7842.0,227.405,225.523,1.88200000000001,2.12862688068442,0.320705845220593
54.0,121.9,7992.0,226.674,225.729,0.944999999999993,1.07048649858557,0.161282975631565
55.0,124.4,8142.0,228.332,227.615,0.716999999999985,0.813446382288326,0.122556476168116
56.0,126.9,8292.0,228.366,227.062,1.304,1.48162686032071,0.223226718995442
57.0,129.4,8442.0,226.258,224.686,1.572,1.78877825178624,0.269503146068919
58.0,131.9,8592.0,225.824,224.61,1.214,1.3834286123757,0.208431851753956
59.0,134.4,8742.0,227.444,225.973,1.47099999999998,1.67871271880279,0.252920315087399
60.0,136.9,8892.0,226.698,225.887,0.811000000000007,0.926833855408655,0.139639801449055
61.0,139.4,9042.0,224.735,223.671,1.06400000000002,1.2176762077421,0.183459055672253
62.0,141.9,9192.0,224.128,223.072,1.05599999999998,1.21019468389335,0.182331864969541
63.0,144.4,9342.0,224.129,223.018,1.11099999999999,1.27496606313029,0.192090531513114
64.0,146.9,9492.0,223.845,222.158,1.68700000000001,1.93858631761724,0.29207371623749
65.0,149.4,9642.0,225.509,223.964,1.54499999999999,1.77777349194871,0.267845133179404
66.0,151.9,9792.0,225.334,223.721,1.613,1.85845783759905,0.280001298969974
67.0,154.4,9942.0,225.292,223.131,2.161,2.49307973228894,0.375615496544409
68.0,156.9,10092.0,225.18,223.389,1.791,2.06886820533437,0.31170240893906
69.0,159.4,10242.0,224.884,223.966,0.917999999999978,1.0617656453787,0.159969063539158
70.0,161.9,10392.0,225.114,223.912,1.202,1.39197757819396,0.209719866733654
71.0,164.4,10542.0,224.078,222.357,1.721,1.99546256999054,0.300642877303657
72.0,166.9,10692.0,223.704,222.178,1.52600000000001,1.77151760879216,0.266902601487482
73.0,169.4,10842.0,221.533,220.342,1.19099999999997,1.38428121780958,0.208560308060129
74.0,171.9,10992.0,222.813,221.268,1.54499999999999,1.79786133205017,0.270871632467209
75.0,174.4,11142.0,220.618,219.469,1.149,1.33861754837546,0.201680471187527
76.0,176.9,11292.0,222.672,220.501,2.17099999999999,2.53220483696379,0.38151021199593
77.0,179.4,11442.0,222.256,220.6,1.65600000000001,1.93372952523543,0.291341976109616
78.0,181.9,11592.0,219.454,218.021,1.43300000000002,1.6752203569535,0.252394144498811
79.0,184.4,11742.0,221.435,219.928,1.50700000000001,1.76369481426123,0.265723993834447
80.0,186.9,11892.0,218.667,217.614,1.053,1.23372162246298,0.185876510011794
81.0,189.4,12042.0,220.385,219.184,1.20099999999999,1.40865526288524,0.21223258092221
82.0,191.9,12192.0,218.353,216.958,1.39500000000001,1.63795974888533,0.24678034016684
83.0,194.4,12342.0,220.301,218.362,1.93899999999999,2.2791275146875,0.343380759961252
84.0,196.9,12492.0,218.315,217.16,1.155,1.35903046115368,0.204755946981504
85.0,199.4,12642.0,219.767,217.558,2.209,2.60192040379832,0.392013785914677
86.0,201.9,12792.0,220.154,218.008,2.14599999999999,2.53031087060501,0.381224860867734
87.0,204.4,12942.0,219.754,218.422,1.33199999999999,1.57213249599028,0.236862592265682
88.0,206.9,13092.0,219.872,218.111,1.76100000000002,2.08055886868549,0.313463762281552
89.0,209.4,13242.0,220.084,218.272,1.81200000000001,2.14293820031817,0.322862035157407
90.0,211.9,13392.0,217.6,216.053,1.547,1.83133470641204,0.275914839858097
91.0,214.4,13542.0,217.297,215.103,2.19399999999999,2.59977187420309,0.391690081461786
92.0,216.9,13692.0,217.075,215.047,2.02799999999999,2.40537674207785,0.362401878949306
93.0,219.4,13842.0,218.597,217.272,1.32500000000002,1.57305168746727,0.237001080641555
94.0,221.9,13992.0,217.951,216.691,1.25999999999999,1.49728723015791,0.225586161221171
95.0,224.4,14142.0,215.599,214.18,1.41899999999998,1.68779624888253,0.2542888692564
96.0,226.9,14292.0,215.552,214.039,1.51300000000001,1.80125526319744,0.271382973166268
