"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-197.93333333333334,0.0,NA,231.57,-231.57,-231.57,-22.259837354025038
2.0,-195.46666666666667,148.0,NA,227.521,-227.521,-228.27662553774746,-21.943259300409974
3.0,-192.96666666666667,298.0,NA,225.444,-225.444,-226.93297811783205,-21.81410019936721
4.0,-190.46666666666667,448.0,NA,223.442,-223.442,-225.64308242803367,-21.690108023098393
5.0,-186.06666666666666,712.0,NA,222.538,-222.538,-225.4443063983979,-21.671000530376663
6.0,-185.33333333333334,756.0,NA,220.454,-220.454,-224.0323997183377,-21.535279957516615
7.0,-182.83333333333334,906.0,NA,218.402,-218.402,-222.6318920617514,-21.40065512421058
8.0,-180.33333333333334,1056.0,NA,217.887,-217.887,-222.7821785052045,-21.415101519632188
9.0,-177.83333333333334,1206.0,NA,218.487,-218.487,-224.06489026548053,-21.538403135367556
10.0,-175.33333333333334,1356.0,NA,218.813,-218.813,-225.06160289132737,-21.634212872984925
11.0,-172.83333333333334,1506.0,NA,218.541,-218.541,-225.43563232464294,-21.67016672862781
12.0,-170.33333333333334,1656.0,NA,217.532,-217.532,-225.03790630662232,-21.631935021271058
13.0,-167.83333333333334,1806.0,NA,216.944,-216.944,-225.06339712748948,-21.634385345261745
14.0,-165.33333333333334,1956.0,NA,216.177,-216.177,-224.89173229613033,-21.617883936506463
15.0,-162.83333333333334,2106.0,NA,215.73,-215.73,-225.0420453145754,-21.632332886468806
16.0,-160.33333333333334,2256.0,NA,214.626,-214.626,-224.4952600502941,-21.57977274892733
17.0,-157.83333333333334,2406.0,NA,213.359,-213.359,-223.76409145590887,-21.5094886275412
18.0,-155.33333333333334,2556.0,NA,213.354,-213.354,-224.3457868405407,-21.565404526195998
19.0,-152.83333333333334,2706.0,NA,213.372,-213.372,-224.94463007834443,-21.622968774907267
20.0,-150.33333333333334,2856.0,NA,212.251,-212.251,-224.33273149005163,-21.56414957098381
21.0,-147.83333333333334,3006.0,NA,210.67,-210.67,-223.2205451225938,-21.457239834632055
22.0,-145.33333333333334,3156.0,NA,210.108,-210.108,-223.17561822516427,-21.45292120342075
23.0,-142.83333333333334,3306.0,NA,209.332,-209.332,-222.89320630831293,-21.425774149242965
24.0,-140.33333333333334,3456.0,NA,209.516,-209.516,-223.6248474662966,-21.49610369615417
25.0,-137.83333333333334,3606.0,NA,209.587,-209.587,-224.22999166016504,-21.554273628922854
26.0,-135.33333333333334,3756.0,NA,209.257,-209.257,-224.39900560492336,-21.570520219244926
27.0,-132.83333333333334,3906.0,NA,208.553,-208.553,-224.15800828093836,-21.547354173407115
28.0,-130.33333333333334,4056.0,NA,208.706,-208.706,-224.8304747534818,-21.61199550995698
29.0,-127.83333333333333,4206.0,NA,208.921,-208.921,-225.56438715573333,-21.682543381901624
30.0,-125.33333333333333,4356.0,NA,207.885,-207.885,-224.93952751865456,-21.622478287586866
31.0,-122.83333333333333,4506.0,NA,206.531,-206.531,-223.95887463339375,-21.52821230439966
32.0,-120.33333333333333,4656.0,NA,205.438,-205.438,-223.24957816409207,-21.46003065719821
33.0,-117.83333333333333,4806.0,NA,205.274,-205.274,-223.5410602318692,-21.488049586335553
34.0,-115.33333333333333,4956.0,NA,205.437,-205.437,-224.1828499067077,-21.549742093039345
35.0,-112.83333333333333,5106.0,NA,206.082,-206.082,-225.3467095362426,-21.661618959888948
36.0,-110.33333333333333,5256.0,NA,205.257,-205.257,-224.89710490060713,-21.618400382081543
37.0,-107.83333333333333,5406.0,NA,204.757,-204.757,-224.79511396875014,-21.608596428397032
38.0,-105.33333333333333,5556.0,NA,204.315,-204.315,-224.7492657767446,-21.604189237063874
39.0,-102.83333333333333,5706.0,NA,204.33,-204.33,-225.1997915539484,-21.647496360285153
40.0,-100.33333333333333,5856.0,NA,204.363,-204.363,-225.66491147977808,-21.692206356826524
41.0,-97.83333333333333,6006.0,NA,203.855,-203.855,-225.5263784904757,-21.67888977086963
42.0,-95.33333333333333,6156.0,NA,204.014,-204.014,-226.11982858055188,-21.735935599270665
43.0,-92.83333333333333,6306.0,NA,203.724,-203.724,-226.21023334395434,-21.744625823951615
44.0,-90.33333333333333,6456.0,NA,204.667,-204.667,-227.66596956144525,-21.884559543482258
45.0,-87.83333333333333,6606.0,NA,205.295,-205.295,-228.7694149618488,-21.990629047917334
46.0,-85.33333333333333,6756.0,NA,204.406,-204.406,-228.17694308475012,-21.93367725096155
47.0,-82.83333333333333,6906.0,NA,204.504,-204.504,-228.67983409354602,-21.982018020761604
48.0,-80.33333333333333,7056.0,NA,203.662,-203.662,-228.1253784668822,-21.92872056396858
49.0,-77.83333333333333,7206.0,NA,203.318,-203.318,-228.12176967039724,-21.92837366573997
50.0,-75.33333333333333,7356.0,NA,203.039,-203.039,-228.18527482733424,-21.934478145873666
51.0,-72.83333333333333,7506.0,NA,202.707,-202.707,-228.1835088426783,-21.934308389293747
52.0,-70.33333333333333,7656.0,NA,202.382,-202.382,-228.18391631932488,-21.93434755828748
53.0,-67.83333333333333,7806.0,NA,201.678,-201.678,-227.75071869817634,-21.892706116870556
54.0,-65.33333333333333,7956.0,NA,201.753,-201.753,-228.1917423266324,-21.93509983902245
55.0,-62.833333333333336,8106.0,NA,201.551,-201.551,-228.31494632425597,-21.946942914327828
56.0,-60.333333333333336,8256.0,NA,201.099,-201.099,-228.1495872131151,-21.93104764758774
57.0,-57.833333333333336,8406.0,NA,201.101,-201.101,-228.494358310854,-21.96418902410472
58.0,-55.333333333333336,8556.0,NA,200.158,-200.158,-227.7597183976014,-21.89357121962755
59.0,-52.833333333333336,8706.0,NA,199.659,-199.659,-227.5238659953213,-21.87089973319014
60.0,-50.333333333333336,8856.0,NA,199.188,-199.188,-227.31436372052764,-21.850761172227127
61.0,-47.833333333333336,9006.0,NA,199.561,-199.561,-228.06398399408752,-21.922818974907624
62.0,-45.333333333333336,9156.0,NA,200.13,-200.13,-229.03528144306475,-22.01618565986946
63.0,-42.833333333333336,9306.0,NA,201.409,-201.409,-230.81827754571995,-22.187577477669542
64.0,-40.333333333333336,9456.0,NA,200.971,-200.971,-230.63114732075627,-22.16958944652685
65.0,-37.833333333333336,9606.0,NA,199.928,-199.928,-229.7437375865899,-22.084286530134733
66.0,-35.333333333333336,9756.0,NA,199.636,-199.636,-229.71364973377052,-22.081394313050954
67.0,-32.833333333333336,9906.0,NA,199.245,-199.245,-229.56505384527202,-22.067110423473487
68.0,-30.333333333333332,10056.0,NA,199.37,-199.37,-230.00708293680967,-22.10960079650702
69.0,-27.833333333333332,10206.0,NA,198.932,-198.932,-229.7956950438732,-22.08928097910677
70.0,-25.333333333333332,10356.0,NA,198.447,-198.447,-229.5252799874432,-22.063287132001314
71.0,-22.833333333333332,10506.0,206.217,198.414,7.803000000000026,9.036273745963015,0.8686184906144289
72.0,-20.333333333333332,10656.0,205.73,197.872,7.857999999999976,9.111182379422173,0.8758191383546937
73.0,-17.833333333333332,10806.0,205.432,197.319,8.113,9.418297745826159,0.9053408298737788
74.0,-15.333333333333334,10956.0,205.107,196.863,8.244,9.581876036626706,0.9210649139428275
75.0,-12.833333333333334,11106.0,205.224,196.336,8.887999999999977,10.342648232532039,0.9941947033987897
76.0,-10.333333333333334,11256.0,205.053,196.588,8.465000000000003,9.861964792861826,0.9479886525898238
77.0,-7.833333333333333,11406.0,204.806,196.892,7.914000000000016,9.230708926638204,0.8873087160224272
78.0,-5.333333333333333,11556.0,205.045,196.905,8.139999999999986,9.505168076942232,0.9136913046396555
79.0,-2.8333333333333335,11706.0,204.7,197.018,7.681999999999988,8.980490427157408,0.8632562778766798
80.0,-0.3333333333333333,11856.0,205.016,196.706,8.310000000000002,9.725483680498186,0.9348693048197714
81.0,2.1666666666666665,12006.0,205.322,196.704,8.617999999999995,10.097068321354199,0.9705881529810558
82.0,4.666666666666667,12156.0,205.79,196.919,8.870999999999981,10.404813353084913,1.0001703715449242
