"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-12.200000000000001,0.0,235.126,230.84,4.286000000000001,4.286000000000001,1.0459040297308542
2.0,-9.733333333333334,148.0,230.759,226.729,4.029999999999973,4.043384131210376,0.9866989632717499
3.0,-7.233333333333333,298.0,228.859,224.805,4.054000000000002,4.080775240368746,0.9958234410470287
4.0,-4.733333333333333,448.0,226.692,222.316,4.376000000000005,4.419107100299301,1.0783858898775704
5.0,-0.3333333333333333,712.0,224.867,221.254,3.6129999999999995,3.6601851325050623,0.893187676072796
6.0,0.39999999999999997,756.0,225.816,221.794,4.021999999999991,4.087284928679689,0.9974119872991769
7.0,2.9,906.0,222.467,218.504,3.9630000000000223,4.039753245120126,0.985812925382509
8.0,5.4,1056.0,223.25,218.809,4.4410000000000025,4.540774138620541,1.1080760545219015
9.0,7.8999999999999995,1206.0,222.585,218.679,3.906000000000006,4.005718698947619,0.9775075429765626
10.0,10.399999999999999,1356.0,222.536,217.953,4.582999999999998,4.713875894261095,1.1503177306250143
11.0,12.899999999999999,1506.0,222.572,218.043,4.528999999999996,4.671882982132905,1.140070284051284
12.0,15.399999999999999,1656.0,223.224,218.608,4.6159999999999854,4.77527432980603,1.1653006683654756
13.0,17.900000000000002,1806.0,224.007,219.416,4.591000000000008,4.762823844919915,1.1622624013765606
14.0,20.400000000000002,1956.0,223.266,218.477,4.788999999999987,4.982058710992221,1.2157618483860166
15.0,22.900000000000002,2106.0,221.237,217.003,4.234000000000009,4.416761784925204,1.077813567245569
16.0,25.400000000000002,2256.0,220.199,215.796,4.40300000000002,4.605465460854926,1.1238625488321117
17.0,27.900000000000002,2406.0,219.323,214.052,5.271000000000015,5.528056121673325,1.349000507288018
18.0,30.400000000000002,2556.0,219.092,214.606,4.486000000000018,4.717114278460538,1.1511079870608552
19.0,32.9,2706.0,218.915,214.229,4.685999999999979,4.94015398715444,1.2055359222248656
20.0,35.4,2856.0,218.622,213.762,4.860000000000014,5.136640463609849,1.2534841250975506
21.0,37.9,3006.0,218.011,212.938,5.0730000000000075,5.375221082294205,1.3117044775235067
22.0,40.4,3156.0,217.197,212.235,4.961999999999989,5.270610436695712,1.2861765503690015
23.0,42.9,3306.0,216.407,212.033,4.374000000000024,4.657361915008532,1.136526737009433
24.0,45.4,3456.0,215.562,210.575,4.987000000000023,5.322825532725073,1.298918496087595
25.0,47.9,3606.0,214.441,210.021,4.420000000000016,4.72880743146251,1.153961443860907
26.0,50.4,3756.0,214.923,210.103,4.819999999999993,5.16877909468132,1.2613268511236086
27.0,52.9,3906.0,215.308,210.391,4.917000000000002,5.284915233621066,1.28966732142563
28.0,55.4,4056.0,215.621,210.397,5.224000000000018,5.62760246524869,1.3732926029227466
29.0,57.9,4206.0,213.566,209.057,4.5090000000000146,4.868202917299864,1.187977846185587
30.0,60.4,4356.0,212.302,207.953,4.3489999999999895,4.705784473043396,1.1483431972470766
31.0,62.9,4506.0,211.795,206.931,4.863999999999976,5.2744428982420155,1.2871117783146542
32.0,65.4,4656.0,210.692,206.144,4.548000000000002,4.9423138927087065,1.2060629996684131
33.0,67.9,4806.0,210.667,206.043,4.623999999999995,5.035483609771146,1.2287990198561147
34.0,70.4,4956.0,210.772,206.212,4.560000000000002,4.9760938661224,1.214306259191881
35.0,72.9,5106.0,211.486,206.637,4.8489999999999895,5.302288382979775,1.2939068564054221
36.0,75.4,5256.0,210.963,206.081,4.882000000000005,5.349136283414281,1.3053390560901816
37.0,77.9,5406.0,210.649,205.563,5.086000000000013,5.583730713211593,1.3625866667941995
38.0,80.4,5556.0,210.72,205.802,4.918000000000006,5.4098665741136545,1.3201589477768827
39.0,82.9,5706.0,212.022,207.396,4.626000000000005,5.098488894085872,1.2441740736963176
40.0,85.4,5856.0,212.067,207.196,4.871000000000009,5.37873188306103,1.312561211230834
41.0,87.9,6006.0,211.901,207.174,4.727000000000004,5.22951701515528,1.2761486046889814
42.0,90.4,6156.0,211.391,206.896,4.4950000000000045,4.982053336876791,1.2157605369513491
43.0,92.9,6306.0,210.711,205.907,4.804000000000002,5.334246141762174,1.3017054445276053
44.0,95.4,6456.0,210.006,205.518,4.4879999999999995,4.992328374343525,1.2182679338463778
45.0,97.9,6606.0,209.03,204.986,4.044000000000011,4.506410356344379,1.099690329286383
46.0,100.4,6756.0,208.789,203.952,4.836999999999989,5.39950820279705,1.3176312150887155
47.0,102.9,6906.0,209.331,204.507,4.823999999999984,5.394278447694237,1.3163550083839703
48.0,105.4,7056.0,208.424,204.091,4.332999999999998,4.853469301573196,1.1843824313323374
49.0,107.9,7206.0,207.953,203.307,4.646000000000015,5.212788547441294,1.2720663900848561
50.0,110.4,7356.0,207.337,202.745,4.5919999999999845,5.160716817986275,1.259359429825393
51.0,112.9,7506.0,207.354,202.24,5.114000000000004,5.756734914045681,1.4048045367925053
52.0,115.4,7656.0,208.428,202.966,5.461999999999989,6.158356726073218,1.5028115063742618
53.0,117.9,7806.0,209.648,204.833,4.814999999999998,5.437478111304746,1.3268969361145464
54.0,120.4,7956.0,208.592,204.055,4.537000000000006,5.131551624689262,1.2522423058876362
55.0,122.9,8106.0,207.833,202.837,4.996000000000009,5.659418568183661,1.3810566230510755
56.0,125.4,8256.0,206.522,201.909,4.6129999999999995,5.233512080189857,1.2771235124394946
57.0,127.89999999999999,8406.0,206.386,201.008,5.377999999999986,6.110574581905459,1.491151325055027
58.0,130.39999999999998,8556.0,205.802,200.789,5.013000000000005,5.704290951783976,1.392006741303805
59.0,132.89999999999998,8706.0,205.901,201.364,4.537000000000006,5.170194081011996,1.2616721474150852
60.0,135.39999999999998,8856.0,206.105,200.901,5.203999999999979,5.938831399490035,1.4492411788657849
61.0,137.89999999999998,9006.0,205.996,201.106,4.890000000000015,5.5884310147327945,1.3637336719976467
62.0,140.39999999999998,9156.0,205.563,200.938,4.625,5.2930004330893645,1.2916403365224733
63.0,142.89999999999998,9306.0,205.856,201.014,4.8419999999999845,5.549017669897435,1.3541157120843303
64.0,145.39999999999998,9456.0,208.697,203.015,5.682000000000016,6.520573510986863,1.5912025457996783
65.0,147.89999999999998,9606.0,209.466,204.104,5.361999999999995,6.161647797903715,1.5036146200676008
66.0,150.39999999999998,9756.0,207.73,203.267,4.462999999999994,5.135406533700417,1.2531830116433555
67.0,152.89999999999998,9906.0,206.499,201.827,4.671999999999997,5.382960333082939,1.3135930714542194
68.0,155.39999999999998,10056.0,205.562,200.714,4.848000000000013,5.592989607652386,1.3648460963337419
69.0,157.89999999999998,10206.0,204.803,200.197,4.6059999999999945,5.320606897694081,1.298377087007003
70.0,160.39999999999998,10356.0,205.038,199.568,5.469999999999999,6.326642788912476,1.5438780185700434
71.0,162.89999999999998,10506.0,204.894,199.714,5.180000000000007,5.998705370253534,1.4638521045068325
72.0,165.39999999999998,10656.0,204.322,199.38,4.942000000000007,5.730142952291242,1.3983153534146666
73.0,167.89999999999998,10806.0,203.955,198.487,5.468000000000018,6.347744616563245,1.5490274554749957
74.0,170.39999999999998,10956.0,202.602,197.733,4.869,5.659164777090664,1.380994690916947
