"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-12.200000000000001,0.0,246.606,239.945,6.661000000000001,6.661000000000001,1.0176358349464005
2.0,-9.733333333333334,148.0,241.368,234.848,6.519999999999982,6.541653730891256,0.9994026807334873
3.0,-7.233333333333333,298.0,239.677,233.177,6.5,6.54293020779399,0.9995976947912419
4.0,-4.733333333333333,448.0,237.573,231.535,6.038000000000011,6.09747912970914,0.9315438020161856
5.0,-0.3333333333333333,712.0,235.866,229.07,6.796000000000021,6.884754542071542,1.0518199875126852
6.0,0.39999999999999997,756.0,236.459,229.887,6.572000000000003,6.678676417524363,1.0203363537733432
7.0,2.9,906.0,235.051,228.762,6.288999999999987,6.41080195774925,0.9794117704474068
8.0,5.4,1056.0,237.523,231.304,6.218999999999994,6.358719740617226,0.9714548975278742
9.0,7.8999999999999995,1206.0,238.854,232.549,6.305000000000007,6.465964259309965,0.9878392039868609
10.0,10.399999999999999,1356.0,235.799,229.063,6.736000000000018,6.928358722178231,1.0584816263401922
11.0,12.899999999999999,1506.0,232.483,226.56,5.923000000000002,6.109861537463728,0.9334355272607414
12.0,15.399999999999999,1656.0,230.214,224.33,5.883999999999986,6.087026463730222,0.9299468935233358
13.0,17.900000000000002,1806.0,228.596,222.406,6.189999999999998,6.421668394697062,0.9810718928969308
14.0,20.400000000000002,1956.0,227.434,221.475,5.959000000000003,6.19922486089011,0.9470880299252951
15.0,22.900000000000002,2106.0,228.074,221.755,6.319000000000017,6.5917613885078845,1.0070578898606313
16.0,25.400000000000002,2256.0,228.519,222.043,6.475999999999999,6.773789308311688,1.034867247937962
17.0,27.900000000000002,2406.0,227.88,221.542,6.337999999999994,6.647091576392601,1.0155109722725522
18.0,30.400000000000002,2556.0,226.399,220.103,6.295999999999992,6.620363686399329,1.011427612619398
19.0,32.9,2706.0,226.011,219.408,6.603000000000009,6.96112607280857,1.0634876660065615
20.0,35.4,2856.0,225.418,219.371,6.046999999999997,6.391206766141698,0.976418110460545
21.0,37.9,3006.0,224.783,218.67,6.1129999999999995,6.477178489269549,0.9895524605952082
22.0,40.4,3156.0,223.526,217.308,6.218000000000018,6.604727064767051,1.0090387240875704
23.0,42.9,3306.0,221.788,215.64,6.148000000000025,6.546287392197626,1.0001105894247297
24.0,45.4,3456.0,221.013,214.907,6.1059999999999945,6.517179206500725,0.99566357953801
25.0,47.9,3606.0,220.506,214.747,5.758999999999986,6.161357918052587,0.9413028988651944
26.0,50.4,3756.0,220.413,214.565,5.848000000000013,6.271166005331218,0.9580788551152555
27.0,52.9,3906.0,220.249,214.211,6.0379999999999825,6.489794220175696,0.9914798318388858
28.0,55.4,4056.0,220.277,214.208,6.068999999999988,6.537886554669624,0.9988271495039887
29.0,57.9,4206.0,220.103,213.964,6.13900000000001,6.628054493081352,1.012602577411362
30.0,60.4,4356.0,219.275,213.177,6.098000000000013,6.598269422078353,1.0080521562134825
31.0,62.9,4506.0,219.138,212.917,6.221000000000004,6.745951741357681,1.0306143571272552
32.0,65.4,4656.0,219.964,213.423,6.540999999999997,7.108107997407129,1.0859428639589537
33.0,67.9,4806.0,220.407,214.378,6.029000000000025,6.565512691027334,1.0030477389558308
34.0,70.4,4956.0,219.866,213.663,6.203000000000003,6.769015406043256,1.0341379139008973
35.0,72.9,5106.0,219.065,212.755,6.310000000000002,6.899863826892651,1.054128312039689
36.0,75.4,5256.0,218.165,212.298,5.86699999999999,6.4283864348200535,0.9820982430500255
37.0,77.9,5406.0,217.85,212.126,5.7239999999999895,6.2841672438897005,0.960065122380801
38.0,80.4,5556.0,217.495,211.855,5.640000000000015,6.204076347702532,0.9478292169592375
39.0,82.9,5706.0,217.637,211.504,6.13300000000001,6.759410373417352,1.0326705027920624
40.0,85.4,5856.0,217.238,210.949,6.288999999999987,6.944538044050643,1.0609534260283018
41.0,87.9,6006.0,216.999,210.936,6.062999999999988,6.707544248547996,1.0247466434185657
42.0,90.4,6156.0,217.491,211.236,6.255000000000024,6.932757201816333,1.0591536050969876
43.0,92.9,6306.0,218.14,212.466,5.673999999999978,6.300273232381025,0.962525718544441
44.0,95.4,6456.0,218.751,212.437,6.313999999999993,7.023520801159756,1.0730200352426993
45.0,97.9,6606.0,218.442,212.455,5.986999999999995,6.6715822956067505,1.0192525476360004
46.0,100.4,6756.0,217.736,211.598,6.137999999999977,6.851805116553285,1.0467861313126738
47.0,102.9,6906.0,217.35,211.757,5.592999999999989,6.254187263257444,0.9554849238186657
48.0,105.4,7056.0,216.941,211.078,5.8629999999999995,6.567249138039154,1.003313025054722
49.0,107.9,7206.0,216.543,210.513,6.030000000000001,6.765629561143114,1.0336206406533435
50.0,110.4,7356.0,216.275,209.981,6.294000000000011,7.073508635105789,1.0806569382805062
51.0,112.9,7506.0,216.175,210.151,6.024000000000001,6.781105029763621,1.0359849089960573
52.0,115.4,7656.0,215.46,209.393,6.067000000000007,6.840488878997864,1.0450572904699833
53.0,117.9,7806.0,214.819,208.655,6.163999999999987,6.96087540562459,1.063449370268825
54.0,120.4,7956.0,214.695,208.367,6.328000000000003,7.157253401153542,1.0934510645257243
55.0,122.9,8106.0,214.417,208.043,6.373999999999995,7.220403113211081,1.1030987765744102
56.0,125.4,8256.0,214.496,207.958,6.538000000000011,7.417451112135561,1.1332028307569701
57.0,127.89999999999999,8406.0,214.671,208.524,6.146999999999991,6.984325391404407,1.0670319473381127
58.0,130.39999999999998,8556.0,214.703,208.551,6.152000000000015,7.000358654573124,1.0694814328735598
59.0,132.89999999999998,8706.0,214.233,207.906,6.326999999999998,7.21001056878176,1.1015110531653802
60.0,135.39999999999998,8856.0,213.675,207.378,6.2970000000000255,7.186168586200817,1.0978685886929984
61.0,137.89999999999998,9006.0,212.921,206.765,6.156000000000006,7.035251805050105,1.0748122421093431
62.0,140.39999999999998,9156.0,212.545,205.738,6.806999999999988,7.7901522049814576,1.190142327499752
63.0,142.89999999999998,9306.0,212.18,206.271,5.90900000000002,6.771818548414738,1.0345661646331712
64.0,145.39999999999998,9456.0,212.638,206.357,6.281000000000006,7.20797645591489,1.1012002910957732
65.0,147.89999999999998,9606.0,212.513,205.882,6.631,7.619896782525098,1.1641315154616902
66.0,150.39999999999998,9756.0,212.458,205.781,6.6769999999999925,7.682973207599752,1.173768031074403
67.0,152.89999999999998,9906.0,211.633,205.398,6.235000000000014,7.1838094342406285,1.0975081686997883
68.0,155.39999999999998,10056.0,210.687,204.347,6.340000000000003,7.314264462152651,1.117438466140444
69.0,157.89999999999998,10206.0,209.897,203.293,6.603999999999985,7.628590523745477,1.1654597038126298
70.0,160.39999999999998,10356.0,209.324,202.78,6.544000000000011,7.568839197558194,1.1563311809611434
71.0,162.89999999999998,10506.0,208.612,202.564,6.048000000000002,7.003893837701416,1.0700215213038928
72.0,165.39999999999998,10656.0,208.559,201.983,6.575999999999993,7.624730889167769,1.1648700472361286
73.0,167.89999999999998,10806.0,208.314,201.856,6.457999999999998,7.49702537193952,1.1453598069340971
74.0,170.39999999999998,10956.0,208.183,202.02,6.1629999999999825,7.1631613311172035,1.0943536499095068
75.0,172.89999999999998,11106.0,208.609,202.305,6.304000000000002,7.335739700481792,1.1207193507054865
76.0,175.39999999999998,11256.0,208.627,202.207,6.420000000000016,7.479481862985595,1.142679593245129
77.0,177.89999999999998,11406.0,208.444,201.795,6.649000000000001,7.755241806067389,1.184808883129953
78.0,180.39999999999998,11556.0,208.559,201.891,6.668000000000006,7.786297387844099,1.1895534069088285
79.0,182.89999999999998,11706.0,208.52,201.842,6.677999999999997,7.8067840500595205,1.1926832615265819
80.0,185.39999999999998,11856.0,208.377,201.578,6.799000000000007,7.957107526318557,1.2156489658164649
81.0,187.89999999999998,12006.0,208.13,201.563,6.567000000000007,7.6940644774115965,1.1754625024173833
82.0,190.39999999999998,12156.0,208.409,201.568,6.84099999999998,8.023822359198943,1.2258413400337806
83.0,192.89999999999998,12306.0,208.053,201.301,6.7520000000000095,7.927960017543864,1.211195948337326
