"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-12.3333333333333,0.0,281.284,270.372,10.912,10.912,0.998928123563708
2.0,-9.33333333333333,180.0,278.91,267.727,11.1830000000001,11.2201401338278,1.02713650384957
3.0,-6.33333333333333,360.0,277.822,266.883,10.939,11.0112482373936,1.00801370416732
4.0,-3.33333333333333,540.0,276.153,265.833,10.32,10.4216602548192,0.954040462130224
5.0,-0.333333333333333,720.0,274.777,263.866,10.911,11.0534957046119,1.01188120628917
6.0,3.21666666666667,933.0,281.144,269.328,11.816,12.0077967969367,1.09924174509699
7.0,6.21666666666667,1113.0,278.774,267.098,11.676,11.902134466319,1.08956899274588
8.0,9.21666666666667,1293.0,280.319,269.467,10.852,11.0958074650552,1.01575459407
9.0,12.2166666666667,1473.0,273.938,266.965,6.97300000000001,7.15101804602196,0.654632793097777
10.0,15.2166666666667,1653.0,268.825,265.715,3.11000000000001,3.19881170219334,0.292832017165105
11.0,18.2166666666667,1833.0,268.947,267.71,1.23700000000002,1.27602544687536,0.116812472989988
12.0,21.2166666666667,2013.0,265.984,265.124,0.859999999999957,0.889674160232451,0.0814443309626211
13.0,24.2166666666667,2193.0,265.967,264.996,0.971000000000004,1.00734087419239,0.0922160125775319
14.0,27.2166666666667,2373.0,267.874,266.44,1.43400000000003,1.49180876833639,0.13656614128209
15.0,30.2166666666667,2553.0,264.648,263.372,1.27600000000001,1.33107889408706,0.121852285739153
16.0,33.2166666666667,2733.0,265.634,264.049,1.58500000000004,1.6578838872258,0.151769321898183
17.0,36.2166666666667,2913.0,266.986,265.406,1.57999999999998,1.65705343810354,0.151693299264073
18.0,39.2166666666667,3093.0,262.797,261.565,1.23200000000003,1.29547142021032,0.118592635165058
19.0,42.2166666666667,3273.0,264.496,263.241,1.255,1.32306727568904,0.121118870147782
20.0,45.2166666666667,3453.0,263.878,263.235,0.642999999999972,0.679600785617486,0.0622133740422744
21.0,48.2166666666667,3633.0,261.125,259.881,1.24400000000003,1.31811059065132,0.120665115374704
22.0,51.2166666666667,3813.0,260.811,259.916,0.894999999999982,0.950664316977545,0.0870276138468983
23.0,54.2166666666667,3993.0,259.994,258.981,1.01300000000003,1.07862542750429,0.0987416856969361
24.0,57.2166666666667,4173.0,260.822,259.837,0.985000000000014,1.05133008817611,0.0962429611645737
25.0,60.2166666666667,4353.0,259.927,259.171,0.756000000000029,0.808818646648367,0.0740424938599516
26.0,63.2166666666667,4533.0,259.352,258.063,1.28899999999999,1.38227308154443,0.126538806414938
27.0,66.2166666666667,4713.0,258.703,257.683,1.01999999999998,1.09632164699886,0.100361668407152
28.0,69.2166666666667,4893.0,258.33,257.309,1.02099999999996,1.09988172224706,0.100687571934227
29.0,72.2166666666667,5073.0,256.316,254.919,1.39699999999996,1.50828997016361,0.13807489641546
30.0,75.2166666666667,5253.0,255.459,254.411,1.048,1.13397611583111,0.103808709086623
31.0,78.2166666666667,5433.0,254.46,253.513,0.947000000000003,1.02691147710428,0.094007583842542
