"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-945.8833333333333,0.0,270.655,267.31,3.3449999999999704,3.3449999999999704,0.38877465489953544
2.0,-942.8833333333333,180.0,265.545,262.664,2.8810000000000286,2.890568159309501,0.33595803844518585
3.0,-939.8833333333333,360.0,265.828,263.064,2.763999999999953,2.7822552452834284,0.3233693042832576
4.0,-936.8833333333333,540.0,262.883,260.849,2.033999999999992,2.0540365269672605,0.23873164183041676
5.0,-933.8833333333333,720.0,260.656,258.555,2.100999999999999,2.128438683474435,0.2473790776211068
6.0,-930.3333333333334,933.0,284.148,281.577,2.5710000000000264,2.612732359929292,0.30366640405870504
7.0,-927.3333333333334,1113.0,278.808,275.761,3.0469999999999686,3.1060126514965503,0.3609982052912326
8.0,-924.3333333333334,1293.0,276.508,274.167,2.341000000000008,2.393594293742562,0.2781969493331151
9.0,-921.3333333333334,1473.0,276.528,274.065,2.4630000000000223,2.5258794560952533,0.2935718726042652
10.0,-918.3333333333334,1653.0,274.667,272.593,2.0739999999999554,2.133226839340455,0.24793558394230777
11.0,-915.3333333333334,1833.0,270.958,268.902,2.05600000000004,2.1208636368437728,0.24649866322957212
12.0,-912.3333333333334,2013.0,270.526,268.518,2.008000000000038,2.0772857136591685,0.24143379266235743
13.0,-909.3333333333334,2193.0,269.275,266.625,2.6499999999999773,2.7491795227701252,0.31952505836228234
14.0,-906.3333333333334,2373.0,267.618,265.506,2.112000000000023,2.1971409475079793,0.2553640399500928
15.0,-903.3333333333334,2553.0,266.737,264.291,2.4460000000000264,2.551582268759363,0.29655919760379784
16.0,-900.3333333333334,2733.0,265.927,263.633,2.2940000000000396,2.399486206495874,0.2788817404683519
17.0,-897.3333333333334,2913.0,264.468,262.45,2.018000000000029,2.11641382157786,0.24598148074993925
18.0,-894.3333333333334,3093.0,263.879,261.768,2.111000000000047,2.2197566299220632,0.25799256136290394
19.0,-891.3333333333334,3273.0,263.46,261.447,2.012999999999977,2.1221788254677376,0.24665152182550926
20.0,-888.3333333333334,3453.0,263.123,260.342,2.781000000000006,2.9392998208434116,0.34162190537957365
21.0,-885.3333333333334,3633.0,261.707,259.625,2.0819999999999936,2.2060339628102668,0.2563976360502911
22.0,-882.3333333333334,3813.0,259.495,256.788,2.7069999999999936,2.875361235819285,0.3341906045342763
23.0,-879.3333333333334,3993.0,260.849,258.435,2.4139999999999873,2.570386754190781,0.2987447603344893
24.0,-876.3333333333334,4173.0,260.256,257.836,2.419999999999959,2.582963262320914,0.3002064726239165
25.0,-873.3333333333334,4353.0,259.308,257.26,2.048000000000002,2.191085434306605,0.25466023425349976
26.0,-870.3333333333334,4533.0,256.608,254.331,2.2770000000000152,2.4417655598733323,0.2837956839716993
27.0,-867.3333333333334,4713.0,257.811,255.772,2.0389999999999873,2.191568468853627,0.2547163752368549
28.0,-864.3333333333334,4893.0,255.661,253.195,2.466000000000008,2.6565213781208397,0.30875580927120383
29.0,-861.3333333333334,5073.0,257.629,255.62,2.0090000000000146,2.1690440587392916,0.2520984620024703
30.0,-858.3333333333334,5253.0,258.456,256.196,2.259999999999991,2.445406509330434,0.28421885553184617
31.0,-855.3333333333334,5433.0,257.603,255.574,2.0289999999999964,2.20021476984644,0.2557212968167169
32.0,-852.3333333333334,5613.0,255.497,253.233,2.26400000000001,2.460289941313227,0.285948691445996
33.0,-849.3333333333334,5793.0,256.448,254.499,1.9489999999999839,2.1224389176998035,0.24668175120301702
34.0,-846.3333333333334,5973.0,256.074,254.163,1.9110000000000014,2.085376179421033,0.2423741119551961
35.0,-843.3333333333334,6153.0,253.943,251.882,2.061000000000007,2.2536639219058316,0.2619334569502185
36.0,-840.3333333333334,6333.0,253.322,251.133,2.188999999999993,2.398455412616512,0.27876193582419
37.0,-837.3333333333334,6513.0,254.556,252.511,2.045000000000016,2.245129632032593,0.26094155393070256
38.0,-834.3333333333334,6693.0,253.851,252.148,1.703000000000003,1.8733230532158516,0.21772810867842846
39.0,-831.3333333333334,6873.0,251.78,249.781,1.9989999999999952,2.20317321644566,0.2560651440680325
