"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-47.0,0.0,NA,283.644,-283.644,-283.644,-26.678907434560355
2.0,-46.0,60.0,NA,280.474,-280.474,-281.34767837778895,-26.462920662413058
3.0,-45.0,120.0,NA,277.427,-277.427,-279.15259933071144,-26.25645653587231
4.0,-44.0,180.0,NA,278.733,-278.733,-281.3293968600273,-26.4612011445663
5.0,-43.0,240.0,NA,276.858,-276.858,-280.29102260767417,-26.363534031703132
6.0,-42.0,300.0,NA,276.539,-276.539,-280.8183930130189,-26.413137288701055
7.0,-41.0,360.0,NA,276.083,-276.083,-281.2014793256143,-26.449169513155578
8.0,-40.0,420.0,NA,275.884,-275.884,-281.8415399985876,-26.509372159595333
9.0,-39.0,480.0,NA,275.289,-275.289,-282.0718435369885,-26.53103398492162
10.0,-38.0,540.0,NA,276.869,-276.869,-284.53093653212824,-26.762330661002583
11.0,-37.0,600.0,NA,274.477,-274.477,-282.90286860404734,-26.60919830653555
12.0,-36.0,660.0,NA,274.129,-274.129,-283.37048396059424,-26.653181139989787
13.0,-35.0,720.0,NA,273.686,-273.686,-283.73473869452886,-26.687442109124486
14.0,-34.0,780.0,NA,273.19,-273.19,-284.038456548445,-26.71600911745483
15.0,-33.0,840.0,NA,275.07,-275.07,-286.81387966605075,-26.97705908306786
16.0,-32.0,900.0,NA,273.167,-273.167,-285.64195079303363,-26.866830127323645
17.0,-31.0,960.0,NA,272.604,-272.604,-285.8611177823635,-26.88744447425516
18.0,-30.0,1020.0,NA,274.415,-274.415,-288.57065014025665,-27.142296905356037
19.0,-29.0,1080.0,NA,274.422,-274.422,-289.3857091018835,-27.21895949152374
20.0,-28.0,1140.0,NA,271.886,-271.886,-287.5089025202975,-27.042431346868092
21.0,-27.0,1200.0,NA,271.778,-271.778,-288.1891018668418,-27.10640934535741
22.0,-26.0,1260.0,NA,271.268,-271.268,-288.43847237376326,-27.129864566236634
23.0,-25.0,1320.0,NA,272.75,-272.75,-290.8060009251139,-27.352548899662203
24.0,-24.0,1380.0,NA,270.227,-270.227,-288.89764420979566,-27.1730532214173
25.0,-23.0,1440.0,NA,272.167,-272.167,-291.75621043917164,-27.44192343841143
26.0,-22.0,1500.0,NA,270.505,-270.505,-290.7515936721303,-27.347431477590458
27.0,-21.0,1560.0,NA,272.091,-272.091,-293.2351196832517,-27.58102626740456
28.0,-20.0,1620.0,NA,272.359,-272.359,-294.3007886998932,-27.68126066351679
29.0,-19.0,1680.0,NA,270.039,-270.039,-292.56139525548673,-27.517657285001466
30.0,-18.0,1740.0,NA,270.148,-270.148,-293.4445945241049,-27.600728992965447
31.0,-17.0,1800.0,NA,271.825,-271.825,-296.0333464329119,-27.844221090616387
32.0,-16.0,1860.0,NA,271.538,-271.538,-296.4843934633652,-27.886645545123084
33.0,-15.0,1920.0,NA,269.303,-269.303,-294.7986948429742,-27.728092579236346
34.0,-14.0,1980.0,NA,269.368,-269.368,-295.62197865539997,-27.805528776103117
35.0,-13.0,2040.0,NA,269.773,-269.773,-296.81703001593644,-27.917932580263606
36.0,-12.0,2100.0,NA,269.222,-269.222,-296.95716715284976,-27.931113559603396
37.0,-11.0,2160.0,NA,269.071,-269.071,-297.53390210902546,-27.985359933614784
38.0,-10.0,2220.0,NA,269.351,-269.351,-298.58492529989115,-28.084216776772696
39.0,-9.0,2280.0,NA,269.042,-269.042,-298.98029126128097,-28.121403996973704
40.0,-8.0,2340.0,NA,271.031,-271.031,-301.9313173274165,-28.398970775242958
41.0,-7.0,2400.0,277.012,269.656,7.3559999999999945,8.214690529169118,0.7726550472820244
42.0,-6.0,2460.0,277.303,270.23,7.072999999999979,7.917846233007018,0.7447345501102672
43.0,-5.0,2520.0,278.432,270.187,8.245000000000005,9.252128630869542,0.8702341079508614
44.0,-4.0,2580.0,279.75,272.182,7.567999999999984,8.51282001052422,0.8006964260405606
45.0,-3.0,2640.0,277.796,269.745,8.050999999999988,9.077729956807405,0.8538305666032079
46.0,-2.0,2700.0,279.414,270.775,8.63900000000001,9.763821729650235,0.9183627932651056
