"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-60.0,0.0,NA,274.82,-274.82,-274.82,-25.461319065270498
2.0,-59.0,60.0,NA,271.273,-271.273,-272.11801720151584,-25.210987771547053
3.0,-58.0,120.0,NA,267.887,-267.887,-269.5532604141136,-24.97337009128773
4.0,-57.0,180.0,NA,269.486,-269.486,-271.99626108936263,-25.199707401778912
5.0,-56.0,240.0,NA,267.208,-267.208,-270.52136318600657,-25.063062157233222
6.0,-55.0,300.0,NA,266.967,-266.967,-271.09826797488466,-25.116510803255736
7.0,-54.0,360.0,NA,267.022,-267.022,-271.97249165100413,-25.197505228523518
8.0,-53.0,420.0,NA,266.409,-266.409,-272.1619333831745,-25.215056485299108
9.0,-52.0,480.0,NA,266.078,-266.078,-272.6338937793912,-25.258782321243523
10.0,-51.0,540.0,NA,267.87,-267.87,-275.2829026321516,-25.50420572422314
11.0,-50.0,600.0,NA,265.488,-265.488,-273.6379251447346,-25.351803072806536
12.0,-49.0,660.0,NA,265.318,-265.318,-274.2624460143105,-25.40966321807687
13.0,-48.0,720.0,NA,264.99,-264.99,-274.7194537048414,-25.452003726860397
14.0,-47.0,780.0,NA,264.549,-264.549,-275.0543198559046,-25.483028157092477
15.0,-46.0,840.0,NA,266.272,-266.272,-277.6402565399304,-25.72260809666954
16.0,-45.0,900.0,NA,263.939,-263.939,-275.99252783228764,-25.56995055224665
17.0,-44.0,960.0,NA,263.974,-263.974,-276.8114286858653,-25.64581946977726
18.0,-43.0,1020.0,NA,265.858,-265.858,-279.57223878063644,-25.901600951116276
19.0,-42.0,1080.0,NA,265.871,-265.871,-280.3684393548143,-25.97536675003591
20.0,-41.0,1140.0,NA,263.368,-263.368,-278.50144780888206,-25.80239510516602
21.0,-40.0,1200.0,NA,263.261,-263.261,-279.1578094862963,-25.86320521393125
22.0,-39.0,1260.0,NA,262.967,-262.967,-279.61204331034776,-25.905288731595217
23.0,-38.0,1320.0,NA,264.456,-264.456,-281.9629396174223,-26.123092825051994
24.0,-37.0,1380.0,NA,262.166,-262.166,-280.27969000841995,-25.967144366565346
25.0,-36.0,1440.0,NA,264.084,-264.084,-283.0914367929184,-26.227644992469074
26.0,-35.0,1500.0,NA,261.782,-261.782,-281.3756998749658,-26.068686673933108
27.0,-34.0,1560.0,NA,263.819,-263.819,-284.32030474993945,-26.341496237439603
28.0,-33.0,1620.0,NA,263.832,-263.832,-285.08683643378856,-26.412513295063217
29.0,-32.0,1680.0,NA,261.621,-261.621,-283.441298435173,-26.260058713821756
30.0,-31.0,1740.0,NA,261.636,-261.636,-284.1985501758618,-26.330216010169945
31.0,-30.0,1800.0,270.064,263.625,6.439000000000021,7.012448147453422,0.6496840830761101
32.0,-29.0,1860.0,270.085,263.494,6.590999999999951,7.196519961541389,0.6667378316730714
33.0,-28.0,1920.0,268.122,261.217,6.90500000000003,7.5587163451233215,0.7002943329708906
34.0,-27.0,1980.0,267.489,260.743,6.745999999999981,7.403499554547395,0.6859139231421265
35.0,-26.0,2040.0,267.245,261.131,6.114000000000033,6.726912335620855,0.6232299734420587
36.0,-25.0,2100.0,266.955,260.864,6.091000000000008,6.718492935673944,0.6224499391345614
37.0,-24.0,2160.0,267.742,260.72,7.021999999999991,7.764802080527347,0.7193876109853102
38.0,-23.0,2220.0,267.544,260.808,6.73599999999999,7.467089622166109,0.6918053684555034
39.0,-22.0,2280.0,267.416,260.99,6.425999999999988,7.141068500996083,0.6616004059777825
40.0,-21.0,2340.0,270.331,263.028,7.302999999999997,8.135616997473063,0.7537425957554021
41.0,-20.0,2400.0,268.469,261.364,7.105000000000018,7.934390458094994,0.7350995089221832
42.0,-19.0,2460.0,268.344,261.751,6.593000000000018,7.380511835743753,0.6837841740589367
43.0,-18.0,2520.0,268.605,262.178,6.427000000000021,7.21205951614296,0.6681775287760581
44.0,-17.0,2580.0,270.391,263.871,6.520000000000039,7.333983412872405,0.6794734433248881
45.0,-16.0,2640.0,268.26,261.349,6.911000000000001,7.792347749533732,0.7219396416506109
46.0,-15.0,2700.0,269.981,262.967,7.01400000000001,7.9272422284716715,0.7344372450578676
47.0,-14.0,2760.0,269.013,262.333,6.67999999999995,7.5675560186254005,0.7011133044703057
48.0,-13.0,2820.0,266.464,259.564,6.899999999999977,7.835108542254041,0.7259013117871936
49.0,-12.0,2880.0,266.859,259.257,7.601999999999975,8.652358703712277,0.8016172972214124
50.0,-11.0,2940.0,266.729,258.913,7.815999999999974,8.916531625255471,0.8260921936766046
51.0,-10.0,3000.0,265.692,258.612,7.079999999999984,8.095496556734053,0.7500255469864072
52.0,-9.0,3060.0,268.264,260.203,8.061000000000035,9.238301125638984,0.8559032551522515
53.0,-8.0,3120.0,267.788,260.253,7.535000000000025,8.655129767219696,0.8018740286533043
54.0,-7.0,3180.0,266.048,257.851,8.197000000000003,9.436840623933135,0.8742973950006108
55.0,-6.0,3240.0,265.853,257.731,8.122000000000014,9.371525716748017,0.8682461480332911
56.0,-5.0,3300.0,267.876,259.72,8.155999999999949,9.431797858601422,0.8738301966268316
57.0,-4.0,3360.0,265.99,257.671,8.319000000000017,9.641679943013918,0.8932751959620713
58.0,-3.0,3420.0,268.369,259.572,8.797000000000025,10.218212107482383,0.9466893193552837
59.0,-2.0,3480.0,266.744,257.45,9.29400000000004,10.819225861052075,1.0023715948165084
60.0,-1.0,3540.0,268.03,259.407,8.62299999999999,10.060037795289103,0.9320349032622671
61.0,0.0,3600.0,268.345,258.912,9.43300000000005,11.028928576453787,1.0217999761049756
62.0,1.0,3660.0,267.794,258.685,9.10899999999998,10.673111787102405,0.988834526710988
63.0,2.0,3720.0,265.458,256.466,8.992000000000019,10.558644538121754,0.9782294501196915
64.0,3.0,3780.0,267.484,258.16,9.323999999999955,10.971862234781272,1.0165129361034777
65.0,4.0,3840.0,265.361,256.381,8.980000000000018,10.589497883330694,0.9810879279109577
66.0,5.0,3900.0,267.193,258.404,8.788999999999987,10.386141415881701,0.9622475090851622
67.0,6.0,3960.0,265.271,256.056,9.215000000000032,10.912409960613557,1.0110048460018108
68.0,7.0,4020.0,265.599,256.26,9.338999999999999,11.082331871795356,1.0267476449130266
69.0,8.0,4080.0,267.418,257.933,9.485000000000014,11.278944862640271,1.0449632991313496
70.0,9.0,4140.0,265.078,255.987,9.09099999999998,10.83273509313387,1.003623188107977
71.0,10.0,4200.0,267.816,258.079,9.736999999999966,11.62631191857532,1.0771459039051139
72.0,11.0,4260.0,265.222,255.57,9.651999999999987,11.548338383175459,1.0699218697610815
73.0,12.0,4320.0,266.277,257.348,8.928999999999974,10.704970959709394,0.9917861916513202
74.0,13.0,4380.0,264.601,255.058,9.543000000000006,11.464185799335835,1.0621253637305612
75.0,14.0,4440.0,265.486,256.808,8.677999999999997,10.445969209533027,0.9677903900367945
76.0,15.0,4500.0,262.939,254.463,8.476000000000028,10.223181502972631,0.9471497202145323
