"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.0,0.0,452.47,431.458,21.012,21.012,0.974754858057359
2.0,-3.0,60.0,442.871,423.66,19.210999999999956,19.270842392933716,0.893981878991521
3.0,-2.0,120.0,440.871,420.421,20.44999999999999,20.577199249939785,0.9545842820337449
4.0,-1.0,180.0,436.995,416.457,20.53800000000001,20.729311393739685,0.9616408235880222
5.0,0.0,240.0,435.511,415.394,20.11700000000002,20.366449594371797,0.9448075234863048
6.0,1.0,300.0,434.497,413.23,21.266999999999996,21.596103132678838,1.0018516297204667
7.0,2.0,360.0,432.367,411.404,20.963000000000022,21.351646465384896,0.9905111897799906
8.0,3.0,420.0,430.71,409.895,20.814999999999998,21.264486722936454,0.9864678154044602
9.0,4.0,480.0,427.292,405.814,21.477999999999952,22.007196275504747,1.0209224006172695
10.0,5.0,540.0,424.052,403.019,21.033000000000015,21.615056897233917,1.0027309022351505
11.0,6.0,600.0,419.311,398.535,20.775999999999954,21.413779654097336,0.9933935725871507
12.0,7.0,660.0,417.261,396.327,20.934000000000026,21.639730605777157,1.0038755251776983
13.0,8.0,720.0,414.901,394.498,20.40300000000002,21.152122774217457,0.9812552080903373
14.0,9.0,780.0,415.598,394.853,20.745000000000005,21.56879015006953,1.000584569826765
15.0,10.0,840.0,413.791,393.243,20.548000000000002,21.425279381168473,0.9939270494017768
16.0,11.0,900.0,411.942,391.27,20.672000000000025,21.616045886924844,1.0027767818518363
17.0,12.0,960.0,409.709,390.637,19.072000000000003,19.99949831383706,0.9277845107615948
18.0,13.0,1020.0,407.855,389.398,18.456999999999994,19.409101141113695,0.9003957561311252
19.0,14.0,1080.0,405.023,388.429,16.59400000000005,17.49883922147885,0.8117779621883287
20.0,15.0,1140.0,400.392,385.453,14.939000000000021,15.797413234777556,0.7328481484551228
21.0,16.0,1200.0,397.615,386.819,10.795999999999992,11.447908012254198,0.531072908316131
22.0,17.0,1260.0,393.426,385.684,7.741999999999962,8.23204599553823,0.38188781771856645
23.0,18.0,1320.0,388.732,383.261,5.471000000000004,5.833179215623462,0.2706034541380251
24.0,19.0,1380.0,387.862,384.237,3.625,3.8754601141281566,0.17978410305796438
25.0,20.0,1440.0,385.833,381.167,4.666000000000054,5.001835189090488,0.23203708118066826
26.0,21.0,1500.0,382.949,380.54,2.408999999999992,2.589307366430046,0.1201189765101558
27.0,22.0,1560.0,384.119,381.008,3.111000000000047,3.3527549876130034,0.1555356087974403
