"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-207.333333333333,0.0,238.697,236.127,2.56999999999999,2.56999999999999,0.598029263880879
2.0,-204.333333333333,180.0,232.887,230.413,2.47399999999999,2.48221646169094,0.577602367073166
3.0,-201.333333333333,360.0,231.535,229.036,2.499,2.51550501373495,0.585348487024348
4.0,-198.333333333333,540.0,229.828,227.62,2.208,2.22975056614736,0.518854509615207
5.0,-195.333333333333,720.0,227.73,225.357,2.37299999999999,2.40399095472861,0.559399587950446
6.0,-192.333333333333,900.0,224.476,221.91,2.566,2.60765120014722,0.606790555518341
7.0,-189.333333333333,1080.0,224.532,222.481,2.05100000000002,2.09072266105006,0.486503242788655
8.0,-186.333333333333,1260.0,222.032,219.748,2.28400000000002,2.33531369795303,0.543418650473847
9.0,-183.333333333333,1440.0,221.805,219.311,2.494,2.55767087434085,0.595160323047324
10.0,-180.333333333333,1620.0,222.572,219.383,3.18899999999999,3.28006769076993,0.763259325521635
11.0,-177.333333333333,1800.0,219.526,217.277,2.24900000000002,2.31995248991323,0.539844155556975
12.0,-174.333333333333,1980.0,221.893,219.263,2.63,2.72074772257146,0.633107687834628
13.0,-171.333333333333,2160.0,220.827,218.294,2.53299999999999,2.62780065327425,0.611479256927352
14.0,-168.333333333333,2340.0,218.54,216.226,2.31399999999999,2.40728416313134,0.560165905069859
15.0,-165.333333333333,2520.0,217.687,215.079,2.608,2.72057504371396,0.63306750611866
16.0,-162.333333333333,2700.0,218.331,215.86,2.47099999999998,2.58462529043206,0.601432513558362
17.0,-159.333333333333,2880.0,217.418,215.154,2.26400000000001,2.37441074928257,0.55251638620401
18.0,-156.333333333333,3060.0,218.658,216.147,2.511,2.64036423388639,0.614402754540266
19.0,-153.333333333333,3240.0,214.981,212.37,2.61099999999999,2.75261247555703,0.640522495138794
20.0,-150.333333333333,3420.0,216.271,213.58,2.69099999999997,2.84417684929505,0.661829178027611
21.0,-147.333333333333,3600.0,215.628,213.029,2.59899999999999,2.75383394300859,0.640806725987396
22.0,-144.333333333333,3780.0,214.832,211.76,3.072,3.26306232598333,0.759302241558461
23.0,-141.333333333333,3960.0,212.764,209.98,2.78400000000002,2.96435655495742,0.68979454024967
24.0,-138.333333333333,4140.0,214.297,211.689,2.608,2.7836232182368,0.64773857748011
25.0,-135.333333333333,4320.0,213.257,210.519,2.738,2.92929292926342,0.681635367384774
26.0,-132.333333333333,4500.0,213.559,211.328,2.23099999999999,2.39243696270415,0.556711017777188
