"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-401.159283333333,0.0,NA,292.485,-292.485,-292.485,-12.1199286477731
2.0,-397.124883333333,242.064,NA,295.15,-295.15,-295.154984004297,-12.2305668535709
3.0,-393.09305,483.974,NA,295.941,-295.941,-295.950929289359,-12.2635490580001
4.0,-389.10225,723.422,NA,294.229,-294.229,-294.243711155759,-12.1928057311101
5.0,-384.969333333333,971.397,NA,297.053,-297.053,-297.072674361067,-12.3100316818273
6.0,-380.722733333333,1226.193,NA,296.368,-296.368,-296.392377224901,-12.2818416797772
7.0,-376.42305,1484.174,NA,295.209,-295.209,-295.237950071735,-12.2340047830973
8.0,-372.426683333333,1723.956,NA,297.675,-297.675,-297.70883799722,-12.3363928896789
9.0,-367.896033333333,1995.795,NA,294.618,-294.618,-294.656029319409,-12.2098912798515
10.0,-363.2408,2275.109,NA,295.821,-295.821,-295.863683048345,-12.2599337675891
11.0,-358.669583333333,2549.382,NA,298.337,-298.337,-298.384524247363,-12.3643918268552
12.0,-354.595616666667,2793.82,NA,295.832,-295.832,-295.883508600735,-12.2607552944379
13.0,-350.6208,3032.309,NA,296.162,-296.162,-296.217897946801,-12.2746116460966
14.0,-346.6707,3269.315,NA,295.523,-295.523,-295.583044445332,-12.2483047273158
15.0,-342.63505,3511.454,NA,297.877,-297.877,-297.94176877527,-12.3460450236681
16.0,-338.614133333333,3752.709,NA,297.98,-297.98,-298.048984430455,-12.3504878022406
17.0,-334.6312,3991.685,NA,297.9,-297.9,-297.973104610475,-12.3473435110668
18.0,-330.61665,4232.558,NA,295.57,-295.57,-295.646586930413,-12.2509377867386
19.0,-326.6426,4471.001,NA,295.742,-295.742,-295.822636475629,-12.2582328888002
20.0,-322.613583333333,4712.742,NA,297.909,-297.909,-297.994210557801,-12.3482180946374
21.0,-318.6765,4948.967,NA,295.513,-295.513,-295.601426500451,-12.2490664388444
22.0,-314.665683333333,5189.616,NA,297.01,-297.01,-297.102746042705,-12.3112777855105
