"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-258.4683,0.0,NA,295.611,-295.611,-295.611,-11.9993958901078
2.0,-254.4339,242.064,NA,298.265,-298.265,-298.270036605257,-12.107331091818
3.0,-250.402066666667,483.974,NA,299.388,-299.388,-299.39804494167,-12.15311903136
4.0,-246.411266666667,723.422,NA,297.533,-297.533,-297.547876352455,-12.0780172747765
5.0,-242.27835,971.397,NA,300.165,-300.165,-300.184880474494,-12.1850581373431
6.0,-238.03175,1226.193,NA,299.427,-299.427,-299.451628837528,-12.1552941005548
7.0,-233.732066666667,1484.174,NA,298.089,-298.089,-298.118232502849,-12.1011690832238
8.0,-229.7357,1723.956,NA,300.417,-300.417,-300.45114969215,-12.1958664961525
9.0,-225.20505,1995.795,NA,297.575,-297.575,-297.613411009249,-12.0806774474067
10.0,-220.549816666667,2275.109,NA,298.349,-298.349,-298.392047805229,-12.1122837515347
11.0,-215.9786,2549.382,NA,298.093,-298.093,-298.140485378848,-12.102072368517
12.0,-211.904633333333,2793.82,NA,298.424,-298.424,-298.475959905168,-12.1156898984884
13.0,-207.929816666667,3032.309,NA,298.346,-298.346,-298.402310157402,-12.1127003193433
14.0,-203.979716666667,3269.315,NA,298.232,-298.232,-298.292594860706,-12.1082467730265
15.0,-199.944066666667,3511.454,NA,300.867,-300.867,-300.932418904814,-12.2154021014327
16.0,-195.92315,3752.709,NA,300.757,-300.757,-300.826627325157,-12.2111078260297
17.0,-191.940216666667,3991.685,NA,300.784,-300.784,-300.857812343596,-12.2123736834643
18.0,-187.925666666667,4232.558,NA,298.703,-298.703,-298.780398740992,-12.1280476325219
19.0,-183.951616666667,4471.001,NA,299.062,-299.062,-299.143541700788,-12.1427882752561
20.0,-179.9226,4712.742,NA,301.298,-301.298,-301.38417990945,-12.2337399141066
21.0,-175.985516666667,4948.967,NA,298.644,-298.644,-298.733363391122,-12.1261383808908
22.0,-171.9747,5189.616,NA,300.608,-300.608,-300.701869574781,-12.2060436787648
23.0,-167.929233333333,5432.344,NA,299.528,-299.528,-299.625387629119,-12.1623472904892
24.0,-163.897233333333,5674.264,NA,298.95,-298.95,-299.050999268407,-12.1390318071856
25.0,-159.919933333333,5912.902,NA,296.499,-296.499,-296.602892436698,-12.0396586341476
26.0,-155.9482,6151.206,NA,296.253,-296.253,-296.360477934592,-12.0298185822541
27.0,-151.960766666667,6390.452,NA,296.192,-296.192,-296.30308099533,-12.0274887345925
28.0,-147.982116666667,6629.171,NA,295.89,-295.89,-296.004544207319,-12.015370575569
