"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-586.449383333333,0.0,344.442,316.618,27.824,27.824,0.60791516330853
2.0,-582.414983333333,242.064,343.275,316.598,26.677,26.6774504769867,0.582864673065431
3.0,-578.38315,483.974,347.091,319.485,27.606,27.6069262250315,0.60317240743734
4.0,-574.39235,723.422,347.292,319.732,27.5599999999999,27.5613779724388,0.602177242349169
5.0,-570.259433333333,971.397,344.744,317.611,27.133,27.1347970679941,0.592857051140506
6.0,-566.012833333333,1226.193,348.967,319.731,29.236,29.238404755396,0.638817912656607
7.0,-561.71315,1484.174,346.226,317.355,28.871,28.8738312738469,0.630852496196936
8.0,-557.716783333333,1723.956,349.421,319.955,29.466,29.4693495269206,0.643863730242023
9.0,-553.186133333333,1995.795,344.907,317.69,27.217,27.2205131729438,0.594729827159002
10.0,-548.5309,2275.109,348.861,321.268,27.593,27.5969813040758,0.60295512493853
11.0,-543.959683333333,2549.382,349.891,321.563,28.328,28.3325125709494,0.619025445892382
12.0,-539.885716666667,2793.82,350.085,320.032,30.053,30.058232659002,0.656729996250108
13.0,-535.9109,3032.309,352.416,321.89,30.526,30.5317615113487,0.667075933915635
14.0,-531.9608,3269.315,352.351,321.697,30.654,30.6602282882456,0.669882751830277
15.0,-527.92515,3511.454,350.398,319.229,31.169,31.1757772199815,0.681146768974819
16.0,-523.904233333333,3752.709,352.837,321.52,31.317,31.324250102049,0.684390692075342
17.0,-519.9213,3991.685,352.924,321.648,31.276,31.2836751252005,0.683504186048994
18.0,-515.90675,4232.558,352.047,321.642,30.405,30.4128784234503,0.664478506090938
19.0,-511.9327,4471.001,352.802,321.904,30.898,30.9064245924623,0.675261793897695
20.0,-507.903683333333,4712.742,350.005,319.159,30.846,30.8548228447812,0.674134368478325
21.0,-503.9666,4948.967,350.619,318.833,31.786,31.7955113404261,0.694687085573365
22.0,-499.955783333333,5189.616,352.749,320.527,32.222,32.232061826161,0.70422509807437
23.0,-495.910316666667,5432.344,349.145,317.557,31.588,31.5982704269004,0.690377649756908
24.0,-491.878316666667,5674.264,349.73,319.204,30.526,30.536313108103,0.667175379886172
25.0,-487.901016666667,5912.902,347.97,316.805,31.165,31.1759201305559,0.681149891369342
26.0,-483.929283333333,6151.206,348.193,316.518,31.675,31.6864914062581,0.692305153748912
27.0,-479.94185,6390.452,348.704,316.545,32.159,32.1710606016665,0.702892307341529
28.0,-475.9632,6629.171,349.245,318.124,31.121,31.1330474847949,0.68021318451737
29.0,-471.950416666667,6869.938,348.224,317.758,30.466,30.4781576033842,0.665904764117466
30.0,-467.969333333333,7108.803,346.958,315.153,31.805,31.818066905392,0.695179892860592
