"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-285.276566666667,0.0,NA,307.17,-307.17,-307.17,-7.3999650145583
2.0,-280.974416666667,258.129,NA,307.417,-307.417,-307.545803162228,-7.40901840601204
3.0,-276.607016666667,520.173,NA,305.868,-305.868,-306.122514254127,-7.37473026548544
4.0,-272.483666666667,767.574,NA,308.042,-308.042,-308.423798588611,-7.43017000101864
5.0,-268.400983333333,1012.535,NA,308.161,-308.161,-308.666709977768,-7.43602192595076
6.0,-264.318766666667,1257.468,NA,307.214,-307.214,-307.839808264781,-7.41610121837326
7.0,-260.133733333333,1508.57,NA,307.376,-307.376,-308.122145735649,-7.42290294838179
8.0,-255.906133333333,1762.226,NA,303.234,-303.234,-304.086817949574,-7.32568875285739
9.0,-251.816216666667,2007.621,NA,306.226,-306.226,-307.203453696615,-7.40077094021692
10.0,-247.691733333333,2255.09,NA,305.038,-305.038,-306.125802830581,-7.37480948985861
11.0,-243.5367,2504.392,NA,306.04,-306.04,-307.244279737853,-7.40175447141086
12.0,-239.439766666667,2750.208,NA,304.279,-304.279,-305.587022482931,-7.36182985082114
13.0,-235.279183333333,2999.843,NA,303.369,-303.369,-304.781896272238,-7.34243373208743
14.0,-231.075916666667,3252.039,NA,302.784,-302.784,-304.301215811041,-7.33085376465559
15.0,-226.8162,3507.622,NA,303.935,-303.935,-305.563917466425,-7.36127323294242
16.0,-222.670183333333,3756.383,NA,306.066,-306.066,-307.811508394328,-7.41541945240891
17.0,-218.510083333333,4005.989,NA,303.999,-303.999,-305.835703471453,-7.36782076990454
18.0,-214.001683333333,4276.493,NA,303.902,-303.902,-305.839611840738,-7.36791492557069
19.0,-209.727,4532.974,NA,303.344,-303.344,-305.377928629073,-7.35679261670547
20.0,-205.419933333333,4791.398,NA,303.382,-303.382,-305.514656109663,-7.36008648841461
21.0,-201.15815,5047.105,NA,305.913,-305.913,-308.161335564628,-7.42384706194552
22.0,-197.008816666667,5296.065,NA,305.629,-305.629,-307.971658691444,-7.41927759804725
23.0,-192.803183333333,5548.403,NA,305.546,-305.546,-307.983039772464,-7.41955177717079
24.0,-188.6032,5800.402,NA,306.317,-306.317,-308.854094646514,-7.44053616885529
25.0,-184.3561,6055.228,NA,305.713,-305.713,-308.337481615344,-7.42809055777113
26.0,-180.126033333333,6309.032,NA,304.37,-304.37,-307.073629456993,-7.39764337296997
27.0,-175.931533333333,6560.702,NA,306.576,-306.576,-309.389261143975,-7.45342874742148
28.0,-171.740083333333,6812.189,NA,304.398,-304.398,-307.279400693059,-7.40260056263007
29.0,-167.6115,7059.904,NA,306.126,-306.126,-309.111123060702,-7.4467281839373
30.0,-163.4302,7310.782,NA,304.728,-304.728,-307.785219407755,-7.41478613020652
31.0,-159.31035,7557.973,NA,304.369,-304.369,-307.507026176782,-7.40808423817121
32.0,-155.04125,7814.119,NA,304.793,-304.793,-308.018719630395,-7.4204113327928
33.0,-150.9019,8062.48,NA,306.556,-306.556,-309.882987746767,-7.46532300658552
