"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-231.132516666667,0.0,NA,303.269,-303.269,-303.269,-7.96647865194673
2.0,-226.830366666667,258.129,NA,303.819,-303.819,-303.946295653607,-7.98427031995605
3.0,-222.462966666667,520.173,NA,301.734,-301.734,-301.985074332571,-7.93275160955117
4.0,-218.339616666667,767.574,NA,303.954,-303.954,-304.330731771001,-7.99436895226682
5.0,-214.256933333333,1012.535,NA,305.239,-305.239,-305.739914807208,-8.0313863413657
6.0,-210.174716666667,1257.468,NA,302.978,-302.978,-303.59517934875,-7.97504695539523
7.0,-205.989683333333,1508.57,NA,303.24,-303.24,-303.976105723538,-7.98505339137356
8.0,-201.762083333333,1762.226,NA,299.35,-299.35,-300.191894554058,-7.88564712994849
9.0,-197.672166666667,2007.621,NA,301.204,-301.204,-302.165423795612,-7.93748915327376
10.0,-193.547683333333,2255.09,NA,300.82,-300.82,-301.892760926493,-7.93032665751582
11.0,-189.39265,2504.392,NA,301.028,-301.028,-302.212557315796,-7.93872728899596
12.0,-185.295716666667,2750.208,NA,298.773,-298.773,-300.057353508762,-7.88211291324595
13.0,-181.135133333333,2999.843,NA,298.609,-298.609,-299.999727275881,-7.88059914773072
14.0,-176.931866666667,3252.039,NA,299.108,-299.108,-300.606795797693,-7.89654604114641
15.0,-172.67215,3507.622,NA,299.153,-299.153,-300.756288686178,-7.90047302314831
16.0,-168.526133333333,3756.383,NA,301.667,-301.667,-303.387420696163,-7.96958940823218
17.0,-164.366033333333,4005.989,NA,299.201,-299.201,-301.008714878543,-7.90710392796439
18.0,-159.857633333333,4276.493,NA,299.235,-299.235,-301.142856082432,-7.91062764135787
19.0,-155.58295,4532.974,NA,299.031,-299.031,-301.036009862995,-7.9078209313869
20.0,-151.275883333333,4791.398,NA,298.987,-298.987,-301.088760988654,-7.90920663423299
21.0,-147.0141,5047.105,330.848,301.725,29.123,29.3370421513589,0.77064559849527
22.0,-142.864766666667,5296.065,331.016,301.32,29.696,29.9236210454542,0.78605425627926
23.0,-138.659133333333,5548.403,331.257,301.765,29.492,29.7272286626875,0.780895286108501
24.0,-134.45915,5800.402,332.525,302.481,30.044,30.2928417931746,0.795753200795746
25.0,-130.21205,6055.228,332.573,302.027,30.546,30.8082309663713,0.809291798033565
