"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-752.213033333333,0.0,NA,285.45,-285.45,-285.45,-9.86574062212355
2.0,-747.910883333333,258.129,NA,284.946,-284.946,-285.065388146603,-9.85244764336787
3.0,-743.543483333333,520.173,NA,284.923,-284.923,-285.160085817505,-9.85572059014888
4.0,-739.420133333333,767.574,NA,284.639,-284.639,-284.991792049343,-9.84990401048517
5.0,-735.33745,1012.535,NA,284.868,-284.868,-285.335484821073,-9.86178274139982
6.0,-731.255233333333,1257.468,NA,285.298,-285.298,-285.87916442065,-9.88057342947467
7.0,-727.0702,1508.57,NA,285.87,-285.87,-286.563940585634,-9.90424070580308
8.0,-722.8426,1762.226,NA,286.726,-286.726,-287.532390706219,-9.93771233899683
9.0,-718.752683333333,2007.621,NA,286.988,-286.988,-287.904047237936,-9.95055755512028
10.0,-714.6282,2255.09,NA,289.403,-289.403,-290.435046507578,-10.0380341090144
11.0,-710.473166666667,2504.392,NA,287.714,-287.714,-288.846166189049,-9.98311912879997
12.0,-706.376233333333,2750.208,NA,288.508,-288.508,-289.748226734364,-10.0142962013714
13.0,-702.21565,2999.843,NA,290.473,-290.473,-291.825835058578,-10.086102629261
14.0,-698.012383333333,3252.039,NA,290.706,-290.706,-292.162694341723,-10.0977451807189
15.0,-693.752666666667,3507.622,NA,288.839,-288.839,-290.387011555381,-10.0363739220143
16.0,-689.60665,3756.383,NA,291.118,-291.118,-292.778259266759,-10.1190203738752
17.0,-685.44655,4005.989,NA,291.202,-291.202,-292.961386459475,-10.1253496272793
18.0,-680.93815,4276.493,NA,291.421,-291.421,-293.279035749155,-10.1363282417504
19.0,-676.663466666667,4532.974,NA,289.426,-289.426,-291.366608112895,-10.0702307990532
20.0,-672.3564,4791.398,NA,289.49,-289.49,-291.52500081477,-10.0757051774492
21.0,-668.094616666667,5047.105,NA,291.932,-291.932,-294.077580926777,-10.163927609757
