"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,141.505,129.073,12.431999999999988,12.43212432062159,0.9859739373584911
2.0,-3.3333333333333335,60.0,139.404,126.694,12.709999999999994,12.71025420254201,1.008032019123267
3.0,-2.3333333333333335,120.0,139.367,126.55,12.816999999999993,12.817384515767701,1.0165283705124157
4.0,-1.3333333333333333,180.0,138.613,126.209,12.403999999999996,12.404496169923329,0.9837827883783676
5.0,-0.3333333333333333,240.0,138.715,126.035,12.680000000000007,12.680634015850272,1.0056828846274588
6.0,0.6666666666666667,300.0,142.263,130.026,12.236999999999995,12.237734242027035,0.9705571392126279
7.0,1.6666666666666667,360.0,142.421,129.501,12.919999999999987,12.920904431654726,1.0247383864702553
8.0,2.6666666666666665,420.0,141.861,129.485,12.375999999999976,12.376990119604232,0.981601323004078
9.0,3.6666666666666665,480.0,141.924,129.642,12.28200000000001,12.283105429743603,0.9741554629939734
10.0,4.666666666666667,540.0,141.419,129.478,11.941000000000003,11.942194159706993,0.947118279441173
11.0,5.666666666666667,600.0,141.25,129.209,12.040999999999997,12.042324582850718,0.9550594795941211
12.0,6.666666666666667,660.0,142.977,131.109,11.867999999999995,11.869424245453013,0.9413470019806328
13.0,7.666666666666667,720.0,142.898,131.189,11.709000000000003,11.710522268945342,0.9287447142789698
14.0,8.666666666666666,780.0,139.537,129.091,10.445999999999998,10.447462542375575,0.82857326010044
15.0,9.666666666666666,840.0,139.204,129.009,10.195000000000022,10.196529364699506,0.8086721099167374
16.0,10.666666666666666,900.0,140.593,130.753,9.840000000000003,9.841574525958722,0.7805211510852542
17.0,11.666666666666666,960.0,138.485,128.597,9.888000000000005,9.889681102889702,0.7843364146593805
18.0,12.666666666666666,1020.0,139.225,130.236,8.989000000000004,8.990618165630542,0.7130330234350735
19.0,13.666666666666666,1080.0,136.113,128.173,7.939999999999998,7.941508743326074,0.6298296608276354
20.0,14.666666666666666,1140.0,137.518,130.146,7.372000000000014,7.3734745474498435,0.5847796839919509
21.0,15.666666666666666,1200.0,134.944,128.085,6.8589999999999804,6.860440541251518,0.5440916932636799
22.0,16.666666666666668,1260.0,135.996,130.117,5.879000000000019,5.880293522282253,0.4663576398903305
23.0,17.666666666666668,1320.0,135.534,130.054,5.47999999999999,5.481260544957103,0.43471090714840055
24.0,18.666666666666668,1380.0,134.119,129.933,4.186000000000007,4.187004760566452,0.33206533839649083
25.0,19.666666666666668,1440.0,133.943,129.861,4.082000000000022,4.083020627573153,0.3238185060461941
26.0,20.666666666666668,1500.0,131.706,127.804,3.901999999999987,3.9030146518990176,0.3095424904589714
27.0,21.666666666666668,1560.0,133.201,130.078,3.1229999999999905,3.123843323843586,0.24774753069289604
28.0,22.666666666666668,1620.0,132.967,130.137,2.8300000000000125,2.830792510946367,0.22450609130678068
29.0,23.666666666666668,1680.0,130.08,127.85,2.230000000000018,2.230646793780583,0.17690939580388387
30.0,24.666666666666668,1740.0,130.079,127.786,2.2930000000000064,2.2936880031953257,0.18190910364620275
31.0,25.666666666666668,1800.0,131.574,129.863,1.7110000000000127,1.7115304922220587,0.1357390269598692
32.0,26.666666666666668,1860.0,129.591,127.987,1.6040000000000134,1.604513362133574,0.12725165196289256
33.0,27.666666666666668,1920.0,128.66,127.679,0.9809999999999945,0.9813237834213207,0.07782738087315669
34.0,28.666666666666668,1980.0,130.928,129.687,1.2409999999999854,1.2414220117379156,0.09845539806953385
35.0,29.666666666666668,2040.0,130.764,129.778,0.9860000000000184,0.9863451603995648,0.0782256190746512
36.0,30.666666666666668,2100.0,130.181,129.447,0.7340000000000089,0.734264287568917,0.05823344683540417
37.0,31.666666666666668,2160.0,129.916,129.627,0.28899999999998727,0.28910694978447726,0.022928657262852436
38.0,32.666666666666664,2220.0,129.951,129.463,0.48799999999999955,0.4881854752380629,0.038717289400274656
39.0,33.666666666666664,2280.0,129.908,129.424,0.48399999999998045,0.484188796812966,0.038400318570389044
40.0,34.666666666666664,2340.0,129.855,129.333,0.5219999999999914,0.5222088417655599,0.04141563376943956
41.0,35.666666666666664,2400.0,127.561,127.409,0.15200000000000102,0.1520623327773472,0.012059845373626532
42.0,36.666666666666664,2460.0,129.924,129.138,0.7860000000000014,0.786330189334908,0.06236271877979603
43.0,37.666666666666664,2520.0,129.196,129.018,0.17799999999999727,0.17807655645845624,0.014122996118318019
44.0,38.666666666666664,2580.0,127.094,126.991,0.10299999999999443,0.1030453299718569,0.008172377230030533
45.0,39.666666666666664,2640.0,129.065,129.024,0.04099999999999682,0.04101845415186957,0.00325311472934623
