"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-25.333333333333332,0.0,138.544,129.458,9.086000000000013,9.086090860454314,0.9606983758456222
2.0,-24.333333333333332,60.0,138.294,128.979,9.314999999999998,9.31518630186301,0.9849212921531051
3.0,-23.333333333333332,120.0,135.956,126.087,9.868999999999986,9.86929607444108,1.0435089033416334
4.0,-22.333333333333332,180.0,137.967,128.471,9.49600000000001,9.496379847596911,1.0040794040159182
5.0,-21.333333333333332,240.0,135.406,126.512,8.894000000000005,8.894444711117691,0.9404350803060534
6.0,-20.333333333333332,300.0,140.972,131.397,9.575000000000017,9.575574517235362,1.0124528829592585
7.0,-19.333333333333332,360.0,143.068,133.599,9.469000000000023,9.469662853199614,1.001254539779014
8.0,-18.333333333333332,420.0,139.682,130.416,9.265999999999991,9.266741309651982,0.9797990645582271
9.0,-17.333333333333332,480.0,141.8,132.629,9.17100000000002,9.171825427143684,0.969763336810385
10.0,-16.333333333333332,540.0,141.835,132.368,9.467000000000013,9.46794674733659,1.0010730909974968
11.0,-15.333333333333334,600.0,141.551,132.272,9.278999999999996,9.280020746140005,0.9812031373616055
12.0,-14.333333333333334,660.0,138.84,129.689,9.15100000000001,9.152098185889846,0.967677519166302
13.0,-13.333333333333334,720.0,138.933,129.464,9.468999999999994,9.470231050016512,1.0013146168536922
14.0,-12.333333333333334,780.0,141.3,131.753,9.547000000000025,9.548336673564991,1.0095729478389142
15.0,-11.333333333333334,840.0,141.051,131.705,9.345999999999975,9.347402005147732,0.9883275506087694
16.0,-10.333333333333334,900.0,140.769,131.282,9.486999999999995,9.488518041440072,1.0032481527636377
17.0,-9.333333333333334,960.0,140.719,131.36,9.35899999999998,9.360591165245195,0.9897220782311541
18.0,-8.333333333333334,1020.0,138.277,128.932,9.344999999999999,9.346682251398082,0.9882514489860896
19.0,-7.333333333333333,1080.0,138.8,129.045,9.755000000000024,9.756853626088926,1.031620041655452
20.0,-6.333333333333333,1140.0,137.862,128.712,9.150000000000006,9.151830183012207,0.9676491824554739
21.0,-5.333333333333333,1200.0,138.621,128.95,9.67100000000002,9.673031123260499,1.0227572486718302
22.0,-4.333333333333333,1260.0,138.25,129.049,9.200999999999993,9.203024442680523,0.9730620979624086
23.0,-3.3333333333333335,1320.0,138.431,128.825,9.606000000000023,9.608209634098204,1.0159034872121966
24.0,-2.3333333333333335,1380.0,140.374,131.304,9.069999999999993,9.072177061236893,0.9592272300563812
25.0,-1.3333333333333333,1440.0,140.132,130.972,9.159999999999997,9.162290286273851,0.968755159092619
26.0,-0.3333333333333333,1500.0,140.716,131.124,9.592000000000013,9.594494244237712,1.0144533198117789
27.0,0.6666666666666667,1560.0,138.855,128.517,10.337999999999994,10.340791636854009,1.0933614777859386
28.0,1.6666666666666667,1620.0,138.903,128.564,10.338999999999999,10.341895325326629,1.093478173925056
29.0,2.6666666666666665,1680.0,141.642,130.896,10.74600000000001,10.749116791912993,1.136534864372837
30.0,3.6666666666666665,1740.0,143.431,133.253,10.178000000000026,10.18105385805583,1.0764719455316987
31.0,4.666666666666667,1800.0,138.029,128.428,9.600999999999999,9.603976771375724,1.015455934529187
32.0,5.666666666666667,1860.0,140.122,130.73,9.392000000000024,9.395005920921722,0.9933608487862079
33.0,6.666666666666667,1920.0,139.285,130.687,8.597999999999985,8.600837808212587,0.9093911826508309
34.0,7.666666666666667,1980.0,138.901,130.693,8.207999999999998,8.21079119447617,0.8681504385205301
35.0,8.666666666666666,2040.0,135.589,128.535,7.054000000000002,7.056469332107913,0.7461006862770411
