"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,136.069,125.953,10.115999999999985,10.116101160505787,1.047922125535448
2.0,-3.3333333333333335,60.0,132.943,123.196,9.747000000000014,9.747194941949427,1.0097073051674896
3.0,-2.3333333333333335,120.0,132.838,123.151,9.686999999999998,9.687290614359192,1.0035018442590706
4.0,-1.3333333333333333,180.0,134.542,125.094,9.448000000000008,9.448377927558507,0.9787529922461039
5.0,-0.3333333333333333,240.0,132.016,122.748,9.267999999999986,9.26846341158518,0.9601157327918871
6.0,1.7,362.0,140.86,130.974,9.886000000000024,9.88659317779518,1.0241475023625985
7.0,2.6999999999999997,422.0,139.428,130.445,8.983000000000004,8.983628832008868,0.9306098536671393
8.0,3.6999999999999997,482.0,139.794,130.014,9.780000000000001,9.780782431296835,1.013186617273002
9.0,4.7,542.0,136.831,127.299,9.531999999999982,9.53285791860574,0.98750423448645
10.0,5.7,602.0,138.604,129.233,9.37100000000001,9.37193714685657,0.9708345279959147
11.0,6.7,662.0,138.202,128.864,9.337999999999994,9.339027236496966,0.9674254059766669
12.0,7.7,722.0,137.927,128.983,8.943999999999988,8.945073344399365,0.9266159089758245
13.0,8.7,782.0,137.867,128.443,9.423999999999978,9.425225199636229,0.976354612131937
14.0,9.7,842.0,135.787,126.098,9.689000000000007,9.690356554956638,1.0038194435927135
15.0,10.7,902.0,135.269,126.043,9.225999999999999,9.227384003797688,0.9558603364053355
16.0,11.7,962.0,137.132,127.999,9.13300000000001,9.134461396908645,0.9462345275906091
17.0,12.7,1022.0,137.142,128.0,9.141999999999996,9.143554272109382,0.9471764542238447
18.0,13.7,1082.0,134.99,125.765,9.225000000000009,9.226660649453976,0.9557854044716438
19.0,14.7,1142.0,135.217,125.837,9.38000000000001,9.381782369319733,0.9718543899255527
20.0,15.700000000000001,1202.0,134.891,125.296,9.594999999999985,9.596919191912779,0.9941403114318353
21.0,16.700000000000003,1262.0,136.241,127.397,8.844000000000008,8.84585743502386,0.9163381799387105
22.0,17.700000000000003,1322.0,136.535,127.336,9.198999999999998,9.201024002632124,0.953129716375716
23.0,18.700000000000003,1382.0,136.564,127.184,9.379999999999995,9.382157648120018,0.9718932648786421
24.0,19.700000000000003,1442.0,134.318,125.123,9.195000000000007,9.197207064837194,0.9527343215982581
25.0,20.700000000000003,1502.0,136.512,127.086,9.426000000000002,9.42835679458705,0.9766790125689346
26.0,21.700000000000003,1562.0,134.536,124.938,9.597999999999999,9.600495804440516,0.9945108110287469
27.0,22.700000000000003,1622.0,136.358,126.942,9.416000000000011,9.418542663244102,0.9756623713537066
