"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,162.366,140.282,22.084000000000003,22.08422084110421,1.0022583257022781
2.0,-3.3333333333333335,60.0,161.984,139.824,22.159999999999997,22.160443204432028,1.0057175601846566
3.0,-2.3333333333333335,120.0,161.319,139.269,22.049999999999983,22.05066150992258,1.0007352871797153
4.0,-1.3333333333333333,180.0,162.945,140.937,22.00799999999998,22.008880337606616,0.9988391130691332
5.0,-0.3333333333333333,240.0,163.261,141.394,21.86699999999999,21.868093377334198,0.9924497138642169
6.0,0.6666666666666667,300.0,167.42,145.158,22.262,22.2633357600724,1.0103871802398685
7.0,1.6666666666666667,360.0,166.637,144.081,22.55600000000001,22.557578975263503,1.0237409550607484
8.0,2.6666666666666665,420.0,165.61,143.552,22.05800000000002,22.0597647105875,1.0011484219116398
9.0,3.6666666666666665,480.0,165.759,143.452,22.306999999999988,22.30900772034605,1.0124599317652565
10.0,4.666666666666667,540.0,163.862,140.937,22.924999999999983,22.927292614628804,1.0405198387644414
11.0,5.666666666666667,600.0,165.275,142.62,22.655,22.657492187067778,1.0282753621878546
12.0,6.666666666666667,660.0,162.922,140.858,22.063999999999993,22.066647838867148,1.001460802080032
13.0,7.666666666666667,720.0,165.432,142.383,23.048999999999978,23.05199656477247,1.046179335342506
14.0,8.666666666666666,780.0,164.662,142.446,22.216000000000008,22.21911045772697,1.0083800830548997
15.0,9.666666666666666,840.0,162.944,140.095,22.84899999999999,22.852427607064094,1.0371222057813554
16.0,10.666666666666666,900.0,162.302,139.951,22.351,22.35457644610806,1.0145279981514437
17.0,11.666666666666666,960.0,164.577,142.032,22.544999999999987,22.5488329757937,1.02334403135453
18.0,12.666666666666666,1020.0,162.204,139.703,22.501000000000005,22.505050544538076,1.0213570331913997
19.0,13.666666666666666,1080.0,162.58,139.777,22.803000000000026,22.80733298162024,1.0350756557074037
20.0,14.666666666666666,1140.0,162.029,139.566,22.462999999999994,22.467493049289946,1.0196525441548248
21.0,15.666666666666666,1200.0,164.194,141.774,22.419999999999987,22.424708694395594,1.0177108421490717
22.0,16.666666666666668,1260.0,164.354,141.823,22.531000000000006,22.535957365290194,1.0227596916162849
23.0,17.666666666666668,1320.0,164.196,141.694,22.50200000000001,22.507176055223542,1.0214534962179291
24.0,18.666666666666668,1380.0,164.322,141.53,22.792,22.797470736462117,1.0346280729110275
25.0,19.666666666666668,1440.0,161.651,138.992,22.65900000000002,22.664665458152783,1.028600910040287
26.0,20.666666666666668,1500.0,163.26,140.593,22.667,22.672894186211003,1.0289743581807322
27.0,21.666666666666668,1560.0,163.174,140.269,22.905,22.911185184962395,1.0397888278945095
28.0,22.666666666666668,1620.0,163.044,140.308,22.73600000000002,22.74236697133441,1.0321272734590499
29.0,23.666666666666668,1680.0,160.946,138.495,22.450999999999993,22.45751173415581,1.0191995575511033
30.0,24.666666666666668,1740.0,161.125,138.192,22.932999999999993,22.939880932088197,1.0410911401506682
31.0,25.666666666666668,1800.0,162.626,140.474,22.152000000000015,22.15886818451361,1.005646080333149
32.0,26.666666666666668,1860.0,160.573,138.303,22.27000000000001,22.277127540345646,1.0110130989310722
33.0,27.666666666666668,1920.0,160.979,138.886,22.093000000000018,22.100291893096205,1.0029876856275235
34.0,28.666666666666668,1980.0,162.822,140.79,22.03200000000001,22.039492153593947,1.0002283831574428
35.0,29.666666666666668,2040.0,160.294,138.522,21.77200000000002,21.779621533690612,0.9884345555971444
36.0,30.666666666666668,2100.0,160.309,138.475,21.834000000000003,21.841861655013002,0.9912592275761521
37.0,31.666666666666668,2160.0,161.816,140.052,21.76400000000001,21.77205416992956,0.9880911224560025
38.0,32.666666666666664,2220.0,162.017,140.258,21.758999999999986,21.7672699911988,0.9878739998778933
39.0,33.666666666666664,2280.0,161.457,140.014,21.442999999999984,21.45136440095215,0.9735371115521214
