"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,206.868,140.085,66.78299999999999,66.78366783333915,0.9855092871803166
2.0,-3.3333333333333335,60.0,206.927,139.636,67.291,67.29234583345828,0.993015716664734
3.0,-2.3333333333333335,120.0,207.542,139.07,68.47200000000001,68.47405419081272,1.0104538807951866
4.0,-1.3333333333333333,180.0,209.205,141.178,68.02700000000002,68.02972113442235,1.0038969729780431
5.0,-0.3333333333333333,240.0,209.339,141.094,68.245,68.24841233530768,1.0071241423817205
6.0,0.6666666666666667,300.0,214.159,144.919,69.23999999999998,69.24415452463447,1.0218180519415805
7.0,1.6666666666666667,360.0,212.835,143.928,68.90700000000001,68.91182365882611,1.0169139314388234
8.0,2.6666666666666665,420.0,211.095,143.443,67.65199999999999,67.65741237649216,0.9984029090767551
9.0,3.6666666666666665,480.0,211.459,143.089,68.37,68.37615357690682,1.0090091867950652
10.0,4.666666666666667,540.0,208.691,140.741,67.94999999999999,67.95679533976131,1.0028208259162674
11.0,5.666666666666667,600.0,211.06,142.637,68.423,68.43052694397433,1.009811560488496
12.0,6.666666666666667,660.0,207.972,140.347,67.625,67.63311548691948,0.9980443661709771
13.0,7.666666666666667,720.0,210.252,142.333,67.91900000000001,67.92783004394043,1.0023933925487465
14.0,8.666666666666666,780.0,210.488,142.179,68.309,68.31856392945944,1.008159351285185
15.0,9.666666666666666,840.0,207.909,139.815,68.094,68.1042148660958,1.004996257680167
16.0,10.666666666666666,900.0,207.711,139.806,67.905,67.91586566923036,1.002216837370293
17.0,11.666666666666666,960.0,208.919,141.845,67.07400000000001,67.08540354927423,0.9899619229814844
18.0,12.666666666666666,1020.0,206.722,139.599,67.12300000000002,67.13508322745787,0.9906950331238665
19.0,13.666666666666666,1080.0,204.01,139.394,64.61599999999999,64.62827820639265,0.9537027607680687
20.0,14.666666666666666,1140.0,199.581,139.224,60.357,60.36907260722048,0.8908507670071159
21.0,15.666666666666666,1200.0,197.098,141.273,55.82500000000002,55.83672448102744,0.8239680797272816
22.0,16.666666666666668,1260.0,190.875,141.338,49.537000000000006,49.547899338883326,0.7311655161049503
23.0,17.666666666666668,1320.0,186.699,141.33,45.369,45.37943607010205,0.6696525834085048
24.0,18.666666666666668,1380.0,184.755,141.243,43.512,43.52244413324586,0.6422494344146853
25.0,19.666666666666668,1440.0,179.037,138.97,40.06700000000001,40.0770180021981,0.5914061734707836
26.0,20.666666666666668,1500.0,182.72,140.63,42.09,42.10094482276531,0.6212727373022267
27.0,21.666666666666668,1560.0,189.735,140.275,49.46000000000001,49.47335600297927,0.7300654994060446
28.0,22.666666666666668,1620.0,197.52,140.241,57.278999999999996,57.29504036554638,0.8454880694861929
29.0,23.666666666666668,1680.0,200.292,137.918,62.373999999999995,62.39209108308025,0.9207039266310006
30.0,24.666666666666668,1740.0,198.91,137.89,61.02000000000001,61.03830874617462,0.9007265113567958
31.0,25.666666666666668,1800.0,203.683,140.076,63.607,63.62672122663219,0.9389230438519898
32.0,26.666666666666668,1860.0,200.16,137.802,62.358000000000004,62.37795775307019,0.9204953647410119
33.0,27.666666666666668,1920.0,201.319,138.56,62.758999999999986,62.779713887603464,0.9264239759510502
34.0,28.666666666666668,1980.0,201.857,140.697,61.16,61.180797935448666,0.9028291874138042
35.0,29.666666666666668,2040.0,203.16,138.284,64.876,64.89871057411864,0.9576934611682506
36.0,30.666666666666668,2100.0,204.142,138.455,65.68699999999998,65.71065157702841,0.9696750642303488
37.0,31.666666666666668,2160.0,207.264,140.099,67.16500000000002,67.18985564801133,0.9915032955462224
38.0,32.666666666666664,2220.0,207.517,139.848,67.66899999999998,67.69471910632069,0.9989534348252374
39.0,33.666666666666664,2280.0,207.259,139.72,67.53899999999999,67.56534534700873,0.9970442997708773
40.0,34.666666666666664,2340.0,204.979,137.395,67.584,67.61103900744097,0.9977185892818039
41.0,35.666666666666664,2400.0,204.385,137.343,67.042,67.06949285565028,0.9897271329970377
42.0,36.666666666666664,2460.0,206.063,139.396,66.667,66.69500602085269,0.9842009277796065
43.0,37.666666666666664,2520.0,206.045,139.541,66.50399999999999,66.53260286917615,0.9818043865377568
44.0,38.666666666666664,2580.0,202.775,137.044,65.731,65.7599280036941,0.9704022236945352
45.0,39.666666666666664,2640.0,205.441,139.037,66.404,66.43388852441362,0.9803476845221658
46.0,40.666666666666664,2700.0,204.745,139.07,65.67500000000001,65.70521744948056,0.9695948742177323
47.0,41.666666666666664,2760.0,203.99,139.265,64.72500000000002,64.75542789999639,0.9555790758608744
48.0,42.666666666666664,2820.0,202.892,138.929,63.962999999999994,63.993709609716696,0.9443385963598219
49.0,43.666666666666664,2880.0,202.687,139.161,63.52600000000001,63.557135367542095,0.9378961833542877
50.0,44.666666666666664,2940.0,201.359,138.999,62.360000000000014,62.39118779629934,0.920690597061954
51.0,45.666666666666664,3000.0,200.152,138.911,61.240999999999985,61.27224087574616,0.9041785871972234
52.0,46.666666666666664,3060.0,199.352,138.869,60.483000000000004,60.514459338719185,0.8929962013441805
53.0,47.666666666666664,3120.0,198.7,138.876,59.823999999999984,59.855715123765385,0.8832752835992406
54.0,48.666666666666664,3180.0,194.399,136.464,57.935,57.966293348443656,0.8553935758795167
55.0,49.666666666666664,3240.0,197.909,140.598,57.31099999999998,57.34252971987814,0.8461888575868546
56.0,50.666666666666664,3300.0,195.078,138.36,56.71799999999999,56.74977097504272,0.8374416703321733
57.0,51.666666666666664,3360.0,195.374,138.294,57.079999999999984,57.112544874408044,0.8427950307954432
58.0,52.666666666666664,3420.0,192.74,136.172,56.56800000000001,56.6008189565774,0.835243623978862
59.0,53.666666666666664,3480.0,191.437,136.017,55.420000000000016,55.45270744774831,0.8183012398394747
60.0,54.666666666666664,3540.0,190.359,135.957,54.402000000000015,54.43465099431878,0.8032780444643354
61.0,55.666666666666664,3600.0,191.979,138.301,53.678000000000026,53.71075356882289,0.7925956776681232
62.0,56.666666666666664,3660.0,188.534,136.117,52.417,52.4495086166298,0.7739838126100756
