"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,216.477,142.282,74.195,74.19574195370976,0.9684571512161946
2.0,-3.3333333333333335,60.0,217.801,143.835,73.96599999999998,73.96747933479328,0.9654777003767797
3.0,-2.3333333333333335,120.0,215.924,141.527,74.39700000000002,74.39923194347901,0.971113251561089
4.0,-1.3333333333333333,180.0,218.133,143.785,74.34800000000001,74.3509739794792,0.9704833532797578
5.0,-0.3333333333333333,240.0,216.801,141.549,75.25199999999998,75.25576269406655,0.9822933180824347
6.0,0.6666666666666667,300.0,222.464,146.25,76.214,76.21857297718795,0.994860622881882
7.0,1.6666666666666667,360.0,221.33,145.629,75.70100000000002,75.7062992554718,0.9881740511715317
8.0,2.6666666666666665,420.0,218.416,142.781,75.63499999999999,75.64105104203844,0.9873223837140778
9.0,3.6666666666666665,480.0,220.871,144.714,76.15700000000001,76.16385443844511,0.9941463964484748
10.0,4.666666666666667,540.0,217.244,141.967,75.27699999999999,75.28452807639754,0.9826687849150637
11.0,5.666666666666667,600.0,216.947,141.545,75.40200000000002,75.41029467619884,0.9843103826638633
12.0,6.666666666666667,660.0,219.27,143.76,75.51000000000002,75.51906174369377,0.985730090069687
13.0,7.666666666666667,720.0,217.043,141.424,75.619,75.62883110900825,0.9871628802005492
14.0,8.666666666666666,780.0,216.804,141.006,75.798,75.80861246285507,0.9895095180695648
15.0,9.666666666666666,840.0,220.278,143.443,76.83499999999998,76.84652611443695,1.0030571270259725
16.0,10.666666666666666,900.0,218.977,143.34,75.637,75.64910288820523,0.9874274823059294
17.0,11.666666666666666,960.0,218.563,143.15,75.41299999999998,75.42582129977959,0.984513047523666
18.0,12.666666666666666,1020.0,217.911,140.992,76.91900000000001,76.93284666616258,1.0041838460722994
19.0,13.666666666666666,1080.0,216.723,140.945,75.77800000000002,75.79239918787955,0.9892978905329809
20.0,14.666666666666666,1140.0,217.926,142.666,75.25999999999999,75.27505350530033,0.9825451158756797
21.0,15.666666666666666,1200.0,215.48,139.943,75.53699999999998,75.55286443570742,0.9861713075566879
22.0,16.666666666666668,1260.0,214.83,139.53,75.30000000000001,75.31656782239365,0.983086991139788
23.0,17.666666666666668,1320.0,216.812,141.848,74.964,74.98124370294983,0.9787100952034519
24.0,18.666666666666668,1380.0,218.0,141.776,76.22399999999999,76.24229595542683,0.9951702725641768
