"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.333333333333333,0.0,169.973,145.258,24.715000000000003,24.715247151235758,0.9621374223085897
2.0,-3.3333333333333335,60.0,169.985,145.236,24.749000000000024,24.749494984949855,0.9634706528544023
3.0,-2.3333333333333335,120.0,172.263,146.939,25.324000000000012,25.324759731395925,0.9858650775147664
4.0,-1.3333333333333333,180.0,170.057,145.065,24.99199999999999,24.992999699993856,0.972950023925175
5.0,-0.3333333333333333,240.0,172.421,146.809,25.611999999999995,25.61328063201553,0.9970968792404643
6.0,0.6666666666666667,300.0,171.7,146.205,25.494999999999976,25.496529745891895,0.9925518954925828
7.0,1.6666666666666667,360.0,171.182,145.232,25.94999999999999,25.951816563578973,1.010275711180124
8.0,2.6666666666666665,420.0,172.798,147.312,25.48599999999999,25.488038961557365,0.9922213585854254
9.0,3.6666666666666665,480.0,172.619,146.878,25.741000000000014,25.74331679425419,1.0021590441938482
10.0,4.666666666666667,540.0,172.187,146.43,25.757000000000005,25.7595758287893,1.00279199054802
11.0,5.666666666666667,600.0,170.212,143.915,26.296999999999997,26.29989282910268,1.023825937840958
12.0,6.666666666666667,660.0,171.585,145.933,25.652000000000015,25.655078424701802,0.9987240213955588
13.0,7.666666666666667,720.0,169.708,143.567,26.14099999999999,26.144398550901016,1.0177727163984525
14.0,8.666666666666666,780.0,171.685,145.339,26.346000000000004,26.34968869820285,1.0257644363250915
15.0,9.666666666666666,840.0,171.955,145.568,26.387,26.390958346868594,1.0273710184136244
16.0,10.666666666666666,900.0,171.587,145.603,25.98399999999998,25.98815777261292,1.0116904345276
17.0,11.666666666666666,960.0,169.364,143.502,25.861999999999995,25.866396913727073,1.0069504180434579
18.0,12.666666666666666,1020.0,169.029,143.462,25.567000000000007,25.57160247421026,0.9954743943398701
19.0,13.666666666666666,1080.0,170.451,144.668,25.782999999999987,25.78789923541261,1.0038945896550733
20.0,14.666666666666666,1140.0,169.692,143.743,25.949000000000012,25.95419031901461,1.0103681188717022
21.0,15.666666666666666,1200.0,166.906,141.119,25.787000000000006,25.792415838643162,1.004070416057425
22.0,16.666666666666668,1260.0,167.14,140.964,26.175999999999988,26.181759353505644,1.0192271314036287
23.0,17.666666666666668,1320.0,169.245,143.298,25.947000000000003,25.95296849635077,1.0103205546575509
24.0,18.666666666666668,1380.0,169.902,143.518,26.383999999999986,26.39033291991998,1.027346671229536
25.0,19.666666666666668,1440.0,169.396,143.435,25.960999999999984,25.967491061348845,1.0108859021601293
26.0,20.666666666666668,1500.0,167.489,141.195,26.29400000000001,26.30083732881424,1.0238627061772116
27.0,21.666666666666668,1560.0,169.532,143.231,26.301000000000016,26.30810222875775,1.0241455207516406
28.0,22.666666666666668,1620.0,167.727,141.081,26.646000000000015,26.65346192462071,1.0375899943396885
29.0,23.666666666666668,1680.0,169.453,143.206,26.247000000000014,26.25461273379306,1.0220632334699882
30.0,24.666666666666668,1740.0,167.257,141.334,25.923000000000002,25.930778066651662,1.0094567056051835
31.0,25.666666666666668,1800.0,169.311,143.094,26.217000000000013,26.225128529857045,1.020915445798668
32.0,26.666666666666668,1860.0,169.383,143.117,26.26600000000002,26.27440646496268,1.022833781681336
33.0,27.666666666666668,1920.0,167.159,140.923,26.23599999999999,26.24465930870734,1.0216757575650735
34.0,28.666666666666668,1980.0,169.372,142.987,26.38500000000002,26.393972425225872,1.0274883531731582
35.0,29.666666666666668,2040.0,169.038,142.976,26.062000000000012,26.071123296483762,1.0149201912356403
36.0,30.666666666666668,2100.0,168.817,142.988,25.829000000000008,25.838300113920074,1.0058566404908398
37.0,31.666666666666668,2160.0,167.049,141.111,25.938000000000017,25.94759883567511,1.0101115196659305
38.0,32.666666666666664,2220.0,167.143,141.161,25.982,25.991875036138033,1.0118351435132804
39.0,33.666666666666664,2280.0,169.206,143.039,26.167,26.177207120259077,1.0190499179638925
40.0,34.666666666666664,2340.0,169.031,142.721,26.310000000000002,26.32052610508067,1.0246291686094697
41.0,35.666666666666664,2400.0,168.511,142.657,25.853999999999985,25.864602313325697,1.0068805562211711
42.0,36.666666666666664,2460.0,169.115,142.658,26.457000000000022,26.468114273834146,1.0303746138958874
43.0,37.666666666666664,2520.0,166.616,140.669,25.947000000000003,25.95815960914402,1.0105226389762407
44.0,38.666666666666664,2580.0,166.731,140.644,26.08699999999999,26.098480805591993,1.0159851890134537
45.0,39.666666666666664,2640.0,168.997,142.334,26.66300000000001,26.67500105003375,1.0384284888316462
46.0,40.666666666666664,2700.0,166.785,140.067,26.71799999999999,26.730293107197877,1.040580947879638
