"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-8.83333333333333,0.0,265.147,244.306,20.841,20.9102155529916,0.972045129911542
2.0,-6.83333333333333,120.0,259.878,239.298,20.58,20.7159236425231,0.963013156765525
3.0,-4.83333333333333,240.0,260.784,239.684,21.1,21.3078518775857,0.990529896451522
4.0,-2.83333333333333,360.0,260.75,238.994,21.756,22.0401294610518,1.02457100219468
5.0,-0.333333333333333,510.0,258.777,236.554,22.223,22.5837227672921,1.04984081467673
6.0,1.2,602.0,256.011,235.249,20.762,21.164107210493,0.983847693523286
7.0,3.16666666666667,720.0,252.256,231.794,20.462,20.921711421854,0.972579533935905
8.0,5.16666666666667,840.0,252.58,231.446,21.134,21.6735430065435,1.00752963899623
9.0,7.16666666666667,960.0,252.019,230.799,21.22,21.8259756657692,1.0146157172657
10.0,9.16666666666667,1080.0,251.928,230.692,21.236,21.9059631284112,1.01833406360785
11.0,11.1666666666667,1200.0,249.08,227.769,21.311,22.0463325915287,1.02485936472997
12.0,13.1666666666667,1320.0,251.441,230.102,21.339,22.1376384288272,1.02910386399176
13.0,15.1666666666667,1440.0,250.981,229.193,21.788,22.6663385247648,1.05368134154752
14.0,17.1666666666667,1560.0,248.64,227.193,21.447,22.3727657064928,1.04003413511139
15.0,19.1666666666667,1680.0,247.301,225.623,21.678,22.6748308563281,1.05407612129127
16.0,21.1666666666667,1800.0,248.611,227.064,21.547,22.5978040701375,1.05049540677402
17.0,23.1666666666667,1920.0,249.16,226.381,22.779,23.9525515267615,1.11347302956008
18.0,25.1666666666667,2040.0,245.86,225.068,20.792,21.9196930646427,1.01897232186081
19.0,27.1666666666667,2160.0,248.966,227.201,21.765,23.0039052861046,1.0693736774562
20.0,29.1666666666667,2280.0,248.884,226.71,22.174,23.4950034060302,1.09220316644796
21.0,31.1666666666667,2400.0,247.457,226.875,20.582,21.8620927061812,1.01629467620088
22.0,33.1666666666667,2520.0,247.064,224.775,22.289,23.7329537548296,1.10326467258715
23.0,35.1666666666667,2640.0,247.076,225.236,21.84,23.3107097723511,1.0836359793409
24.0,37.1666666666667,2760.0,247.936,225.37,22.566,24.142594682892,1.12230749250101
25.0,39.1666666666667,2880.0,248.1,226.842,21.258,22.7962460569991,1.05972030292155
26.0,41.1666666666667,3000.0,245.264,223.515,21.749,23.3763720593908,1.08668839676692
27.0,43.1666666666667,3120.0,247.328,225.06,22.268,23.9884095896167,1.11513994950541
28.0,45.1666666666667,3240.0,245.771,224.234,21.537,23.2527137347276,1.08093993989629
29.0,47.1666666666667,3360.0,245.581,223.672,21.909,23.7063766428853,1.10202919262918
30.0,49.1666666666667,3480.0,245.598,223.642,21.956,23.8087311418179,1.1067873067653
31.0,51.1666666666667,3600.0,245.413,223.588,21.825,23.7172385022796,1.1025341236998
32.0,53.1666666666667,3720.0,247.101,225.105,21.996,23.9533947838508,1.11351222972733
33.0,55.1666666666667,3840.0,248.849,227.308,21.541,23.5065872741541,1.09274166126007
34.0,57.1666666666667,3960.0,246.477,225.233,21.244,23.2299060441375,1.07987968757577
35.0,59.1666666666667,4080.0,247.689,226.969,20.72,22.702602169673,1.05536711562941
36.0,61.1666666666667,4200.0,244.396,222.948,21.448,23.5469634952737,1.09461861508697
37.0,63.1666666666667,4320.0,245.408,223.455,21.953,24.1485971739562,1.12258652798926
38.0,65.1666666666667,4440.0,242.174,220.384,21.79,24.0155799831671,1.11640300911671
39.0,67.1666666666667,4560.0,243.77,222.069,21.701,23.9630179828182,1.11395957966816
40.0,69.1666666666667,4680.0,242.101,220.138,21.963,24.2978384184166,1.12952424819076
41.0,71.1666666666667,4800.0,243.669,221.664,22.005,24.3893400840876,1.13377785085061
42.0,73.1666666666667,4920.0,241.198,219.575,21.623,24.0096595177609,1.1161277867236
43.0,75.1666666666667,5040.0,243.222,221.599,21.623,24.0528334310228,1.11813479578666
44.0,77.1666666666667,5160.0,240.846,219.562,21.284,23.7177146450132,1.10255625796351
45.0,79.1666666666667,5280.0,242.04,220.354,21.686,24.2079253433651,1.12534449373066
46.0,81.1666666666667,5400.0,238.885,217.023,21.862,24.4464584211218,1.13643308896626
47.0,83.1666666666667,5520.0,240.092,218.264,21.828,24.4499256669143,1.13659426948486
48.0,85.1666666666667,5640.0,239.438,217.927,21.511,24.1352334145521,1.12196529205732
49.0,87.1666666666667,5760.0,239.811,218.529,21.282,23.9177646603624,1.11185590591148
50.0,89.1666666666667,5880.0,241.777,219.279,22.498,25.3255811685959,1.17730052924257
51.0,91.1666666666667,6000.0,240.914,219.05,21.864,24.6514667628826,1.14596323272278
52.0,93.1666666666667,6120.0,238.274,216.115,22.159,25.0236921014334,1.16326672855002
53.0,95.1666666666667,6240.0,238.627,217.569,21.058,23.8175477435985,1.10719716073364
54.0,97.1666666666667,6360.0,237.188,214.559,22.629,25.6339036788286,1.19163339892315
55.0,99.1666666666667,6480.0,238.916,216.519,22.397,25.4097051940195,1.18121117038418
56.0,101.166666666667,6600.0,238.759,216.455,22.304,25.3421821262216,1.17807225156035
57.0,103.166666666667,6720.0,240.55,218.486,22.064,25.1066179054781,1.16712166843629
