"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-11.3,0.0,254.323,246.919,7.404,7.4285896048342,1.0068089177274
2.0,-8.8,150.0,250.116,242.888,7.22800000000001,7.27573839106693,0.98609274234383
3.0,-6.3,300.0,247.289,240.009,7.28,7.35171382316702,0.996389817109784
4.0,-3.8,450.0,242.226,235.097,7.12899999999999,7.22210346239373,0.978823512602736
5.0,-0.333333333333333,658.0,241.789,234.297,7.49199999999999,7.61360981742125,1.03188501021625
6.0,1.9,792.0,264.342,257.48,6.86199999999997,6.99489951249407,0.948030189095807
7.0,4.4,942.0,263.686,257.212,6.47399999999999,6.61944872178098,0.897144728414043
8.0,6.9,1092.0,259.956,253.008,6.94800000000001,7.12537980550129,0.965714396943534
9.0,9.4,1242.0,259.68,252.675,7.005,7.20504050606567,0.976510942181197
10.0,11.9,1392.0,255.467,248.69,6.77700000000002,6.99080392358463,0.94747510722203
11.0,14.4,1542.0,254.627,247.983,6.64400000000001,6.87325014021477,0.931542850400042
12.0,16.9,1692.0,253.614,246.553,7.06100000000001,7.32526664538869,0.992805387783036
13.0,19.4,1842.0,252.825,246.553,6.27199999999999,6.52484281381149,0.884322634735401
14.0,21.9,1992.0,250.12,243.143,6.977,7.27816414110135,0.986421508219554
15.0,24.4,2142.0,250.105,242.997,7.10799999999998,7.43485089615184,1.00765752079615
16.0,26.9,2292.0,249.134,242.137,6.99699999999999,7.33822968760161,0.994562290128583
17.0,29.4,2442.0,247.835,240.948,6.887,7.24181142125671,0.981494564550542
18.0,31.9,2592.0,247.709,240.024,7.685,8.1018103694584,1.09805163074278
19.0,34.4,2742.0,245.842,239.094,6.74800000000002,7.13210902231261,0.966626418720931
20.0,36.9,2892.0,246.501,239.375,7.12600000000001,7.55052738664074,1.02333534503883
21.0,39.4,3042.0,242.459,235.732,6.727,7.14538420146154,0.96842562549672
22.0,41.9,3192.0,242.494,236.497,5.99699999999999,6.385505122155,0.865437969139656
23.0,44.4,3342.0,241.269,235.37,5.899,6.2962397869551,0.853339692036732
24.0,46.9,3492.0,242.671,236.642,6.029,6.450221720427,0.87420911571408
25.0,49.4,3642.0,243.299,237.429,5.87,6.29475794310776,0.853138855312733
26.0,51.9,3792.0,245.339,240.405,4.934,5.30318726107104,0.71874965650951
27.0,54.4,3942.0,242.167,237.321,4.846,5.22039845838344,0.707529154467021
28.0,56.9,4092.0,239.432,235.261,4.17099999999999,4.50327663962245,0.610336459671281
29.0,59.4,4242.0,238.469,235.814,2.655,2.87281162932404,0.389356866002156
30.0,61.9,4392.0,237.26,235.566,1.69399999999999,1.83694619030057,0.248964326226401
31.0,64.4,4542.0,236.916,235.726,1.19,1.2931735998952,0.175265936308672
32.0,66.9,4692.0,235.121,234.102,1.01900000000001,1.10967945466194,0.150396674228104
33.0,69.4,4842.0,235.551,234.216,1.33499999999998,1.4568169542266,0.197444788181236
34.0,71.9,4992.0,232.596,231.812,0.783999999999992,0.857288944577461,0.116189774961861
35.0,74.4,5142.0,231.14,230.243,0.896999999999991,0.982829833310643,0.133204537257215
36.0,76.9,5292.0,232.63,231.744,0.885999999999996,0.972706530063986,0.131832509385469
37.0,79.4,5442.0,232.85,231.815,1.035,1.13851401061562,0.15430466882966
38.0,81.9,5592.0,231.215,229.997,1.21799999999999,1.34240369066073,0.181938171152688
39.0,84.4,5742.0,228.138,226.901,1.23699999999999,1.36593950715386,0.185128018915426
40.0,86.9,5892.0,226.683,225.725,0.957999999999998,1.05984288142982,0.143642241821927
41.0,89.4,6042.0,226.119,225.693,0.425999999999988,0.472159003672848,0.0639924831994699
42.0,91.9,6192.0,225.229,224.084,1.14500000000001,1.27138048133175,0.172312279251014
43.0,94.4,6342.0,224.803,224.258,0.544999999999988,0.606243084674055,0.082165118337296
44.0,96.9,6492.0,224.394,223.453,0.941000000000003,1.04859845334324,0.142118266064141
45.0,99.4,6642.0,225.327,224.068,1.25899999999999,1.40541261677102,0.19047787412174
46.0,101.9,6792.0,225.181,224.084,1.09700000000001,1.22668396706481,0.166254487456189
47.0,104.4,6942.0,222.671,222.052,0.619,0.693352757367599,0.0939712349695976
48.0,106.9,7092.0,225.029,224.041,0.988,1.10853101267154,0.150241024003911
49.0,109.4,7242.0,224.957,224.545,0.412000000000006,0.463025986282749,0.0627546703920258
50.0,111.9,7392.0,225.814,224.867,0.947000000000003,1.06602032921417,0.144479481439261
51.0,114.4,7542.0,223.834,222.908,0.926000000000016,1.04405681588135,0.141502730499389
52.0,116.9,7692.0,224.555,222.944,1.61100000000002,1.81926837742722,0.246568423290099
53.0,119.4,7842.0,226.639,225.422,1.21700000000001,1.37648188830657,0.186556845102259
54.0,121.9,7992.0,224.654,223.906,0.74799999999999,0.847326879303706,0.114839599936702
55.0,124.4,8142.0,223.948,222.733,1.215,1.37843424613715,0.186821451357147
56.0,126.9,8292.0,221.919,220.651,1.268,1.44072305129344,0.195263555153691
57.0,129.4,8442.0,222.465,221.718,0.747000000000014,0.850011039493857,0.115203388564128
58.0,131.9,8592.0,219.377,218.502,0.875,0.997116998211481,0.135140900119668
59.0,134.4,8742.0,221.105,220.291,0.813999999999993,0.928940960642749,0.125900890070539
60.0,136.9,8892.0,220.663,220.047,0.616000000000014,0.703982311876374,0.0954118759041755
61.0,139.4,9042.0,220.879,219.762,1.11699999999999,1.27833113162395,0.173254312270799
62.0,141.9,9192.0,219.696,218.884,0.812000000000012,0.93056636678166,0.126121184027083
63.0,144.4,9342.0,220.954,220.234,0.719999999999999,0.826260634971933,0.111984457334336
64.0,146.9,9492.0,221.511,220.366,1.14499999999998,1.31575657004842,0.17832664324613
65.0,149.4,9642.0,221.425,220.234,1.191,1.37043898311387,0.185737840262764
66.0,151.9,9792.0,222.465,221.139,1.32599999999999,1.5277836904255,0.207063026187084
67.0,154.4,9942.0,222.161,221.095,1.066,1.22981165877835,0.166678388637517
68.0,156.9,10092.0,219.838,219.277,0.561000000000007,0.64803744455198,0.0878295763938321
69.0,159.4,10242.0,221.317,220.282,1.035,1.19708871782896,0.162243394848026
70.0,161.9,10392.0,218.964,217.847,1.11699999999999,1.29354322366277,0.175316032023362
71.0,164.4,10542.0,219.605,218.121,1.48399999999998,1.7206661556455,0.233204702654225
72.0,166.9,10692.0,220.063,219.206,0.856999999999999,0.994882431674228,0.134838045656487
73.0,169.4,10842.0,219.708,219.035,0.673000000000002,0.78221768227193,0.106015243809261
74.0,171.9,10992.0,221.445,220.319,1.126,1.31028599345535,0.177585207039258
75.0,174.4,11142.0,218.794,217.313,1.48100000000002,1.72540695312801,0.233847230702809
76.0,176.9,11292.0,219.487,217.691,1.79599999999999,2.0948133980594,0.283913491299689
77.0,179.4,11442.0,216.15,215.296,0.854000000000013,0.997225250332777,0.135155571706992
78.0,181.9,11592.0,217.897,216.648,1.249,1.46011878983593,0.197892291370021
79.0,184.4,11742.0,217.844,216.257,1.58699999999999,1.85732161262942,0.251725840591094
80.0,186.9,11892.0,218.026,216.129,1.89700000000002,2.22257352118927,0.301229030068097
81.0,189.4,12042.0,218.041,216.835,1.20599999999999,1.41451977272239,0.19171218188603
82.0,191.9,12192.0,218.521,217.135,1.386,1.62739226663444,0.220563139686963
83.0,194.4,12342.0,218.586,217.183,1.40300000000002,1.64910567462951,0.223505993440718
84.0,196.9,12492.0,216.357,215.507,0.849999999999994,1.0001522874291,0.135552277839363
85.0,199.4,12642.0,216.793,215.558,1.23500000000001,1.4546725661797,0.197154155756572
86.0,201.9,12792.0,216.117,215.474,0.643000000000001,0.758149995246522,0.10275331076204
87.0,204.4,12942.0,215.066,214.006,1.06,1.25109643074303,0.169563148647935
88.0,206.9,13092.0,213.848,212.786,1.06200000000001,1.25471522915615,0.170053610324728
89.0,209.4,13242.0,212.129,211.148,0.980999999999995,1.16016687335105,0.157239316785198
90.0,211.9,13392.0,211.417,209.905,1.512,1.78990179450227,0.242588322201626
91.0,214.4,13542.0,213.493,211.978,1.51499999999999,1.79519343182209,0.243305506475678
92.0,216.9,13692.0,214.545,212.546,1.999,2.37098032909942,0.321342847845589
93.0,219.4,13842.0,215.1,212.804,2.29599999999999,2.72583145239606,0.369436401858607
94.0,221.9,13992.0,213.628,212.36,1.26799999999997,1.50679381574619,0.204218234088815
95.0,224.4,14142.0,215.696,214.597,1.09899999999999,1.30717975864827,0.17716421394761
96.0,226.9,14292.0,213.103,211.904,1.19900000000001,1.42743229383592,0.193462237024219
97.0,229.4,14442.0,212.552,211.32,1.232,1.46805221222555,0.198967521102024
98.0,231.9,14592.0,211.953,210.665,1.28800000000001,1.53616172776496,0.20819851531155
99.0,234.4,14742.0,210.284,209.009,1.27500000000001,1.52200979687322,0.206280480935875
100.0,236.9,14892.0,211.268,209.871,1.39699999999999,1.66911335393039,0.226217666990438
101.0,239.4,15042.0,210.356,208.847,1.50899999999999,1.80449997099802,0.244566836974998
102.0,241.9,15192.0,211.23,209.706,1.524,1.82400886637259,0.24721090952214
103.0,244.4,15342.0,209.559,208.227,1.33199999999999,1.59557321617099,0.216250651655672
104.0,246.9,15492.0,211.6,210.488,1.11199999999999,1.3331656066276,0.180686118491007
105.0,249.4,15642.0,209.32,207.974,1.346,1.615055721792,0.218891147556286
106.0,251.9,15792.0,208.64,207.302,1.33799999999999,1.60678624420328,0.217770371712666
107.0,254.4,15942.0,208.509,207.169,1.33999999999998,1.61050768434707,0.21827474459135
108.0,256.9,16092.0,210.312,208.592,1.72,2.06889760764398,0.280401081772688
109.0,259.4,16242.0,207.792,206.559,1.233,1.48430371773694,0.201170114265162
110.0,261.9,16392.0,207.517,206.387,1.13,1.36139438211884,0.184512010674176
111.0,264.4,16542.0,208.014,206.166,1.84800000000001,2.22817868590454,0.301988707223635
112.0,266.9,16692.0,209.436,207.843,1.59300000000002,1.92222025683126,0.260521660148591
