"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-12.200000000000001,0.0,242.37,239.58,2.789999999999992,2.789999999999992,1.0124062279358585
2.0,-9.733333333333334,148.0,238.601,235.517,3.084000000000003,3.0942423475565506,1.122806531687861
3.0,-7.233333333333333,298.0,236.561,234.033,2.52800000000002,2.544696548508206,0.9233930587514692
4.0,-4.733333333333333,448.0,233.668,231.188,2.480000000000018,2.5044299837162556,0.9087815458579374
5.0,-0.3333333333333333,712.0,232.264,229.455,2.8089999999999975,2.845685036591949,1.0326126357668743
6.0,0.39999999999999997,756.0,258.277,255.288,2.988999999999976,3.0375173177084833,1.1022227419036206
7.0,2.9,906.0,254.092,251.243,2.849000000000018,2.9041778943596386,1.053837916589016
8.0,5.4,1056.0,252.15,249.125,3.0250000000000057,3.092961443217103,1.1223417304223962
9.0,7.8999999999999995,1206.0,250.15,247.043,3.1069999999999993,3.1863205319073806,1.1562189070619853
10.0,10.399999999999999,1356.0,248.805,245.798,3.007000000000005,3.0928703499985035,1.1223086754611658
11.0,12.899999999999999,1506.0,246.915,243.925,2.9899999999999807,3.0843298998845894,1.119209605610018
12.0,15.399999999999999,1656.0,245.805,242.48,3.325000000000017,3.43972858461984,1.2481729897771083
13.0,17.900000000000002,1806.0,245.003,241.754,3.2489999999999952,3.370597837539698,1.2230875421477911
14.0,20.400000000000002,1956.0,243.505,240.565,2.9399999999999977,3.05852006897414,1.1098440021850322
15.0,22.900000000000002,2106.0,242.394,239.454,2.9399999999999977,3.066905915843189,1.1128869712161225
16.0,25.400000000000002,2256.0,241.358,238.261,3.0970000000000084,3.2394109771218895,1.1754838165168442
17.0,27.900000000000002,2406.0,240.918,237.196,3.7220000000000084,3.9035144915325564,1.4164668036076873
18.0,30.400000000000002,2556.0,239.626,236.222,3.4039999999999964,3.579370709736868,1.2988448740605054
19.0,32.9,2706.0,238.947,236.072,2.875,3.030931010044618,1.099832770972438
20.0,35.4,2856.0,237.685,234.227,3.4579999999999984,3.6548359512680655,1.3262289172572324
21.0,37.9,3006.0,235.517,231.988,3.5289999999999964,3.7392381627077076,1.3568559152905848
22.0,40.4,3156.0,233.609,230.517,3.092000000000013,3.2843062213347936,1.1917749365332764
23.0,42.9,3306.0,232.959,229.959,3.0,3.1943497359454778,1.159132461246049
24.0,45.4,3456.0,233.011,229.345,3.665999999999997,3.9128691403589353,1.4198613214327693
25.0,47.9,3606.0,233.138,229.934,3.2040000000000077,3.4278504548429556,1.2438627773891697
26.0,50.4,3756.0,233.534,230.263,3.2709999999999866,3.5076922030503224,1.2728349218817954
27.0,52.9,3906.0,235.127,231.455,3.671999999999997,3.94675792919596,1.4321585332162128
28.0,55.4,4056.0,236.664,233.533,3.1310000000000002,3.3728987976059703,1.22392249064289
29.0,57.9,4206.0,236.178,233.684,2.4939999999999998,2.6926808773000266,0.9770920752768266
30.0,60.4,4356.0,233.594,230.94,2.6539999999999964,2.8717295910455705,1.0420634132337778
31.0,62.9,4506.0,232.358,229.291,3.0670000000000073,3.325805174528861,1.2068336457327362
32.0,65.4,4656.0,231.035,228.615,2.4199999999999875,2.629815219954926,0.9542800383522884
33.0,67.9,4806.0,231.473,228.664,2.809000000000026,3.058969173842408,1.110006968696011
34.0,70.4,4956.0,230.09,227.25,2.8400000000000034,3.0991461797779882,1.1245859834017449
35.0,72.9,5106.0,229.014,225.991,3.022999999999996,3.3055924482878685,1.1994990615284553
36.0,75.4,5256.0,229.086,226.166,2.920000000000016,3.199401464065909,1.1609655798879712
37.0,77.9,5406.0,228.212,225.665,2.546999999999997,2.796256808208784,1.0146766335263895
38.0,80.4,5556.0,228.991,225.869,3.122000000000014,3.434242261972933,1.2461821699863576
39.0,82.9,5706.0,228.475,225.621,2.853999999999985,3.1455009303331143,1.1414067139237603
40.0,85.4,5856.0,228.511,225.358,3.1529999999999916,3.4816550251060048,1.2633868211259884
41.0,87.9,6006.0,228.443,225.061,3.382000000000005,3.741533011477717,1.357688646181957
42.0,90.4,6156.0,227.715,225.155,2.5600000000000023,2.837387439912032,1.0296016900480038
