"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-132.0,0.0,NA,272.702,-272.702,-272.702,-28.76428187093829
2.0,-131.0,60.0,NA,269.496,-269.496,-270.335481834682,-28.5146643559956
3.0,-130.0,120.0,NA,266.598,-266.598,-268.25624281835945,-28.295348703222405
4.0,-129.0,180.0,NA,268.433,-268.433,-270.93345239827255,-28.57773757820021
5.0,-128.0,240.0,NA,266.279,-266.279,-269.5808436416823,-28.435066019004964
6.0,-127.0,300.0,NA,266.123,-266.123,-270.2412072214177,-28.504720382173595
7.0,-126.0,360.0,NA,266.158,-266.158,-271.0924734023712,-28.594510924143005
8.0,-125.0,420.0,NA,265.814,-265.814,-271.5540847355576,-28.643201137278933
9.0,-124.0,480.0,NA,265.738,-265.738,-272.2855165220269,-28.72035169017318
10.0,-123.0,540.0,NA,267.179,-267.179,-274.57278023800956,-28.961609540279504
11.0,-122.0,600.0,NA,264.716,-264.716,-272.8422263628246,-28.779072780524665
12.0,-121.0,660.0,NA,264.72,-264.72,-273.64428613553656,-28.863673089211904
13.0,-120.0,720.0,NA,264.4,-264.4,-274.10779108479585,-28.91256303871381
14.0,-119.0,780.0,NA,264.128,-264.128,-274.6166018200801,-28.96623178851644
15.0,-118.0,840.0,NA,265.66,-265.66,-277.0021277205186,-29.217854216700452
16.0,-117.0,900.0,NA,263.704,-263.704,-275.7467958864949,-29.085443311333346
17.0,-116.0,960.0,NA,263.612,-263.612,-276.4318241142625,-29.15769927217359
18.0,-115.0,1020.0,NA,265.527,-265.527,-279.22416420309355,-29.452231975984557
19.0,-114.0,1080.0,NA,265.034,-265.034,-279.48579933864113,-29.479828938185904
20.0,-113.0,1140.0,NA,262.776,-262.776,-277.87543076389994,-29.30996918064853
21.0,-112.0,1200.0,NA,262.529,-262.529,-278.3816082390778,-29.363360177314252
22.0,-111.0,1260.0,NA,262.142,-262.142,-278.73482321911564,-29.40061687233976
23.0,-110.0,1320.0,NA,263.819,-263.819,-281.2837703320353,-29.669476775201257
24.0,-109.0,1380.0,NA,261.831,-261.831,-279.92154403925224,-29.525790769753495
25.0,-108.0,1440.0,NA,263.236,-263.236,-282.18240202216214,-29.764263374613677
26.0,-107.0,1500.0,NA,260.952,-260.952,-280.4835765399152,-29.585073287922402
27.0,-106.0,1560.0,NA,263.316,-263.316,-283.77821675290653,-29.932588010035957
28.0,-105.0,1620.0,NA,262.843,-262.843,-284.0181606051059,-29.957897001527993
29.0,-104.0,1680.0,NA,260.536,-260.536,-282.26580484405395,-29.773060604842012
30.0,-103.0,1740.0,NA,260.809,-260.809,-283.30023266223435,-29.882170817958457
