"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-65.0,0.0,NA,437.766,-437.766,-437.766,-45.31771399409147
2.0,-64.0,60.0,NA,431.944,-431.944,-433.2895084364885,-44.85430577058353
3.0,-63.0,120.0,NA,425.739,-425.739,-428.3871017833799,-44.34680664413627
4.0,-62.0,180.0,NA,424.368,-424.368,-428.3209863442652,-44.339962347045144
5.0,-61.0,240.0,NA,419.568,-419.568,-424.7706180549474,-43.97242678076317
6.0,-60.0,300.0,NA,417.61,-417.61,-424.0724422456393,-43.90015133761816
7.0,-59.0,360.0,NA,414.885,-414.885,-422.57681838435354,-43.74532374847582
8.0,-58.0,420.0,NA,414.28,-414.28,-423.2261138399286,-43.812539077563535
9.0,-57.0,480.0,NA,412.007,-412.007,-422.15843727916496,-43.70201276666027
10.0,-56.0,540.0,NA,409.151,-409.151,-420.47364353920733,-43.52760223490029
11.0,-55.0,600.0,NA,404.406,-404.406,-416.82041657657425,-43.14941869700994
12.0,-54.0,660.0,NA,401.816,-401.816,-415.3620900492473,-42.99845214301671
13.0,-53.0,720.0,NA,400.342,-400.342,-415.04107904110947,-42.96522095316701
14.0,-52.0,780.0,NA,399.255,-399.255,-415.1095353755607,-42.97230758069346
15.0,-51.0,840.0,NA,397.962,-397.962,-414.9526490699127,-42.95606664665805
16.0,-50.0,900.0,NA,396.972,-396.972,-415.10085951162534,-42.97140945173764
17.0,-49.0,960.0,NA,395.716,-395.716,-414.96022833254744,-42.95685125500216
18.0,-48.0,1020.0,NA,396.589,-396.589,-417.0469747224978,-43.17287208822807
19.0,-47.0,1080.0,NA,393.762,-393.762,-415.23309205302724,-42.98509821809218
20.0,-46.0,1140.0,NA,392.933,-392.933,-415.5114113783279,-43.01390994760751
21.0,-45.0,1200.0,NA,391.857,-391.857,-415.51897832140577,-43.01469328062608
22.0,-44.0,1260.0,NA,392.786,-392.786,-417.64820697539335,-43.23511189506721
23.0,-43.0,1320.0,NA,391.156,-391.156,-417.05045682076576,-43.17323255645403
24.0,-42.0,1380.0,NA,387.447,-387.447,-414.2166606451343,-42.87987682621272
25.0,-41.0,1440.0,NA,385.8,-385.8,-413.5679416954754,-42.812721177251426
26.0,-40.0,1500.0,NA,384.56,-384.56,-413.34331292417676,-42.789467515677536
27.0,-39.0,1560.0,NA,386.264,-386.264,-416.28047333183207,-43.09352355316992
28.0,-38.0,1620.0,NA,383.574,-383.574,-414.47549273118506,-42.906671228811696
29.0,-37.0,1680.0,NA,383.515,-383.515,-415.50177382307,-43.01291226397565
