"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-207.333333333333,0.0,222.461,219.793,2.66800000000001,2.66800000000001,0.43775960046893
2.0,-204.333333333333,180.0,218.719,215.926,2.79300000000001,2.80227590036493,0.459791296307144
3.0,-201.333333333333,360.0,219.158,216.954,2.20399999999998,2.21855664276582,0.364015918124007
4.0,-198.333333333333,540.0,215.855,213.76,2.095,2.11563742576029,0.347129158260096
5.0,-195.333333333333,720.0,215.861,213.311,2.54999999999998,2.58330254300798,0.423862627105526
6.0,-192.333333333333,900.0,212.363,209.914,2.44900000000001,2.4887520612473,0.408348991003688
7.0,-189.333333333333,1080.0,211.174,208.588,2.58600000000001,2.63608425230397,0.432522934441912
8.0,-186.333333333333,1260.0,210.271,207.615,2.65599999999998,2.71567127047423,0.44558139818881
9.0,-183.333333333333,1440.0,211.034,208.598,2.43599999999998,2.4981901563329,0.409897572987893
10.0,-180.333333333333,1620.0,207.772,205.507,2.26499999999999,2.32968119146876,0.382248990853576
11.0,-177.333333333333,1800.0,207.079,204.696,2.38300000000001,2.4581799837542,0.403332791442637
12.0,-174.333333333333,1980.0,207.784,206.067,1.71699999999998,1.77624480595254,0.291442360040776
13.0,-171.333333333333,2160.0,205.293,203.06,2.233,2.31657278277198,0.380098191845374
14.0,-168.333333333333,2340.0,204.023,201.849,2.17400000000001,2.26164035032306,0.371084998561406
15.0,-165.333333333333,2520.0,203.815,201.778,2.03700000000001,2.12492767026279,0.348653481244231
16.0,-162.333333333333,2700.0,205.053,202.978,2.07499999999999,2.1704158145069,0.356117076390549
17.0,-159.333333333333,2880.0,205.007,202.803,2.20400000000001,2.31148466935458,0.379263345332352
18.0,-156.333333333333,3060.0,201.98,200.507,1.47299999999998,1.54888750159881,0.254138071166122
19.0,-153.333333333333,3240.0,203.859,201.811,2.048,2.15907711602483,0.354256647560958
20.0,-150.333333333333,3420.0,201.748,198.942,2.80599999999998,2.9657228684957,0.486609317096793
21.0,-147.333333333333,3600.0,202.863,200.877,1.98599999999999,2.104314817551,0.345271369487246
22.0,-144.333333333333,3780.0,200.721,198.528,2.19300000000001,2.32939312528694,0.382201725584962
23.0,-141.333333333333,3960.0,200.471,197.888,2.583,2.75033512264905,0.45126896718385
24.0,-138.333333333333,4140.0,202.111,199.864,2.24699999999999,2.39831340927073,0.393510014933143
25.0,-135.333333333333,4320.0,199.675,197.256,2.41900000000001,2.58800569608774,0.424634310168921
26.0,-132.333333333333,4500.0,201.212,198.49,2.72199999999998,2.9189661194445,0.47893757205036
27.0,-129.333333333333,4680.0,198.853,196.483,2.37,2.54733559155622,0.417961248433259
28.0,-126.333333333333,4860.0,198.425,195.365,3.06,3.29641338890906,0.540868293894025
29.0,-123.333333333333,5040.0,199.812,197.69,2.12200000000001,2.29104603914623,0.375909819622404
30.0,-120.333333333333,5220.0,200.085,197.793,2.292,2.48003173424132,0.406918178834986
31.0,-117.333333333333,5400.0,197.611,194.883,2.72799999999998,2.95819905970481,0.485374827017967
32.0,-114.333333333333,5580.0,199.708,196.921,2.78700000000001,3.02863430496464,0.496931687896481
