"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-207.333333333333,0.0,228.858,228.108,0.75,0.75,0.13978470505845
2.0,-204.333333333333,180.0,223.49,223.316,0.174000000000007,0.174577875640357,0.0325377558081574
3.0,-201.333333333333,360.0,224.792,223.848,0.943999999999988,0.950234787101147,0.177104385934951
4.0,-198.333333333333,540.0,221.037,220.539,0.498000000000019,0.502905698343038,0.0937313662867939
5.0,-195.333333333333,720.0,220.689,220.077,0.611999999999995,0.619992610321915,0.115553978896357
6.0,-192.333333333333,900.0,217.273,216.313,0.960000000000008,0.975582678153292,0.181828715901054
7.0,-189.333333333333,1080.0,215.699,215.129,0.570000000000022,0.581039452364004,0.108293904634701
8.0,-186.333333333333,1260.0,214.955,214.371,0.584000000000003,0.597120490194643,0.11129108214162
9.0,-183.333333333333,1440.0,215.893,214.981,0.912000000000006,0.935283014193612,0.17431768038031
10.0,-180.333333333333,1620.0,212.814,212.129,0.685000000000002,0.704561419936475,0.131315880375177
11.0,-177.333333333333,1800.0,211.837,211.061,0.775999999999982,0.80048160612388,0.149193446955655
12.0,-174.333333333333,1980.0,212.755,212.419,0.335999999999984,0.347593625393145,0.0647843632077042
13.0,-171.333333333333,2160.0,209.986,209.489,0.496999999999986,0.515600838798764,0.0960974815724996
14.0,-168.333333333333,2340.0,208.99,208.268,0.722000000000008,0.751105948911346,0.139990831381626
15.0,-165.333333333333,2520.0,208.256,207.418,0.837999999999994,0.874172502543053,0.162927927250917
16.0,-162.333333333333,2700.0,209.964,208.772,1.19200000000001,1.24681236187578,0.232380397690715
17.0,-159.333333333333,2880.0,209.542,208.316,1.226,1.28578956652845,0.239644953765883
18.0,-156.333333333333,3060.0,206.025,205.704,0.320999999999998,0.337537602181413,0.062910125556087
19.0,-153.333333333333,3240.0,208.239,207.063,1.17600000000002,1.2397825627174,0.231070186488081
20.0,-150.333333333333,3420.0,205.821,204.63,1.191,1.25879399015624,0.234613528857786
21.0,-147.333333333333,3600.0,207.145,206.263,0.882000000000005,0.934544647069487,0.174180063806082
22.0,-144.333333333333,3780.0,204.501,203.807,0.694000000000017,0.73716316869547,0.137392181488065
23.0,-141.333333333333,3960.0,204.016,203.353,0.662999999999983,0.705951291643932,0.131574924117439
24.0,-138.333333333333,4140.0,205.664,204.906,0.757999999999981,0.809043864809602,0.150789277362345
25.0,-135.333333333333,4320.0,203.229,202.595,0.634000000000015,0.678295002612509,0.126420355843747
26.0,-132.333333333333,4500.0,204.864,204.147,0.717000000000013,0.768882699354062,0.143304055138337
27.0,-129.333333333333,4680.0,202.47,201.802,0.668000000000006,0.717983196269861,0.133817425770008
28.0,-126.333333333333,4860.0,202.381,201.322,1.059,1.14081757478911,0.212625130956523
29.0,-123.333333333333,5040.0,204.152,202.499,1.65299999999999,1.78468383728024,0.332628671755735
30.0,-120.333333333333,5220.0,203.929,202.409,1.52000000000001,1.6446981832665,0.306538200610769
31.0,-117.333333333333,5400.0,201.786,200.235,1.55099999999999,1.68187930410636,0.313468003291225
32.0,-114.333333333333,5580.0,203.617,202.134,1.483,1.61157684760049,0.300365059094482
33.0,-111.333333333333,5760.0,203.742,201.898,1.84399999999999,2.00809510735683,0.374267976414921
34.0,-108.333333333333,5940.0,203.249,201.208,2.041,2.22723850455171,0.415111836604779
35.0,-105.333333333333,6120.0,202.555,200.87,1.685,1.84251514236357,0.343407247654693
36.0,-102.333333333333,6300.0,200.443,198.451,1.99200000000002,2.18260538233538,0.406793132838316
37.0,-99.3333333333333,6480.0,202.387,200.029,2.358,2.58876071996715,0.482492204943345
38.0,-96.3333333333333,6660.0,202.311,199.71,2.601,2.86113520928621,0.533257255149893
39.0,-93.3333333333333,6840.0,201.84,199.522,2.31800000000001,2.55475513542825,0.476154257469865
40.0,-90.3333333333333,7020.0,201.549,199.3,2.249,2.4834259915837,0.462859959690689
41.0,-87.3333333333333,7200.0,201.102,198.943,2.15899999999999,2.38851856055007,0.445171150017501
42.0,-84.3333333333333,7380.0,199.518,196.734,2.78399999999999,3.08565884090432,0.575103881315746
43.0,-81.3333333333333,7560.0,199.15,196.383,2.767,3.07241029855452,0.572634623202651
44.0,-78.3333333333333,7740.0,198.883,196.248,2.63500000000002,2.93110188645171,0.546297616925226
45.0,-75.3333333333333,7920.0,198.149,196.097,2.05199999999999,2.28663552206197,0.426182229370143
46.0,-72.3333333333333,8100.0,197.938,195.784,2.154,2.40449465967022,0.448148769088827
47.0,-69.3333333333333,8280.0,202.192,199.089,3.10300000000001,3.46982711923618,0.646705013954987
48.0,-66.3333333333333,8460.0,199.647,197.294,2.35299999999998,2.635636572029,0.49122890781645
49.0,-63.3333333333333,8640.0,197.515,195.079,2.43599999999998,2.73317970330754,0.509408958264782
50.0,-60.3333333333333,8820.0,197.422,194.632,2.78999999999999,3.13554005273992,0.584400721961609
51.0,-57.3333333333333,9000.0,196.972,194.615,2.357,2.65323116785406,0.494508181667155
52.0,-54.3333333333333,9180.0,197.151,194.179,2.97200000000001,3.35090373304462,0.624540120003868
53.0,-51.3333333333333,9360.0,198.436,196.04,2.39600000000001,2.70575234780608,0.504297058532375
54.0,-48.3333333333333,9540.0,198.493,195.836,2.65699999999998,3.00518683420746,0.560105540353637
55.0,-45.3333333333333,9720.0,195.834,193.323,2.511,2.84443555338453,0.530144779850168
56.0,-42.3333333333333,9900.0,197.969,194.87,3.09899999999999,3.51585821298684,0.655284271106261
57.0,-39.3333333333333,10080.0,197.704,194.553,3.15100000000001,3.58021950680257,0.667279903737209
58.0,-36.3333333333333,10260.0,195.019,192.56,2.459,2.79809524245697,0.521507890923067
59.0,-33.3333333333333,10440.0,194.911,192.317,2.59399999999999,2.95602456384066,0.550942695736
60.0,-30.3333333333333,10620.0,195.156,191.988,3.16800000000001,3.61533779277182,0.673825236065702
61.0,-27.3333333333333,10800.0,196.661,193.874,2.78700000000001,3.18506282986918,0.593630757687861
62.0,-24.3333333333333,10980.0,196.482,193.5,2.982,3.41269779275081,0.63605727255106
63.0,-21.3333333333333,11160.0,194.507,191.32,3.18700000000001,3.65235838784867,0.680725120017576
64.0,-18.3333333333333,11340.0,194.841,191.479,3.36199999999999,3.85817813163283,0.719085722924343
65.0,-15.3333333333333,11520.0,194.403,191.288,3.11499999999998,3.5795473499571,0.66715462740868
66.0,-12.3333333333333,11700.0,195.947,192.742,3.20500000000001,3.68787316614607,0.687344350430268
67.0,-9.33333333333333,11880.0,194.641,190.996,3.64499999999998,4.19967688657689,0.782734126574587
68.0,-6.33333333333333,12060.0,193.837,190.698,3.13899999999998,3.62136847739701,0.674949232694545
69.0,-3.33333333333333,12240.0,193.871,190.67,3.20100000000002,3.69762541891422,0.689161971466069
70.0,-0.333333333333333,12420.0,195.054,192.0,3.054,3.53227917318807,0.658344803210933
71.0,4.86666666666667,12732.0,212.647,209.091,3.55599999999998,4.11803017309294,0.76751684422346
72.0,7.86666666666667,12912.0,212.513,208.994,3.51900000000001,4.08020498767966,0.760467001041091
73.0,10.8666666666667,13092.0,209.583,205.993,3.59,4.16759385030395,0.776754502890864
74.0,13.8666666666667,13272.0,210.83,207.127,3.703,4.30394067972207,0.802166771338686
75.0,16.8666666666667,13452.0,207.589,204.672,2.917,3.39440874148245,0.632648566367933
76.0,19.8666666666667,13632.0,207.451,204.042,3.40899999999999,3.97158156867878,0.740221810924453
77.0,22.8666666666667,13812.0,209.027,205.45,3.577,4.17213113856265,0.777600160892207
78.0,25.8666666666667,13992.0,208.784,204.841,3.94299999999998,4.60428473309375,0.858144777894179
79.0,28.8666666666667,14172.0,208.849,205.04,3.809,4.45283624538435,0.829917868312837
80.0,31.8666666666667,14352.0,208.839,204.567,4.27199999999999,4.99967103286259,0.931836720957299
81.0,34.8666666666667,14532.0,208.453,204.268,4.185,4.90325260209647,0.913866291748177
82.0,37.8666666666667,14712.0,206.054,202.48,3.57400000000001,4.19195163160024,0.781294296590037
83.0,40.8666666666667,14892.0,208.133,204.178,3.95500000000001,4.64382136691144,0.865513600157125
84.0,43.8666666666667,15072.0,208.576,204.48,4.096,4.81449525536877,0.897323732369375
85.0,46.8666666666667,15252.0,209.26,204.187,5.07299999999998,5.9691441813269,1.11252674511753
86.0,49.8666666666667,15432.0,208.631,204.075,4.55600000000001,5.36638721580134,1.0001851389203
87.0,52.8666666666667,15612.0,206.121,201.879,4.24200000000002,5.00166762027334,0.932208844133745
88.0,55.8666666666667,15792.0,207.629,203.459,4.16999999999999,4.92176614735698,0.917316839033279
89.0,58.8666666666667,15972.0,205.654,201.233,4.42099999999999,5.22325426374697,0.973508075604215
90.0,61.8666666666667,16152.0,207.07,202.953,4.11699999999999,4.86891642975156,0.907466729449417
91.0,64.8666666666667,16332.0,207.444,202.551,4.893,5.79232108498652,1.07957052595824
92.0,67.8666666666667,16512.0,205.773,200.692,5.08099999999999,6.02071143702184,1.12213782995485
93.0,70.8666666666667,16692.0,204.928,200.183,4.745,5.627964813195,1.04893786865573
94.0,73.8666666666667,16872.0,204.953,200.197,4.756,5.64636515139187,1.05236731645283
95.0,76.8666666666667,17052.0,206.549,201.536,5.01300000000001,5.95706419427117,1.1102752818806
96.0,79.8666666666667,17232.0,204.112,199.813,4.29900000000001,5.1133446609909,0.953023167065084
97.0,82.8666666666667,17412.0,206.042,200.978,5.06399999999999,6.02878827021267,1.1236431869487
98.0,85.8666666666667,17592.0,206.181,200.894,5.28700000000001,6.29999354386078,1.17419031919829
99.0,88.8666666666667,17772.0,205.686,200.862,4.82400000000001,5.75345044622524,1.072325831592
100.0,91.8666666666667,17952.0,205.234,200.371,4.863,5.80512442525055,1.08195680748167
101.0,94.8666666666667,18132.0,203.144,198.662,4.482,5.35502222785686,0.998066936936554
102.0,97.8666666666667,18312.0,203.161,198.139,5.02199999999999,6.00543330308292,1.11929029735952
103.0,100.866666666667,18492.0,203.416,198.077,5.339,6.39001531336172,1.19096854119633
104.0,103.866666666667,18672.0,204.465,199.531,4.934,5.91032901545621,1.10156479763193
105.0,106.866666666667,18852.0,204.158,199.349,4.809,5.76546169269079,1.07456448298477
106.0,109.866666666667,19032.0,205.992,201.051,4.941,5.92867037249201,1.10498325254342
107.0,112.866666666667,19212.0,201.801,197.006,4.79499999999999,5.75825115168516,1.07322058518772
108.0,115.866666666667,19392.0,203.511,198.722,4.78899999999999,5.75576216443152,1.07275668872219
109.0,118.866666666667,19572.0,201.221,196.463,4.75800000000001,5.7231481495175,1.06667810144816
110.0,121.866666666667,19752.0,202.777,198.14,4.637,5.58208948835862,1.04038764365344
111.0,124.866666666667,19932.0,202.826,197.859,4.96699999999998,5.98411141237549,1.11531633175442
112.0,127.866666666667,20112.0,200.134,195.741,4.39299999999997,5.29674727661174,0.987205674440428
113.0,130.866666666667,20292.0,202.12,197.355,4.76500000000002,5.74976743490325,1.07163939339018
114.0,133.866666666667,20472.0,203.963,198.94,5.023,6.06578096889684,1.13053787158187
115.0,136.866666666667,20652.0,199.983,194.922,5.06100000000001,6.116358901817,1.13996456682949
116.0,139.866666666667,20832.0,201.723,196.538,5.185,6.27098015962125,1.1687828160534
117.0,142.866666666667,21012.0,199.009,194.122,4.88699999999997,5.91501795755944,1.10243872081718
118.0,145.866666666667,21192.0,200.79,195.965,4.82499999999999,5.8443361153355,1.0892650668595
119.0,148.866666666667,21372.0,199.149,194.079,5.06999999999999,6.14563971326567,1.14542191295245
120.0,151.866666666667,21552.0,198.383,194.037,4.346,5.27190181800046,0.982574987635068
121.0,154.866666666667,21732.0,200.668,195.674,4.994,6.06236138714617,1.12990053127995
122.0,157.866666666667,21912.0,200.939,195.697,5.24199999999999,6.36800333422431,1.18686595718103
123.0,160.866666666667,22092.0,198.735,193.789,4.94600000000003,6.01271611697109,1.12064766534799
124.0,163.866666666667,22272.0,198.438,193.45,4.988,6.06807227504745,1.13096492432115
125.0,166.866666666667,22452.0,198.591,193.545,5.04600000000002,6.14294600765765,1.14491986116054
126.0,169.866666666667,22632.0,198.387,193.339,5.048,6.14966470706469,1.14617208971386
127.0,172.866666666667,22812.0,200.039,195.189,4.84999999999999,5.91253881102314,1.10197665846068
128.0,175.866666666667,22992.0,198.055,192.973,5.08199999999999,6.19961445840044,1.15548170472481
129.0,178.866666666667,23172.0,200.084,195.05,5.03399999999999,6.14523670146407,1.14534679977136
130.0,181.866666666667,23352.0,199.71,194.828,4.88200000000001,5.963706117396,1.11151320090063
131.0,184.866666666667,23532.0,199.537,194.4,5.137,6.2794093396085,1.1703538433046
132.0,187.866666666667,23712.0,199.844,194.453,5.39099999999999,6.59427553129119,1.22903848028759
133.0,190.866666666667,23892.0,199.494,194.401,5.09299999999999,6.23387032131305,1.16186629898316
134.0,193.866666666667,24072.0,199.523,194.2,5.32300000000001,6.51965667295817,1.21513104681575
135.0,196.866666666667,24252.0,197.195,192.045,5.15000000000001,6.31186272745347,1.17640249296868
136.0,199.866666666667,24432.0,196.85,191.92,4.93000000000001,6.04612629655469,1.12687464148005
137.0,202.866666666667,24612.0,198.632,193.306,5.32599999999999,6.5359602152876,1.21816969462365
138.0,205.866666666667,24792.0,196.471,191.128,5.34300000000002,6.5609896962206,1.22283467943697
