"experiment","well","celltype","analyte","nocodazole_dose_ng_ml","treatment","dose_uM","time_in_noc_min","aim","cell_id","data_table"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03.csv"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03 (2).csv"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03 (3)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03 (3).csv"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03 (4).csv"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03 (5)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03 (5).csv"
2011,"C03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"RNAi – Mad2, Noc, Control","2011_C03 (6)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C03 (6).csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10.csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10 (2).csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10 (3)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10 (3).csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10 (4).csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10 (5)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10 (5).csv"
2011,"C10","HeLa","Securin-eGFP",0,"RNAi-Mad2",0.0,0,"RNAi – Mad2, Noc, Control","2011_C10 (6)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/C10 (6).csv"
2011,"D05","HeLa","Securin-eGFP",100,"noc_only",0.0,0,"Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole","2011_D05","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/D05.csv"
2011,"D05","HeLa","Securin-eGFP",100,"noc_only",0.0,0,"Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole","2011_D05 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/D05 (2).csv"
2011,"D05","HeLa","Securin-eGFP",100,"noc_only",0.0,0,"Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole","2011_D05 (3)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/D05 (3).csv"
2011,"D05","HeLa","Securin-eGFP",100,"noc_only",0.0,0,"Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole","2011_D05 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2011/D05 (4).csv"
2016,"B03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"control","2016_B03","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/B03.csv"
2016,"B03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"control","2016_B03 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/B03 (2).csv"
2016,"B03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"control","2016_B03 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/B03 (4).csv"
2016,"B03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"control","2016_B03 (5)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/B03 (5).csv"
2016,"B03","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"control","2016_B03 (6)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/B03 (6).csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04.csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04 (2).csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04 (3)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04 (3).csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04 (4).csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04 (5)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04 (5).csv"
2016,"C04","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_C04 (6)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/C04 (6).csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02.csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02 (2)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02 (2).csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02 (3)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02 (3).csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02 (4)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02 (4).csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02 (5)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02 (5).csv"
2016,"D02","HeLa","Securin-eGFP",0,"RNAi-Allstar",0.0,0,"??? were missing","2016_D02 (6)","/home/luki/Documents/Code/Coding/amalieModelling_Project/Data/SAC_Project_2015-11-01/DataTables/extracted/2016/D02 (6).csv"
