experiment,well,celltype,analyte,nocodazole_dose_ng_ml,treatment,dose_uM,time_in_noc_min,aim,cell_id,data_table,complete,imin,imax,tstep,comment,curated,meta,ana
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03.csv,1,40,78,3.6010179259,no comment,1,44,48
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03 (2).csv,1,38,76,3.6010179259,no comment,1,40,46
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03 (3).csv,1,198,237,3.6010179259,no comment,1,201,206
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03 (4).csv,1,63,102,3.6010179259,manual cutoff,1,66,72
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03 (5),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03 (5).csv,1,86,125,3.6010179259,manual cutoff,1,89,92
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control",2011_C03 (6),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C03 (6).csv,1,132,171,3.6010179259,manual cutoff,1,135,140
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10.csv,1,65,92,3.8641277778,no comment,1,0,0
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10 (2).csv,1,93,129,3.8521356481,no comment,1,0,0
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10 (3).csv,1,102,154,3.8573939103,no comment,1,0,0
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10 (4).csv,1,14,71,3.9891429825,no comment,1,0,0
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10 (5),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10 (5).csv,1,100,156,3.8541889881,no comment,1,0,0
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control",2011_C10 (6),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/C10 (6).csv,1,59,103,3.8637420455,no comment,1,0,0
2011,D05,HeLa,Securin-eGFP,100,noc_only,0,0,Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole,2011_D05,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/D05.csv,1,150,539,3.6010179259,manual cutoff,1,0,526
2011,D05,HeLa,Securin-eGFP,100,noc_only,0,0,Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole,2011_D05 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/D05 (2).csv,1,91,632,3.6010179259,manual cutoff,1,0,596
2011,D05,HeLa,Securin-eGFP,100,noc_only,0,0,Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole,2011_D05 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/D05 (3).csv,1,32,431,3.6010179259,manual cutoff,1,0,404
2011,D05,HeLa,Securin-eGFP,100,noc_only,0,0,Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole,2011_D05 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2011/D05 (4).csv,1,213,548,3.6010179259,manual cutoff,1,0,530
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control,2016_B03,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/B03.csv,1,56,92,3.6010179259,manual cutoff,1,61,67
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control,2016_B03 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/B03 (2).csv,1,69,105,3.6010179259,manual cutoff,1,72,77
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control,2016_B03 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/B03 (4).csv,1,114,151,3.6010179259,manual cutoff,1,116,123
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control,2016_B03 (5),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/B03 (5).csv,1,104,141,3.6010179259,manual cutoff,1,106,111
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control,2016_B03 (6),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/B03 (6).csv,1,151,188,3.6010179259,manual cutoff,1,154,158
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04.csv,0,46,1126,3.6010179259,not fully captured,1,0,0
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04 (2).csv,1,88,331,3.6010179259,immediate transient rise,1,0,0
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04 (3).csv,1,205,399,3.6010179259,no comment,1,0,0
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04 (4).csv,0,22,1126,3.6010179259,not fully captured,1,0,0
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04 (5),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04 (5).csv,0,65,1126,3.6010179259,not fully captured,1,0,0
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_C04 (6),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/C04 (6).csv,1,199,618,3.6010179259,looks weird,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02.csv,1,168,193,3.6010179259,manual cutoff,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (2).csv,1,179,204,3.6010179259,manual cutoff,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (3).csv,1,167,192,3.6010179259,manual cutoff,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (4).csv,1,182,207,3.6010179259,manual cutoff,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (5),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (5).csv,1,243,267,3.6010179259,no comment,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (6),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (6).csv,1,465,490,3.6010179259,no comment,1,0,0
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D02 (7),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D02 (7).csv,1,302,325,3.6010179259,no comment,1,0,0
2016,D05,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing,2016_D05,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2016/D05.csv,1,74,140,3.6010179259,no comment,1,0,0
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls,2640_B2S1,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B2S1.csv,1,6,45,1,no comment,1,0,0
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls,2640_B2S1 (2),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B2S1 (2).csv,1,6,45,1,no comment,1,0,0
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls,2640_B2S1 (3),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B2S1 (3).csv,1,6,45,1,no comment,1,0,0
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls,2640_B2S1 (4),/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B2S1 (4).csv,1,6,45,1,no comment,1,0,0
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls,2640_B2S2,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B2S2.csv,1,6,45,1,no comment,1,0,0
2640,B3,HeLa,Securin-eGFP,100,RNAi-Allstar-washout + Flavopiridol,20,138,acute SAC abrogation in different transfection controls,2640_B3S1,/home/nbuser/thesis-notebooks/Chapter5/data/extracted/2640/B3S1.csv,1,6,45,1,no comment,1,0,0
