experiment,well,celltype,analyte,nocodazole_dose_ng_ml,treatment,dose_uM,time_in_noc_min,aim
2004,D5,HeLa,Securin-eGFP,0,RNAi-p31,0,0,"RNAi – p31, APC15"
2004,D6,HeLa,Securin-eGFP,0,RNAi-APC15,0,0,"RNAi – p31, APC15"
2011,C03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,"RNAi – Mad2, Noc, Control"
2011,C10,HeLa,Securin-eGFP,0,RNAi-Mad2,0,0,"RNAi – Mad2, Noc, Control"
2011,D05,HeLa,Securin-eGFP,100,noc_only,0,0, Noc added before imaging only cells analyzed that entered mitosis in presence of Nocodazole
2016,B03,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,control
2016,C04,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing
2016,D02,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing
2016,D05,HeLa,Securin-eGFP,0,RNAi-Allstar,0,0,??? were missing
2030,P1,HeLa,Securin-eGFP,0,untreated,0,0,control
2030,P3,HeLa,Securin-eGFP,0,untreated,0,0,control
2515,B2,HeLa,Securin-eGFP,0,untreated,0,0,control
2561,B5,HeLa,Securin-eGFP,100,Reversine,1,54,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2561,C5,HeLa,Securin-eGFP,100,Flavopiridol,20,92,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2561,C4,HeLa,Securin-eGFP,100,RO-3306,10,134,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2561,D4,HeLa,Securin-eGFP,100,Flavopiridol,200,185,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2561,D5,HeLa,Securin-eGFP,100,Reversine,1,249,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2561,B2,HeLa,Securin-eGFP,100,Flavopiridol,20,296,test acute SAC abrogation with increasing CDK/Mps1 inhibition
2640,B6,HeLa,Securin-eGFP,100,RNAi-transfection + Flavopiridol,20,76,acute SAC abrogation in different transfection controls
2640,B3,HeLa,Securin-eGFP,100,RNAi-Allstar-washout + Flavopiridol,20,138,acute SAC abrogation in different transfection controls
2640,C5,HeLa,Securin-eGFP,100,untreated + Flavopiridol,20,172,acute SAC abrogation in different transfection controls
2640,B2,HeLa,Securin-eGFP,100,RNAi-Allstar + Flavopiridol,20,234,acute SAC abrogation in different transfection controls
2640,B4,HeLa,Securin-eGFP,100,RNAi-LaminA/C + Flavopiridol,20,280,acute SAC abrogation in different transfection controls
2672,C3,HeLa,Securin-eGFP,100,Flavopiridol,20,85,test acute SAC abrogation with increasing CDK inhibition
2672,E2,HeLa,Securin-eGFP,100,Flavopiridol,10,131,test acute SAC abrogation with increasing CDK inhibition
2672,F2,HeLa,Securin-eGFP,100,Flavopiridol,5,177,test acute SAC abrogation with increasing CDK inhibition
2672,F3,HeLa,Securin-eGFP,100,Flavopiridol,2.5,222,test acute SAC abrogation with increasing CDK inhibition
2672,D3,HeLa,Securin-eGFP,100,Flavopiridol,1.25,269,test acute SAC abrogation with increasing CDK inhibition
2672,B3,HeLa,Securin-eGFP,100,Flavopiridol,20,319,test acute SAC abrogation with increasing CDK inhibition
2692,C5,HeLa,Securin-eGFP,100,RO-3306,13.3,80,test acute SAC abrogation with increasing CDK1 inhibition
2692,D5,HeLa,Securin-eGFP,100,RO-3306,6.6,120,test acute SAC abrogation with increasing CDK1 inhibition
2692,F5,HeLa,Securin-eGFP,100,RO-3306,3.3,166,test acute SAC abrogation with increasing CDK1 inhibition
2692,G6,HeLa,Securin-eGFP,100,RO-3306,1.7,254,test acute SAC abrogation with increasing CDK1 inhibition
2692,B6,HeLa,Securin-eGFP,100,RO-3306,13.3,358,test acute SAC abrogation with increasing CDK1 inhibition
2692,D6,HeLa,Securin-eGFP,100,RO-3306,0.8,418,test acute SAC abrogation with increasing CDK1 inhibition
2692,C6,HeLa,Securin-eGFP,100,noc_only,0,504,test acute SAC abrogation with increasing CDK1 inhibition
2702,D5,HeLa,Securin-eGFP,100,Reversine,0.5,53,test acute SAC abrogation with increasing Mps1 inhibition
2702,E5,HeLa,Securin-eGFP,100,Reversine,0.25,103,test acute SAC abrogation with increasing Mps1 inhibition
2702,E6,HeLa,Securin-eGFP,100,Reversine,1,103,test acute SAC abrogation with increasing Mps1 inhibition
2702,C5,HeLa,Securin-eGFP,100,Reversine,0.125,233,test acute SAC abrogation with increasing Mps1 inhibition
2702,C6,HeLa,Securin-eGFP,100,Reversine,0.0625,233,test acute SAC abrogation with increasing Mps1 inhibition
2702,D6,HeLa,Securin-eGFP,100,noc_only,0,233,test acute SAC abrogation with increasing Mps1 inhibition
2703,G3,HeLa,Securin-eGFP,100,RO-3306,13.3,126,test acute SAC abrogation with increasing CDK inhibition
2703,G2,HeLa,Securin-eGFP,100,RO-3306,6.6,126,test acute SAC abrogation with increasing CDK inhibition
2703,F2,HeLa,Securin-eGFP,100,RO-3306,3.3,126,test acute SAC abrogation with increasing CDK inhibition
2703,C3,HeLa,Securin-eGFP,100,RO-3306,1.7,1094,test acute SAC abrogation with increasing CDK inhibition
2703,B3,HeLa,Securin-eGFP,100,RO-3306,0.8,1094,test acute SAC abrogation with increasing CDK inhibition
2703,B2,HeLa,Securin-eGFP,100,noc_only,0,1094,test acute SAC abrogation with increasing CDK inhibition
2717,B3,HeLa,H2B-mCherry,0,untreated,0,0,measure effect of cell rounding/flattening in cells (transfection with soluble GFP)
