"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",NA,NA,1.0721,0.88173,NA,0.94037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",NA,NA,0.91502,1.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4414,NA,NA,NA
"P_MS0019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0021_01",NA,NA,NA,NA,NA,NA,0.81232,NA,NA,0.86338,NA,NA,NA,NA,NA,NA,NA,NA,0.85444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",NaN,NaN,0.99356,1.132865,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"Min",NaN,NaN,0.91502,0.88173,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"Q25",NaN,NaN,0.9542899999999999,1.0072975,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"Q50",NaN,NaN,0.99356,1.132865,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"Q75",NaN,NaN,1.0328300000000001,1.2584324999999998,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"Max",NaN,NaN,1.0721,1.384,NaN,0.94037,0.81232,NaN,NaN,0.86338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4414,NaN,NaN,NaN
"NAs",5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
"NA%",100.0,100.0,60.0,60.0,100.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
"unique",0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"error",NaN,NaN,0.05553616659439148,0.17757926149328357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
